motifs,time
N,1.153844
G,1.153844
O,1.156849
L,1.159854
I,1.442305
N,1.442305
G,1.442305
N,1.442305
I,1.44531
L,1.448315
I,1.634612
K,1.730766
O,1.730766
N,1.730766
G,1.730766
O,1.733771
L,1.736776
I,2.019227
N,2.019227
G,2.019227
N,2.019227
I,2.022232
L,2.025237
I,2.211534
K,2.307688
O,2.307688
N,2.307688
G,2.307688
O,2.310693
L,2.313698
I,2.596149
N,2.596149
G,2.596149
N,2.596149
I,2.599154
L,2.602159
I,2.788456
N,2.788456
O,2.88461
O,2.88461
N,2.88461
G,2.88461
O,2.887615
L,2.89062
I,3.173071
N,3.173071
G,3.173071
N,3.173071
I,3.176076
L,3.179081
I,3.365378
K,3.461532
O,3.461532
N,3.461532
G,3.461532
O,3.464537
L,3.467542
I,3.749993
N,3.749993
G,3.749993
N,3.749993
I,3.752998
L,3.756003
I,3.9423
K,4.038454
O,4.038454
N,4.038454
G,4.038454
O,4.041459
L,4.044464
I,4.326915
N,4.326915
G,4.326915
N,4.326915
I,4.32992
L,4.332925
I,4.519222
K,4.615376
O,4.615376
N,4.615376
G,4.615376
O,4.618381
L,4.621386
I,4.903837
N,4.903837
G,4.903837
N,4.903837
I,4.906842
L,4.909847
I,5.096144
N,5.096144
O,5.192298
O,5.192298
N,5.192298
G,5.192298
O,5.195303
L,5.198308
I,5.480759
N,5.480759
G,5.480759
N,5.480759
I,5.483764
L,5.486769
I,5.673066
N,5.718138
N,5.718138
I,5.718138
N,5.718138
A,5.742177
B,5.742177
O,5.742177
N,5.742177
M,5.742177
N,5.742177
D,5.742177
B,5.742177
I,5.745182
L,5.745182
I,5.745182
N,5.745182
I,5.766215
N,5.766215
B,5.76922
N,5.76922
N,5.76922
G,5.76922
O,5.772225
L,5.77523
F,5.778234
B,5.778234
H,5.961527
I,5.961527
N,5.976551
A,5.976551
B,5.976551
H,5.976551
I,6.027633
N,6.027633
B,6.027633
H,6.027633
G,6.057681
N,6.057681
G,6.057681
N,6.057681
I,6.060686
L,6.063691
I,6.249988
M,6.259003
N,6.259003
I,6.259003
N,6.259003
B,6.259003
M,6.259003
N,6.274027
D,6.274027
B,6.274027
N,6.274027
N,6.274027
I,6.274027
L,6.319099
F,6.319099
B,6.319099
D,6.319099
B,6.322104
H,6.322104
G,6.346142
M,6.346142
N,6.346142
G,6.346142
O,6.349147
L,6.352152
I,6.634603
N,6.634603
G,6.634603
N,6.634603
I,6.637608
L,6.640613
I,6.82691
M,6.887006
P,6.887006
M,6.887006
N,6.887006
B,6.890011
H,6.890011
I,6.890011
M,6.890011
O,6.890011
N,6.890011
H,6.899026
H,6.899026
I,6.899026
N,6.899026
A,6.899026
A,6.899026
B,6.905035
H,6.905035
C,6.920059
C,6.920059
G,6.923064
N,6.923064
N,6.923064
G,6.923064
O,6.926069
L,6.929074
I,7.211525
N,7.211525
G,7.211525
N,7.211525
I,7.21453
L,7.217535
E,7.328712
F,7.328712
B,7.328712
H,7.328712
I,7.35876
N,7.35876
B,7.361765
H,7.361765
H,7.361765
I,7.361765
O,7.403832
N,7.403832
J,7.472943
N,7.472943
I,7.472943
N,7.472943
A,7.487967
A,7.487967
B,7.487967
N,7.487967
N,7.487967
B,7.487967
H,7.487967
I,7.487967
N,7.490972
H,7.490972
G,7.490972
O,7.490972
N,7.490972
H,7.490972
I,7.490972
N,7.490972
B,7.499986
N,7.499986
N,7.499986
G,7.499986
O,7.502991
L,7.505996
I,7.788447
N,7.788447
G,7.788447
N,7.788447
I,7.791452
L,7.794457
I,7.980754
N,8.073903
N,8.073903
H,8.073903
I,8.073903
N,8.073903
A,8.073903
B,8.073903
F,8.073903
B,8.073903
G,8.073903
N,8.073903
G,8.073903
N,8.073903
A,8.073903
B,8.073903
D,8.073903
B,8.076908
M,8.076908
N,8.076908
H,8.076908
H,8.076908
G,8.076908
O,8.079913
L,8.082918
F,8.338326
B,8.338326
I,8.338326
N,8.338326
G,8.338326
O,8.338326
N,8.338326
A,8.338326
B,8.341331
H,8.341331
C,8.362364
F,8.362364
B,8.365369
N,8.365369
G,8.365369
N,8.365369
H,8.365369
C,8.365369
C,8.365369
F,8.365369
B,8.365369
I,8.365369
N,8.368374
C,8.371379
I,8.557676
M,8.58472
P,8.58472
P,8.617772
P,8.617772
N,8.617772
P,8.617772
I,8.617772
N,8.617772
B,8.632796
H,8.632796
I,8.632796
N,8.632796
B,8.65383
N,8.65383
N,8.65383
G,8.65383
O,8.656835
N,8.656835
B,8.656835
D,8.65984
C,8.668854
H,8.668854
I,8.671859
N,8.671859
B,8.671859
H,8.671859
I,8.79806
P,8.79806
M,8.840128
N,8.840128
B,8.840128
H,8.840128
I,8.846137
N,8.846137
B,8.849142
H,8.849142
G,8.942291
N,8.942291
G,8.942291
N,8.942291
I,8.945296
L,8.948301
E,9.032435
I,9.032435
N,9.032435
P,9.032435
I,9.032435
N,9.032435
B,9.03544
H,9.03544
I,9.03544
N,9.03544
B,9.03544
I,9.03544
M,9.083517
N,9.083517
B,9.083517
H,9.083517
I,9.089526
N,9.089526
B,9.089526
H,9.089526
G,9.134598
O,9.227747
N,9.227747
K,9.230752
O,9.230752
N,9.230752
B,9.230752
G,9.230752
N,9.230752
B,9.230752
N,9.230752
B,9.230752
L,9.230752
O,9.230752
N,9.230752
B,9.230752
F,9.230752
B,9.233757
N,9.233757
C,9.233757
C,9.236762
F,9.239766
B,9.239766
G,9.519213
N,9.519213
G,9.519213
N,9.519213
I,9.522218
L,9.525223
I,9.71152
N,9.71152
O,9.807674
O,9.807674
N,9.807674
G,9.807674
O,9.810679
L,9.813684
I,10.096135
N,10.096135
G,10.096135
N,10.096135
I,10.09914
L,10.102145
I,10.288442
M,10.372577
P,10.372577
N,10.378586
N,10.378586
I,10.378586
N,10.378586
A,10.378586
A,10.378586
B,10.381591
H,10.381591
I,10.381591
M,10.381591
K,10.384596
O,10.384596
N,10.384596
B,10.384596
L,10.384596
I,10.384596
N,10.384596
B,10.384596
N,10.387601
L,10.390606
F,10.390606
B,10.390606
F,10.408634
B,10.408634
E,10.63099
I,10.63099
M,10.640004
N,10.640004
B,10.640004
N,10.640004
F,10.664043
B,10.664043
I,10.664043
N,10.664043
B,10.673057
N,10.673057
G,10.673057
N,10.673057
I,10.676062
L,10.679067
I,10.865364
N,10.907432
L,10.907432
O,10.907432
M,10.907432
N,10.907432
C,10.907432
C,10.922456
G,10.922456
N,10.922456
N,10.922456
I,10.922456
N,10.922456
B,10.928465
F,10.928465
B,10.93147
H,10.93147
C,10.958513
F,10.958513
B,10.961518
N,10.961518
N,10.961518
F,10.961518
B,10.961518
G,10.961518
O,10.964523
L,10.967528
I,11.249979
N,11.249979
G,11.249979
N,11.249979
I,11.252984
L,11.255989
I,11.442286
N,11.493368
N,11.493368
I,11.493368
N,11.493368
B,11.517406
O,11.517406
N,11.517406
M,11.517406
N,11.517406
D,11.517406
B,11.535435
H,11.535435
I,11.535435
M,11.535435
N,11.535435
N,11.535435
B,11.53844
N,11.53844
N,11.53844
G,11.53844
O,11.53844
N,11.53844
B,11.541445
N,11.54445
F,11.547454
B,11.547454
G,11.826901
N,11.826901
G,11.826901
N,11.826901
I,11.829906
L,11.832911
E,11.947093
I,11.947093
M,11.947093
N,11.947093
C,11.950098
I,11.950098
N,11.980146
N,11.980146
I,11.980146
N,11.980146
B,12.019208
N,12.019208
K,12.091324
N,12.091324
M,12.100338
O,12.100338
N,12.100338
N,12.100338
I,12.100338
N,12.100338
A,12.100338
B,12.100338
I,12.115362
N,12.115362
N,12.115362
G,12.115362
O,12.115362
N,12.115362
B,12.118367
H,12.118367
F,12.118367
B,12.118367
F,12.118367
B,12.118367
H,12.118367
I,12.121372
O,12.403823
N,12.403823
G,12.403823
N,12.403823
I,12.406828
L,12.409833
I,12.59613
N,12.644207
N,12.644207
I,12.644207
N,12.644207
B,12.656226
F,12.656226
B,12.662236
N,12.662236
L,12.662236
F,12.662236
B,12.67125
H,12.67125
I,12.67125
N,12.67125
A,12.689279
B,12.689279
I,12.689279
O,12.689279
M,12.689279
N,12.689279
B,12.692284
N,12.692284
N,12.692284
G,12.692284
O,12.695289
L,12.698294
C,12.920649
I,12.920649
N,12.920649
C,12.920649
I,12.947692
L,12.947692
H,12.947692
I,12.947692
N,12.947692
A,12.947692
A,12.959711
B,12.959711
I,12.959711
N,12.959711
B,12.980745
N,12.980745
G,12.980745
L,12.980745
N,12.980745
B,12.980745
N,12.98375
N,12.986755
B,12.986755
I,12.986755
O,13.173052
N,13.182067
N,13.182067
I,13.182067
N,13.182067
B,13.212115
M,13.212115
L,13.230144
F,13.230144
B,13.230144
H,13.230144
H,13.233148
I,13.233148
N,13.245168
H,13.245168
I,13.245168
N,13.245168
B,13.269206
P,13.269206
N,13.269206
B,13.269206
L,13.269206
G,13.269206
O,13.272211
N,13.272211
C,13.272211
E,13.275216
E,13.404422
F,13.404422
B,13.404422
H,13.404422
H,13.431465
I,13.431465
N,13.43447
A,13.43447
B,13.43447
H,13.43447
G,13.557667
N,13.557667
G,13.557667
N,13.557667
I,13.560672
L,13.563677
C,13.614758
H,13.614758
I,13.614758
N,13.614758
B,13.629782
H,13.629782
I,13.629782
P,13.629782
M,13.629782
N,13.629782
B,13.66584
I,13.66584
O,13.66584
N,13.66584
L,13.66584
F,13.66584
A,13.686873
A,13.686873
B,13.686873
H,13.686873
G,13.749974
M,13.831104
N,13.831104
I,13.831104
N,13.831104
B,13.831104
G,13.831104
N,13.831104
L,13.831104
F,13.834109
A,13.834109
B,13.834109
D,13.834109
B,13.840118
H,13.840118
G,13.846128
M,13.846128
N,13.846128
I,13.846128
O,13.846128
L,13.846128
O,13.846128
L,13.846128
I,13.849133
N,13.852138
F,13.855142
B,13.855142
G,14.134589
N,14.134589
G,14.134589
N,14.134589
I,14.137594
L,14.140599
I,14.326896
N,14.326896
O,14.42305
O,14.42305
N,14.42305
G,14.42305
O,14.426055
L,14.42906
I,14.711511
N,14.711511
