motifs,time
L,2.823528
K,2.823528
N,2.823528
K,2.823528
O,2.823528
N,2.823528
N,2.823528
E,2.823528
F,2.823528
B,2.823528
N,2.823528
G,2.999998
P,2.999998
N,2.999998
N,2.999998
O,3.176469
N,3.176469
O,3.176469
O,3.176469
N,3.176469
N,3.176469
O,3.35294
N,3.35294
K,3.35294
O,3.35294
N,3.35294
B,3.35294
N,3.35294
N,3.35294
O,3.52941
N,3.52941
G,3.52941
K,3.52941
N,3.52941
P,3.52941
K,3.70588
O,3.70588
N,3.70588
O,3.882351
O,3.882351
N,3.882351
N,3.882351
O,3.882351
O,3.882351
P,3.882351
O,3.882351
N,3.882351
H,3.882351
I,3.882351
L,4.058822
K,4.058822
O,4.058822
N,4.058822
K,4.227939
O,4.235292
N,4.235292
L,4.235292
O,4.235292
O,4.235292
N,4.411762
O,4.411762
O,4.411762
N,4.411762
B,4.411762
N,4.588233
O,4.588233
O,4.588233
N,4.588233
O,4.588233
O,4.588233
P,4.764704
N,4.764704
K,4.764704
N,4.764704
N,4.933821
O,4.933821
N,4.933821
N,4.933821
B,4.941174
O,4.941174
N,4.941174
G,4.941174
K,4.941174
O,4.941174
N,4.941174
L,4.992645
I,4.992645
N,5.029409
N,5.029409
B,5.110292
O,5.117644
N,5.117644
K,5.117644
N,5.117644
N,5.279409
O,5.279409
N,5.294115
N,5.294115
G,5.294115
O,5.294115
N,5.294115
N,5.294115
N,5.323527
F,5.323527
B,5.470586
O,5.470586
N,5.470586
L,5.617644
O,5.617644
N,5.639703
N,5.639703
B,5.647056
N,5.647056
O,5.647056
O,5.647056
N,5.647056
O,5.647056
O,5.647056
N,5.647056
E,5.647056
I,5.647056
O,5.647056
N,5.647056
H,5.654409
D,5.654409
B,5.823526
N,5.823526
L,5.823526
K,5.823526
N,5.823526
N,5.823526
K,5.933821
O,5.933821
N,5.970585
N,5.970585
B,5.999997
N,5.999997
O,5.999997
O,5.999997
N,5.999997
N,5.999997
L,6.088232
F,6.088232
B,6.088232
O,6.088232
L,6.176468
N,6.176468
L,6.176468
K,6.176468
O,6.176468
N,6.176468
N,6.176468
N,6.176468
P,6.176468
C,6.176468
E,6.176468
E,6.25735
F,6.25735
B,6.264703
O,6.264703
N,6.338232
N,6.338232
B,6.338232
O,6.338232
L,6.352938
N,6.352938
G,6.352938
K,6.352938
N,6.352938
P,6.352938
K,6.529408
O,6.529408
N,6.529408
K,6.705879
O,6.705879
N,6.705879
O,6.705879
N,6.705879
G,6.705879
P,6.705879
O,6.705879
N,6.705879
N,6.705879
E,6.705879
F,6.838232
A,6.838232
B,6.852938
O,6.852938
N,6.88235
L,6.88235
O,6.88235
N,6.88235
L,6.955879
F,6.955879
B,6.977938
O,6.977938
O,7.051467
O,7.05882
N,7.05882
O,7.05882
O,7.05882
M,7.05882
O,7.05882
N,7.088232
D,7.088232
B,7.117644
O,7.117644
O,7.23529
O,7.23529
N,7.23529
O,7.23529
N,7.23529
B,7.23529
L,7.23529
K,7.411761
O,7.411761
N,7.411761
O,7.411761
O,7.411761
L,7.411761
J,7.507349
O,7.507349
N,7.529408
N,7.529408
B,7.588232
O,7.588232
N,7.588232
N,7.588232
L,7.588232
L,7.691173
F,7.691173
B,7.691173
O,7.691173
N,7.749996
N,7.749996
B,7.757349
O,7.757349
O,7.764702
O,7.764702
N,7.764702
G,7.764702
K,7.764702
N,7.764702
L,7.764702
O,7.764702
N,7.764702
I,7.764702
N,7.764702
I,7.93382
O,7.941172
N,7.941172
K,7.941172
N,7.941172
N,7.941172
N,8.044114
A,8.044114
B,8.073525
O,8.073525
N,8.095584
N,8.095584
B,8.117643
K,8.117643
O,8.117643
N,8.117643
L,8.117643
O,8.117643
O,8.294114
L,8.294114
O,8.294114
N,8.294114
L,8.294114
O,8.41176
O,8.41176
N,8.448525
N,8.448525
B,8.470584
N,8.470584
L,8.470584
K,8.470584
N,8.470584
K,8.470584
O,8.470584
N,8.470584
N,8.470584
E,8.470584
F,8.470584
B,8.470584
N,8.470584
G,8.647054
