motifs,time
G,1.832031
N,1.832031
N,1.832031
I,1.847656
N,1.875
L,2.246094
E,2.246094
I,2.246094
N,2.25
I,2.261719
N,2.625
G,2.625
O,2.625
M,2.957031
N,2.957031
H,2.957031
G,2.972656
O,3
N,3.371094
B,3.371094
I,3.371094
N,3.375
B,3.386719
N,3.75
E,3.75
G,4.082031
N,4.082031
H,4.082031
G,4.097656
M,4.125
L,4.496094
E,4.496094
I,4.496094
N,4.5
I,4.511719
N,4.875
G,4.875
O,4.875
M,5.207031
N,5.207031
H,5.207031
G,5.222656
O,5.25
N,5.347656
M,5.347656
N,5.355469
B,5.355469
M,5.429688
M,5.429688
O,5.542969
N,5.542969
N,5.617188
B,5.617188
P,5.621094
N,5.621094
I,5.621094
P,5.621094
K,5.621094
O,5.625
K,5.640625
N,5.957031
L,5.957031
N,5.960938
B,5.960938
M,5.996094
M,5.996094
O,6
N,6
G,6.1875
L,6.1875
J,6.1875
M,6.1875
N,6.203125
B,6.203125
P,6.277344
P,6.277344
M,6.304688
M,6.304688
P,6.332031
L,6.332031
N,6.332031
I,6.332031
O,6.332031
O,6.347656
M,6.355469
L,6.355469
M,6.363281
M,6.363281
O,6.375
N,6.746094
E,6.746094
I,6.746094
N,6.75
I,6.761719
O,7.097656
L,7.097656
O,7.105469
N,7.105469
N,7.121094
B,7.121094
O,7.125
N,7.125
O,7.125
O,7.234375
L,7.234375
O,7.273438
N,7.273438
N,7.277344
B,7.277344
M,7.417969
M,7.417969
M,7.441406
M,7.441406
P,7.441406
P,7.441406
P,7.457031
L,7.457031
H,7.457031
F,7.457031
B,7.457031
O,7.472656
P,7.484375
L,7.484375
O,7.484375
N,7.484375
N,7.5
D,7.835938
G,7.835938
M,7.839844
M,7.839844
O,7.859375
N,7.859375
N,7.871094
C,7.871094
I,7.871094
N,7.875
B,7.886719
O,7.957031
L,7.957031
M,7.960938
M,7.960938
O,8.023438
N,8.023438
N,8.152344
B,8.152344
M,8.164062
M,8.164062
O,8.210938
N,8.210938
L,8.210938
G,8.210938
M,8.246094
M,8.246094
O,8.25
N,8.25
G,8.285156
L,8.285156
N,8.421875
I,8.421875
M,8.453125
M,8.453125
O,8.484375
N,8.484375
N,8.578125
B,8.578125
P,8.582031
N,8.582031
I,8.582031
K,8.597656
O,8.613281
N,8.613281
G,8.613281
O,8.613281
L,8.613281
O,8.613281
N,8.613281
N,8.625
N,8.996094
E,8.996094
I,8.996094
N,9
I,9.011719
N,9.375
G,9.375
N,9.375
M,9.707031
N,9.707031
H,9.707031
G,9.722656
O,9.75
L,9.886719
G,9.886719
M,9.902344
M,9.902344
O,9.90625
N,9.90625
L,10.058594
G,10.058594
O,10.066406
N,10.066406
N,10.101562
B,10.101562
O,10.121094
N,10.121094
I,10.121094
N,10.125
B,10.140625
O,10.210938
L,10.210938
O,10.230469
N,10.230469
N,10.238281
B,10.238281
P,10.386719
P,10.386719
M,10.40625
M,10.40625
O,10.429688
N,10.429688
O,10.5
L,10.5
I,10.53125
L,10.53125
O,10.550781
N,10.550781
N,10.554688
B,10.554688
M,10.832031
L,10.832031
N,10.832031
I,10.847656
N,10.875
L,10.941406
K,10.941406
O,10.976562
N,10.976562
N,11.03125
B,11.03125
M,11.132812
M,11.132812
O,11.171875
N,11.171875
L,11.1875
G,11.1875
P,11.21875
P,11.21875
O,11.246094
N,11.246094
I,11.246094
O,11.25
K,11.25
O,11.25
N,11.25
N,11.25
K,11.261719
O,11.496094
L,11.496094
O,11.570312
N,11.570312
L,11.570312
G,11.570312
P,11.578125
P,11.578125
M,11.625
K,11.625
L,11.625
I,11.628906
N,11.628906
K,11.628906
O,11.628906
N,11.65625
B,11.65625
P,11.949219
P,11.949219
P,11.957031
L,11.957031
H,11.957031
G,11.972656
O,11.972656
L,11.972656
P,12
L,12.0625
P,12.0625
N,12.105469
I,12.105469
M,12.105469
M,12.105469
O,12.210938
N,12.210938
N,12.371094
B,12.371094
I,12.371094
N,12.375
B,12.386719
N,12.75
E,12.75
G,13.082031
N,13.082031
H,13.082031
G,13.097656
M,13.125
L,13.496094
E,13.496094
I,13.496094
N,13.5
I,13.511719
N,13.875
G,13.875
O,13.875
M,14.207031
N,14.207031
H,14.207031
G,14.222656
O,14.25
N,14.398438
B,14.398438
O,14.4375
N,14.4375
N,14.453125
B,14.453125
P,14.597656
P,14.597656
O,14.613281
N,14.613281
N,14.621094
D,14.621094
I,14.621094
N,14.625
B,14.640625
O,14.640625
L,14.640625
M,14.953125
M,14.953125
O,14.96875
N,14.96875
N,14.96875
B,14.96875
O,15
N,15
G,15.165039
L,15.165039
M,15.1875
M,15.1875
O,15.1875
N,15.1875
P,15.273438
P,15.273438
L,15.332031
I,15.332031
N,15.332031
E,15.332031
G,15.332031
O,15.347656
N,15.367188
L,15.367188
O,15.367188
N,15.367188
N,15.375
N,15.746094
E,15.746094
I,15.746094
N,15.75
I,15.761719
O,16.113281
L,16.113281
O,16.125
N,16.125
L,16.125
M,16.125
K,16.125
N,16.160156
L,16.160156
L,16.269531
G,16.269531
O,16.269531
N,16.269531
N,16.273438
B,16.273438
P,16.34375
P,16.34375
P,16.453125
P,16.453125
O,16.457031
L,16.457031
H,16.457031
G,16.472656
O,16.472656
L,16.472656
O,16.476562
N,16.476562
N,16.488281
I,16.488281
O,16.5
N,16.507812
G,16.507812
