motifs,time
L,1.30263
L,1.30263
G,1.30263
O,1.30263
N,1.30263
E,1.30263
I,1.30263
O,1.894734
L,1.894734
N,1.894734
K,2.210523
N,2.210523
L,2.210523
N,2.210523
K,2.210523
N,2.210523
E,2.210523
E,2.210523
I,2.223681
O,2.796048
L,2.796048
O,3.15789
N,3.15789
L,3.15789
I,3.15789
O,3.15789
O,3.15789
N,3.15789
N,3.15789
G,3.447363
O,3.473679
L,3.473679
N,3.473679
P,3.743415
P,3.743415
L,3.789468
G,3.796047
N,4.105257
G,4.105257
N,4.105257
O,4.105257
N,4.105257
G,4.105257
N,4.105257
I,4.118415
L,4.263152
N,4.39473
A,4.743414
A,4.89473
B,4.89473
L,4.89473
O,5.052624
N,5.052624
L,5.052624
N,5.052624
K,5.052624
K,5.052624
O,5.052624
O,5.052624
O,5.052624
N,5.052624
N,5.157887
E,5.26315
I,5.342097
O,5.368413
L,5.368413
I,5.368413
N,5.368413
E,5.473676
E,5.578939
E,5.684202
I,5.684202
L,5.684202
H,5.684202
G,5.690781
M,5.842096
L,5.842096
O,5.999991
N,5.999991
L,5.999991
N,5.999991
L,5.999991
L,5.999991
I,5.999991
L,5.999991
I,6.013149
N,6.105254
P,6.157886
O,6.210517
M,6.289464
O,6.31578
L,6.31578
I,6.31578
N,6.31578
E,6.421043
E,6.526306
E,6.631569
I,6.631569
L,6.631569
H,6.631569
F,6.631569
B,6.631569
O,6.638148
N,6.789464
B,6.947358
G,6.947358
L,6.947358
N,6.947358
J,6.947358
K,6.947358
J,6.947358
O,6.947358
N,6.947358
I,7.052621
M,7.157884
K,7.236831
N,7.263147
L,7.263147
N,7.263147
N,7.263147
N,7.263147
H,7.263147
D,7.263147
F,7.36841
B,7.473673
G,7.578936
O,7.578936
N,7.578936
N,7.578936
L,7.578936
I,7.578936
N,7.578936
I,7.585515
M,7.684199
N,7.789462
G,7.891436
O,7.891436
M,7.891436
M,7.891436
O,7.894725
N,7.894725
L,7.894725
N,7.894725
L,7.894725
G,7.894725
N,7.894725
G,7.894725
N,7.894725
N,7.894725
B,7.894725
I,7.907883
O,7.999988
O,8.05262
N,8.082225
L,8.082225
M,8.085514
M,8.085514
N,8.105251
L,8.148014
I,8.148014
M,8.167751
M,8.167751
O,8.184198
N,8.207225
L,8.207225
N,8.210514
B,8.223672
M,8.223672
N,8.315777
L,8.42104
I,8.526303
O,8.532882
L,8.536171
I,8.624987
L,8.624987
N,8.631566
N,8.638145
I,8.664461
O,8.664461
O,8.684198
N,8.736829
L,8.812487
K,8.812487
M,8.828934
M,8.828934
O,8.835513
N,8.838803
N,8.842092
N,8.842092
G,8.934197
L,8.934197
M,8.947355
M,8.947355
N,9.062486
O,9.062486
M,9.065776
M,9.065776
P,9.121697
P,9.121697
O,9.121697
L,9.121697
N,9.121697
I,9.134855
O,9.134855
L,9.134855
O,9.157881
N,9.174328
L,9.174328
M,9.184197
M,9.184197
P,9.253276
P,9.253276
M,9.253276
M,9.253276
O,9.470381
N,9.470381
I,9.470381
N,9.47367
I,9.483538
O,9.542749
L,9.542749
M,9.542749
M,9.542749
M,9.72038
M,9.72038
M,9.736828
M,9.736828
P,9.753275
P,9.753275
M,9.756564
M,9.756564
O,9.789459
N,9.789459
O,9.789459
M,9.792748
L,9.792748
M,9.822354
M,9.822354
P,9.874985
P,9.874985
M,9.894722
M,9.894722
M,10.055906
M,10.055906
M,10.069064
M,10.069064
P,10.069064
L,10.069064
H,10.069064
G,10.082222
O,10.09209
L,10.09209
O,10.105248
N,10.111827
G,10.111827
P,10.180906
P,10.180906
M,10.21709
M,10.21709
P,10.269721
P,10.269721
M,10.309195
M,10.309195
O,10.417748
N,10.417748
I,10.417748
N,10.421037
B,10.430905
O,10.532879
L,10.532879
M,10.562484
M,10.562484
M,10.7138
M,10.7138
O,10.736826
N,10.736826
G,10.756563
L,10.756563
P,10.7763
P,10.7763
M,10.805905
M,10.805905
P,10.861826
P,10.861826
M,10.89472
M,10.89472
N,10.980247
O,10.980247
P,11.016431
L,11.016431
H,11.016431
I,11.016431
K,11.016431
O,11.029589
N,11.052615
L,11.072352
G,11.072352
M,11.08551
M,11.08551
M,11.365115
N,11.365115
I,11.365115
N,11.368404
I,11.378272
O,11.569062
L,11.569062
M,11.63814
M,11.63814
P,11.63814
P,11.63814
O,11.684193
N,11.684193
O,11.684193
P,11.687482
L,11.687482
P,11.687482
P,11.687482
M,11.759851
M,11.759851
M,11.960508
M,11.960508
M,11.963798
L,11.963798
H,11.963798
G,11.976956
O,11.983535
L,11.983535
O,11.999982
N,12.286166
G,12.286166
M,12.289455
M,12.289455
O,12.312482
N,12.312482
I,12.312482
N,12.315771
B,12.328929
O,12.361824
L,12.361824
M,12.388139
M,12.388139
M,12.605244
M,12.605244
M,12.608534
M,12.608534
O,12.63156
