motifs,time
N,2.823528
O,2.823528
O,2.830881
N,2.830881
L,2.830881
I,2.830881
P,2.830881
O,2.999998
O,2.999998
M,3.176469
M,3.176469
M,3.35294
O,3.35294
O,3.35294
N,3.35294
P,3.52941
M,3.52941
L,3.52941
C,3.52941
I,3.52941
N,3.52941
I,3.70588
N,3.882351
B,3.882351
N,3.882351
O,3.882351
O,3.882351
L,3.882351
G,3.882351
N,3.882351
I,4.058822
K,4.058822
N,4.227939
B,4.235292
M,4.411762
M,4.411762
M,4.588233
N,4.764704
A,4.941174
B,4.941174
N,4.941174
K,4.941174
L,5.110292
I,5.117644
P,5.117644
N,5.117644
P,5.294115
O,5.294115
N,5.294115
L,5.470586
N,5.470586
G,5.647056
N,5.647056
O,5.647056
O,5.647056
M,5.647056
N,5.647056
L,5.647056
F,5.647056
G,5.647056
O,5.647056
N,5.647056
I,5.647056
N,5.647056
H,5.661762
C,5.720585
I,5.823526
N,5.823526
M,5.999997
M,5.999997
M,6.176468
O,6.176468
O,6.176468
N,6.176468
P,6.352938
M,6.352938
L,6.529408
N,6.691173
M,6.705879
O,6.705879
L,6.705879
L,6.705879
O,6.705879
N,6.705879
I,6.705879
O,6.705879
L,6.705879
L,6.705879
N,6.705879
G,6.705879
K,6.794114
N,6.88235
I,6.88235
O,6.88235
M,7.051467
O,7.05882
N,7.23529
B,7.23529
N,7.411761
B,7.411761
M,7.588232
N,7.764702
M,7.764702
O,7.764702
N,7.764702
K,7.764702
L,7.93382
I,7.941172
N,7.941172
K,7.941172
O,7.941172
L,8.117643
H,8.117643
I,8.117643
N,8.117643
L,8.294114
L,8.294114
I,8.294114
P,8.294114
N,8.463231
N,8.470584
N,8.470584
L,8.470584
K,8.470584
N,8.470584
K,8.470584
O,8.470584
N,8.470584
N,8.470584
E,8.470584
F,8.470584
B,8.470584
N,8.470584
G,8.647054
P,8.647054
N,8.647054
N,8.647054
O,8.823525
N,8.823525
O,8.823525
O,8.823525
N,8.823525
N,8.823525
O,8.999996
N,8.999996
K,8.999996
O,8.999996
N,8.999996
B,8.999996
N,8.999996
N,8.999996
O,9.176466
N,9.176466
G,9.176466
K,9.176466
N,9.176466
P,9.176466
K,9.352936
O,9.352936
N,9.352936
O,9.529407
O,9.529407
N,9.529407
N,9.529407
O,9.529407
O,9.529407
P,9.529407
O,9.529407
N,9.529407
H,9.529407
I,9.529407
L,9.705878
K,9.705878
O,9.705878
N,9.705878
K,9.874995
O,9.882348
N,9.882348
L,9.882348
O,9.882348
O,9.882348
N,10.058818
O,10.058818
O,10.058818
N,10.058818
B,10.058818
N,10.235289
O,10.235289
O,10.235289
N,10.235289
O,10.235289
O,10.235289
P,10.41176
N,10.41176
K,10.41176
N,10.41176
M,10.58823
O,10.58823
N,10.58823
G,10.58823
K,10.58823
N,10.58823
K,10.58823
M,10.58823
M,10.58823
K,10.58823
O,10.58823
L,10.757348
O,10.7647
N,10.7647
K,10.7647
N,10.7647
N,10.904406
P,10.904406
M,10.911759
M,10.911759
L,10.941171
L,10.941171
G,10.941171
O,10.941171
N,10.941171
N,10.941171
J,11.117642
O,11.117642
N,11.117642
L,11.2647
P,11.2647
M,11.2647
M,11.2647
K,11.294112
N,11.294112
O,11.294112
O,11.294112
N,11.294112
N,11.294112
H,11.294112
I,11.294112
O,11.294112
N,11.294112
I,11.46323
M,11.46323
K,11.470582
N,11.470582
L,11.470582
K,11.470582
N,11.470582
N,11.470582
I,11.470582
N,11.470582
K,11.566171
P,11.566171
M,11.580877
M,11.580877
K,11.647053
N,11.647053
O,11.647053
O,11.647053
N,11.647053
O,11.647053
N,11.647053
N,11.647053
B,11.647053
M,11.647053
K,11.823524
N,11.823524
L,11.823524
K,11.823524
O,11.823524
N,11.823524
N,11.823524
N,11.823524
P,11.823524
C,11.823524
E,11.823524
G,11.963229
M,11.963229
M,11.963229
M,11.963229
K,11.999994
N,11.999994
G,11.999994
K,11.999994
N,11.999994
P,11.999994
K,12.176464
O,12.176464
N,12.176464
K,12.352935
O,12.352935
N,12.352935
O,12.352935
N,12.352935
G,12.352935
P,12.352935
O,12.352935
N,12.352935
N,12.352935
E,12.352935
G,12.529406
K,12.529406
O,12.529406
N,12.529406
K,12.647052
P,12.647052
M,12.661758
M,12.661758
P,12.683817
P,12.683817
O,12.698523
N,12.698523
K,12.698523
K,12.705876
N,12.705876
O,12.705876
O,12.705876
M,12.705876
O,12.705876
L,12.882346
O,12.882346
N,12.882346
O,12.882346
N,12.882346
B,12.882346
L,12.882346
K,13.058817
O,13.058817
N,13.058817
O,13.058817
O,13.058817
L,13.058817
K,13.198523
M,13.198523
M,13.205876
M,13.205876
K,13.235288
O,13.235288
N,13.235288
N,13.235288
L,13.235288
K,13.397052
N,13.397052
O,13.411758
O,13.411758
N,13.411758
G,13.411758
K,13.411758
N,13.411758
N,13.411758
N,13.411758
K,13.411758
N,13.411758
N,13.411758
I,13.411758
N,13.411758
I,13.580876
O,13.588228
N,13.588228
K,13.588228
N,13.588228
N,13.588228
K,13.749993
N,13.749993
K,13.764699
J,13.764699
O,13.764699
N,13.764699
L,13.764699
O,13.764699
N,13.764699
L,13.764699
I,13.764699
P,13.764699
P,13.764699
P,13.764699
K,13.94117
L,13.94117
O,13.94117
N,13.94117
L,13.94117
O,14.110287
N,14.110287
K,14.11764
N,14.11764
L,14.11764
K,14.11764
N,14.11764
O,14.11764
N,14.11764
K,14.11764
O,14.11764
N,14.11764
N,14.11764
I,14.11764
N,14.11764
E,14.11764
F,14.11764
B,14.11764
N,14.11764
I,14.183816
O,14.183816
K,14.29411
O,14.29411
N,14.29411
N,14.29411
K,14.448522
N,14.448522
P,14.463228
P,14.463228
N,14.463228
B,14.463228
N,14.463228
G,14.463228
K,14.470581
N,14.470581
O,14.470581
O,14.470581
N,14.470581
N,14.470581
O,14.647052
N,14.647052
K,14.647052
O,14.647052
N,14.647052
B,14.647052
N,14.647052
N,14.647052
L,14.808816
G,14.808816
N,14.821684
B,14.821684
K,14.823522
N,14.823522
G,14.823522
K,14.823522
N,14.823522
P,14.823522
L,14.882346
O,14.882346
M,14.882346
M,14.882346
O,14.999992
O,14.999992
N,14.999992
K,15.154404
N,15.154404
K,15.176463
O,15.176463
N,15.176463
N,15.176463
O,15.176463
O,15.176463
P,15.176463
O,15.176463
L,15.176463
M,15.176463
L,15.176463
H,15.176463
I,15.176463
K,15.330875
N,15.330875
N,15.352934
G,15.352934
N,15.352934
G,15.352934
K,15.352934
N,15.352934
K,15.522051
O,15.529404
N,15.529404
L,15.529404
O,15.529404
O,15.529404
L,15.536757
M,15.536757
M,15.588228
M,15.588228
K,15.705874
O,15.705874
O,15.705874
N,15.705874
B,15.705874
N,15.882345
O,15.882345
O,15.882345
N,15.882345
O,15.882345
O,15.882345
L,15.985286
N,15.985286
M,15.985286
M,15.985286
L,16.022051
I,16.022051
N,16.036757
B,16.036757
K,16.058816
N,16.058816
K,16.058816
N,16.058816
N,16.22058
G,16.22058
L,16.235286
I,16.235286
N,16.235286
G,16.235286
K,16.235286
N,16.235286
G,16.235286
N,16.235286
N,16.235286
I,16.360286
P,16.360286
M,16.382345
M,16.382345
O,16.404404
O,16.411756
N,16.411756
K,16.411756
N,16.411756
N,16.551462
N,16.551462
M,16.573521
M,16.573521
L,16.588227
L,16.588227
G,16.588227
O,16.588227
N,16.588227
N,16.588227
L,16.698521
P,16.698521
M,16.698521
M,16.698521
O,16.764698
O,16.764698
N,16.764698
L,16.933815
P,16.933815
N,16.933815
B,16.933815
O,16.941168
N,16.941168
O,16.941168
O,16.941168
N,16.941168
N,16.941168
H,16.941168
I,16.941168
O,16.941168
N,16.941168
I,17.073521
M,17.073521
M,17.073521
M,17.073521
K,17.117638
N,17.117638
L,17.117638
K,17.117638
N,17.117638
N,17.117638
K,17.27205
N,17.27205
M,17.27205
M,17.27205
K,17.294109
N,17.294109
O,17.294109
O,17.294109
N,17.294109
N,17.294109
J,17.352932
P,17.352932
N,17.455874
B,17.455874
O,17.47058
N,17.47058
L,17.47058
K,17.47058
O,17.47058
N,17.47058
N,17.47058
N,17.47058
P,17.47058
C,17.47058
E,17.47058
I,17.64705
N,17.64705
G,17.64705
K,17.64705
N,17.64705
O,17.64705
N,17.64705
N,17.64705
L,17.705874
I,17.705874
P,17.77205
P,17.77205
O,17.82352
O,17.82352
N,17.82352
N,17.82352
N,17.82352
G,17.955873
M,17.955873
M,17.985285
M,17.985285
O,17.999991
O,17.999991
N,17.999991
O,17.999991
N,17.999991
G,17.999991
P,17.999991
O,17.999991
N,17.999991
N,17.999991
E,17.999991
G,18.176462
K,18.176462
O,18.176462
N,18.176462
K,18.308814
M,18.308814
M,18.330873
M,18.330873
P,18.330873
P,18.330873
O,18.345579
O,18.352932
N,18.352932
O,18.352932
O,18.352932
M,18.352932
O,18.352932
N,18.352932
I,18.352932
L,18.529402
O,18.529402
N,18.529402
O,18.529402
N,18.529402
B,18.529402
L,18.529402
K,18.705873
O,18.705873
N,18.705873
O,18.705873
O,18.705873
L,18.705873
O,18.882344
O,18.882344
N,18.882344
N,18.882344
L,18.882344
K,19.058814
O,19.058814
N,19.058814
G,19.058814
K,19.058814
N,19.058814
L,19.058814
O,19.058814
N,19.058814
I,19.058814
N,19.058814
I,19.227932
O,19.235284
N,19.235284
K,19.235284
N,19.235284
N,19.235284
O,19.411755
K,19.411755
O,19.411755
N,19.411755
L,19.411755
O,19.411755
O,19.588226
L,19.588226
O,19.588226
N,19.588226
L,19.588226
P,19.742637
K,19.742637
P,19.764696
P,19.764696
O,19.764696
K,19.764696
N,19.764696
B,19.764696
L,19.764696
K,19.764696
N,19.764696
O,19.764696
N,19.764696
N,19.764696
B,19.764696
M,19.764696
N,19.764696
I,19.816167
N,19.816167
K,19.816167
N,19.816167
L,19.816167
F,19.816167
B,19.816167
O,19.941166
P,19.941166
N,19.941166
N,19.941166
I,20.117637
N,20.117637
O,20.117637
O,20.117637
N,20.117637
N,20.117637
K,20.279402
N,20.279402
K,20.294108
N,20.294108
K,20.294108
O,20.294108
N,20.294108
G,20.294108
N,20.294108
N,20.294108
I,20.294108
N,20.294108
I,20.470578
N,20.470578
G,20.470578
K,20.470578
N,20.470578
O,20.470578
N,20.470578
N,20.470578
B,20.507343
M,20.507343
O,20.647048
O,20.647048
N,20.647048
G,20.808813
N,20.808813
M,20.816166
M,20.816166
K,20.823519
O,20.823519
N,20.823519
N,20.823519
O,20.823519
O,20.823519
O,20.823519
O,20.823519
N,20.823519
H,20.823519
I,20.823519
K,20.992637
N,20.992637
N,20.99999
G,20.99999
O,20.99999
P,20.99999
N,20.99999
L,20.99999
O,21.095578
N,21.095578
M,21.117636
M,21.117636
O,21.169107
O,21.17646
N,21.17646
L,21.17646
O,21.17646
O,21.17646
N,21.17646
L,21.17646
I,21.213225
P,21.213225
K,21.35293
O,21.35293
O,21.35293
L,21.35293
I,21.35293
N,21.529401
I,21.529401
O,21.529401
N,21.529401
O,21.529401
O,21.529401
L,21.647048
N,21.647048
N,21.647048
B,21.647048
O,21.705872
N,21.705872
K,21.705872
N,21.705872
N,21.823518
N,21.823518
N,21.845577
B,21.845577
L,21.882342
I,21.882342
N,21.882342
G,21.882342
K,21.882342
O,21.882342
N,21.882342
