motifs,time
K,1.5
O,1.5
O,1.5
N,1.5
H,1.5
I,1.503906
L,1.507812
I,1.6875
N,1.6875
L,1.691406
E,1.695312
F,1.78125
B,1.785156
H,1.789062
G,1.875
O,1.875
N,1.875
N,1.875
B,1.878906
F,1.878906
B,1.882812
I,2.0625
L,2.0625
O,2.0625
P,2.0625
O,2.066406
L,2.070312
I,2.25
O,2.25
M,2.4375
N,2.625
B,2.625
L,2.625
N,2.628906
G,2.8125
N,2.8125
L,2.816406
E,2.820312
F,2.90625
B,2.910156
H,2.914062
G,3
L,3
O,3
P,3
O,3.003906
L,3.007812
I,3.1875
N,3.1875
L,3.191406
E,3.195312
F,3.28125
B,3.285156
H,3.289062
G,3.375
O,3.375
N,3.375
N,3.375
B,3.378906
F,3.378906
B,3.382812
I,3.5625
L,3.5625
O,3.5625
P,3.5625
O,3.566406
L,3.570312
I,3.75
N,3.9375
B,3.9375
N,4.03125
B,4.125
N,4.125
B,4.125
N,4.125
G,4.125
N,4.125
N,4.125
F,4.125
A,4.125
A,4.125
A,4.128906
A,4.285156
A,4.285156
A,4.308594
A,4.308594
B,4.3125
N,4.3125
L,4.316406
F,4.316406
A,4.316406
B,4.320312
C,4.433594
F,4.433594
B,4.472656
F,4.472656
B,4.472656
F,4.472656
A,4.496094
A,4.496094
B,4.5
N,4.5
K,4.5
N,4.5
A,4.5
A,4.5
B,4.5
K,4.5
N,4.5
L,4.5
E,4.5
F,4.503906
B,4.507812
I,4.6875
N,4.6875
L,4.691406
E,4.695312
E,4.75
F,4.75
B,4.78125
H,4.785156
H,4.789062
I,4.789062
N,4.789062
A,4.800781
A,4.800781
B,4.828125
F,4.828125
A,4.871094
A,4.871094
B,4.875
O,4.875
N,4.875
N,4.875
C,4.875
C,4.875
F,4.878906
A,4.878906
B,4.882812
C,4.996094
F,4.996094
A,5.03125
A,5.03125
A,5.03125
A,5.03125
B,5.035156
N,5.035156
B,5.0625
L,5.0625
O,5.0625
P,5.0625
O,5.066406
N,5.066406
B,5.066406
N,5.070312
E,5.085938
F,5.085938
B,5.191406
P,5.191406
O,5.191406
N,5.191406
N,5.191406
G,5.25
O,5.25
N,5.328125
N,5.328125
A,5.328125
A,5.328125
A,5.367188
A,5.367188
B,5.40625
D,5.40625
A,5.410156
A,5.410156
A,5.425781
A,5.425781
B,5.4375
M,5.570312
N,5.570312
A,5.578125
A,5.578125
A,5.578125
A,5.578125
B,5.621094
F,5.621094
B,5.625
N,5.625
L,5.625
N,5.628906
I,5.628906
N,5.628906
A,5.628906
A,5.628906
B,5.6875
D,5.6875
A,5.71875
A,5.71875
A,5.722656
A,5.722656
B,5.753906
F,5.753906
A,5.773438
A,5.773438
A,5.785156
A,5.785156
B,5.8125
N,5.8125
L,5.816406
E,5.820312
F,5.90625
B,5.910156
H,5.914062
I,5.960938
N,5.960938
A,5.964844
A,5.964844
A,5.96875
A,5.96875
B,6
L,6
O,6
O,6
O,6.003906
L,6.007812
I,6.1875
N,6.1875
L,6.191406
E,6.195312
F,6.28125
B,6.285156
H,6.289062
I,6.351562
N,6.351562
A,6.351562
A,6.351562
A,6.359375
A,6.359375
B,6.375
N,6.375
N,6.375
N,6.375
B,6.378906
F,6.378906
B,6.382812
I,6.5625
L,6.5625
O,6.5625
N,6.5625
A,6.5625
B,6.5625
K,6.5625
O,6.5625
N,6.566406
A,6.566406
B,6.566406
N,6.570312
I,6.75
N,6.9375
B,6.9375
N,7.03125
B,7.125
N,7.125
G,7.125
N,7.125
M,7.125
N,7.125
A,7.125
A,7.125
B,7.128906
C,7.128906
F,7.128906
B,7.285156
D,7.285156
A,7.300781
A,7.300781
B,7.3125
M,7.3125
N,7.3125
B,7.3125
N,7.316406
E,7.320312
F,7.46875
D,7.46875
A,7.46875
A,7.46875
A,7.472656
A,7.472656
B,7.492188
F,7.492188
A,7.496094
A,7.496094
A,7.496094
A,7.496094
B,7.5
N,7.5
K,7.5
O,7.5
N,7.5
L,7.5
E,7.5
F,7.503906
B,7.507812
I,7.6875
N,7.6875
L,7.691406
E,7.695312
F,7.78125
B,7.785156
H,7.789062
I,7.789062
N,7.789062
A,7.804688
A,7.804688
A,7.808594
A,7.808594
B,7.851562
D,7.851562
B,7.875
P,7.875
N,7.875
P,7.875
N,7.875
B,7.875
