motifs,time
A,5.164062
A,5.164062
B,6.085938
N,6.085938
O,6.132812
N,6.132812
K,6.140625
N,6.140625
B,6.148438
N,6.148438
A,6.1875
A,6.1875
B,6.1875
F,6.1875
A,6.203125
A,6.203125
A,6.4375
B,6.4375
M,6.460938
N,6.460938
A,6.492188
A,6.492188
A,6.726562
B,6.726562
M,6.734375
N,6.734375
A,6.757812
A,6.757812
B,6.820312
I,6.820312
M,6.84375
N,6.84375
A,6.851562
A,6.851562
A,7.085938
B,7.085938
M,7.117188
N,7.117188
A,7.125
A,7.125
B,7.125
G,7.125
K,7.148438
N,7.148438
B,7.164062
N,7.164062
A,7.164062
A,7.164062
A,7.585938
B,7.585938
M,7.609375
N,7.609375
A,7.648438
A,7.648438
B,7.648438
G,7.648438
M,7.648438
N,7.648438
A,7.671875
A,7.671875
A,8.085938
A,8.085938
A,8.101562
B,8.101562
O,8.117188
N,8.117188
B,8.132812
F,8.132812
B,8.132812
I,8.132812
K,8.140625
N,8.140625
B,8.164062
N,8.164062
A,8.445312
B,8.445312
M,8.453125
N,8.453125
A,8.476562
A,8.476562
A,8.609375
A,8.609375
B,8.609375
M,8.609375
N,8.648438
A,8.648438
A,8.804688
B,8.804688
M,8.804688
N,8.804688
A,8.820312
A,8.820312
B,8.835938
F,8.835938
B,8.835938
M,8.835938
N,8.859375
A,8.859375
A,9.101562
B,9.101562
M,9.101562
N,9.101562
A,9.140625
A,9.140625
B,9.140625
G,9.140625
M,9.140625
N,9.140625
A,9.164062
A,9.164062
B,9.171875
N,9.171875
B,9.617188
N,9.617188
M,9.625
N,9.625
A,9.632812
A,9.632812
B,9.664062
F,9.664062
B,9.664062
M,9.664062
N,9.664062
A,9.664062
A,10.148438
A,10.148438
A,10.15625
B,10.15625
M,10.15625
N,10.15625
B,10.15625
N,10.15625
B,10.335938
N,10.335938
M,10.335938
N,10.335938
A,10.335938
A,10.335938
B,10.414062
D,10.414062
A,10.421875
A,10.421875
A,10.4375
B,10.4375
P,10.476562
N,10.476562
A,10.492188
A,10.492188
A,10.507812
B,10.507812
M,10.757812
M,10.757812
M,10.765625
N,10.765625
A,10.765625
A,10.765625
B,10.851562
P,10.851562
N,10.859375
A,10.859375
A,10.890625
A,10.890625
A,11.125
A,11.125
B,11.125
M,11.125
N,11.132812
A,11.132812
B,11.132812
N,11.132812
B,11.148438
N,11.148438
M,11.148438
N,11.148438
A,11.1875
A,11.1875
A,11.601562
A,11.601562
B,11.617188
M,11.617188
N,11.625
A,11.625
B,11.65625
F,11.65625
A,11.65625
B,11.65625
M,11.65625
N,11.65625
A,12.101562
B,12.101562
M,12.109375
N,12.109375
B,12.125
O,12.125
O,12.125
N,12.125
B,12.125
N,12.125
B,12.132812
F,12.132812
A,12.148438
A,12.148438
B,12.453125
M,12.453125
N,12.453125
A,12.453125
A,12.492188
A,12.492188
A,12.617188
B,12.617188
M,12.617188
N,12.617188
A,12.640625
A,12.640625
A,12.804688
B,12.804688
M,12.820312
N,12.820312
A,12.820312
A,12.820312
B,12.828125
I,12.828125
M,12.828125
N,12.828125
A,12.859375
A,12.859375
A,13.125
B,13.125
M,13.125
N,13.125
A,13.132812
A,13.132812
B,13.15625
G,13.15625
M,13.15625
N,13.15625
A,13.15625
A,13.15625
B,13.15625
N,13.15625
B,13.625
N,13.625
M,13.640625
N,13.640625
A,13.671875
A,13.671875
B,13.673828
F,13.673828
B,13.673828
M,13.673828
N,13.673828
A,13.673828
A,14.148438
B,14.148438
M,14.15625
N,14.15625
A,14.1875
A,14.1875
B,14.203125
N,14.203125
B,14.34375
N,14.34375
M,14.359375
N,14.359375
A,14.40625
A,14.40625
B,14.453125
G,14.453125
M,14.476562
N,14.476562
A,14.515625
A,14.515625
B,14.515625
I,14.515625
M,14.546875
N,14.546875
A,14.585938
A,14.585938
B,14.789062
I,14.789062
M,14.828125
N,14.828125
B,14.84375
G,14.84375
M,14.875
N,14.875
B,14.875
F,14.875
B,14.929688
D,14.929688
A,15.0625
B,15.0625
M,15.117188
N,15.117188
B,15.140625
G,15.140625
M,15.148438
N,15.148438
B,15.171875
F,15.171875
B,15.21875
N,15.21875
B,15.226562
N,15.226562
B,15.289062
I,15.289062
M,15.328125
N,15.328125
B,15.382812
G,15.382812
M,15.398438
N,15.398438
B,15.398438
F,15.398438
B,15.5
D,15.5
B,15.617188
G,15.617188
M,15.632812
N,15.632812
A,15.710938
A,15.710938
B,15.804688
I,15.804688
M,15.835938
N,15.835938
B,15.835938
G,15.835938
M,15.867188
N,15.867188
B,15.890625
F,15.890625
B,15.929688
D,15.929688
A,16.078125
B,16.078125
M,16.109375
N,16.109375
B,16.132812
G,16.132812
M,16.140625
N,16.140625
B,16.179688
F,16.179688
B,16.195312
N,16.195312
B,16.21875
N,16.21875
B,16.609375
F,16.609375
B,16.609375
M,16.609375
N,16.671875
A,16.671875
B,16.742188
I,16.742188
M,16.796875
N,16.796875
B,16.859375
D,16.859375
B,16.867188
F,16.867188
B,16.867188
G,16.867188
M,16.9375
N,16.9375
B,17.09375
G,17.09375
M,17.125
N,17.125
B,17.195312
N,17.195312
B,17.195312
N,17.195312
B,17.59375
I,17.59375
M,17.625
N,17.625
A,17.648438
A,17.648438
B,17.664062
I,17.664062
M,17.703125
