motifs,time
N,1.28205
H,1.28205
H,1.79487
C,2.05128
G,2.05128
N,2.05128
K,2.5641
O,2.82051
N,2.82051
H,2.82051
G,3.33333
O,3.58974
L,3.58974
I,3.58974
P,3.84615
M,3.84615
P,3.84615
O,4.10256
M,4.35897
N,4.35897
H,4.35897
G,4.87179
P,5.1282
L,5.1282
N,5.1282
H,5.64102
D,5.89743
G,5.89743
L,5.89743
I,6.15384
M,6.15384
N,6.15384
H,6.41025
H,6.41025
I,6.41025
O,6.41025
O,7.126061
N,7.126061
N,7.17948
B,7.17948
O,7.17948
N,7.17948
K,7.17948
N,7.17948
J,7.219544
M,7.219544
N,7.43589
L,7.43589
E,7.43589
C,7.6923
G,7.6923
O,7.6923
N,7.6923
N,7.6923
B,7.6923
I,7.6923
L,7.91933
O,7.91933
N,7.927342
B,7.927342
K,7.94871
N,7.94871
K,7.964736
N,7.964736
N,7.97809
B,7.97809
O,8.202449
N,8.202449
L,8.20512
C,8.20512
E,8.20512
C,8.242513
G,8.242513
O,8.46153
N,8.46153
N,8.46153
B,8.46153
N,8.46153
G,8.46153
N,8.46153
I,8.672534
M,8.672534
N,8.683218
B,8.683218
J,8.71794
M,8.71794
K,8.720611
P,8.720611
O,8.720611
N,8.720611
N,8.931615
B,8.931615
O,8.931615
N,8.931615
L,8.97435
P,8.97435
E,8.97435
F,8.97435
B,8.97435
O,8.97435
N,8.97435
L,9.23076
N,9.23076
E,9.23076
I,9.48717
L,9.48717
O,9.74358
L,9.74358
I,9.74358
N,9.99999
E,9.99999
I,9.99999
M,10.122853
O,10.122853
O,10.136208
N,10.136208
N,10.192298
B,10.192298
O,10.22702
N,10.22702
K,10.2564
N,10.2564
J,10.301806
M,10.301806
O,10.491442
N,10.491442
L,10.51281
P,10.51281
E,10.51281
F,10.51281
G,10.51281
O,10.729156
N,10.729156
N,10.747852
B,10.747852
N,10.76922
N,10.76922
I,10.76922
K,10.953515
N,10.953515
N,10.977553
B,10.977553
P,11.004262
P,11.004262
O,11.004262
N,11.004262
K,11.02563
N,11.02563
L,11.191228
K,11.191228
N,11.191228
N,11.191228
B,11.263343
G,11.263343
O,11.263343
N,11.263343
L,11.28204
N,11.28204
E,11.28204
F,11.503728
G,11.503728
O,11.511741
N,11.511741
L,11.53845
P,11.53845
N,11.53845
D,11.701377
I,11.701377
P,11.712061
P,11.712061
O,11.73877
N,11.73877
L,11.760138
G,11.760138
O,11.773492
N,11.773492
K,11.79486
N,11.79486
L,11.939091
P,11.939091
O,11.989838
N,11.989838
L,12.043257
G,12.043257
P,12.05127
L,12.05127
E,12.05127
E,12.077979
I,12.077979
K,12.195501
N,12.195501
K,12.30768
N,12.30768
N,12.30768
I,12.56409
K,12.56409
O,12.8205
L,12.8205
E,12.8205
I,13.07691
N,13.07691
E,13.07691
C,13.33332
G,13.33332
K,13.33332
N,13.33332
K,13.352017
N,13.352017
M,13.50426
M,13.50426
N,13.50426
B,13.50426
P,13.579046
P,13.579046
O,13.587059
N,13.587059
N,13.58973
I,13.58973
N,13.58973
E,13.827443
I,13.827443
O,13.843469
N,13.843469
L,13.84614
M,13.84614
N,13.84614
I,14.014409
N,14.014409
N,14.030435
B,14.030435
P,14.07317
P,14.07317
O,14.081182
N,14.081182
K,14.10255
N,14.10255
K,14.300199
N,14.300199
N,14.326909
I,14.326909
O,14.345605
N,14.345605
L,14.35896
G,14.35896
N,14.35896
C,14.553938
I,14.553938
J,14.61537
M,14.61537
L,14.61537
H,14.61537
H,14.61537
I,14.794323
O,14.794323
O,14.823703
N,14.823703
N,14.823703
I,14.823703
O,14.863767
N,14.863767
K,14.87178
N,14.87178
P,14.877122
P,14.877122
K,15.093468
N,15.093468
O,15.109493
N,15.109493
N,15.12819
B,15.12819
N,15.12819
E,15.3846
I,15.3846
N,15.3846
I,15.64101
K,15.64101
O,15.89742
L,15.89742
E,15.89742
I,16.15383
N,16.15383
E,16.15383
E,16.169856
I,16.169856
O,16.188552
N,16.188552
M,16.41024
M,16.41024
K,16.41024
N,16.41024
K,16.412911
N,16.412911
N,16.66665
M,16.66665
N,16.66665
G,16.66665
M,16.66665
O,16.66665
N,16.66665
L,16.904363
G,16.904363
O,16.904363
N,16.904363
K,16.92306
N,16.92306
N,16.92306
C,17.163444
I,17.163444
O,17.174128
N,17.174128
K,17.17947
N,17.17947
K,17.29432
N,17.29432
N,17.305004
B,17.305004
N,17.398487
G,17.398487
J,17.419854
M,17.419854
L,17.43588
G,17.43588
N,17.43588
E,17.66291
I,17.66291
O,17.670922
N,17.670922
L,17.69229
H,17.69229
H,17.69229
C,17.924662
I,17.924662
O,17.943358
N,17.943358
K,17.9487
N,17.9487
K,18.053534
N,18.053534
N,18.066221
B,18.066221
P,18.127653
P,18.127653
O,18.141008
N,18.141008
L,18.20511
D,18.20511
E,18.20511
C,18.20511
G,18.20511
O,18.20511
N,18.20511
L,18.46152
C,18.46152
E,18.46152
I,18.71793
L,18.71793
O,18.97434
L,18.97434
I,18.97434
N,19.23075
E,19.23075
I,19.23075
N,19.471134
I,19.471134
O,19.471134
N,19.471134
N,19.48716
I,19.48716
O,19.48716
N,19.48716
K,19.48716
N,19.48716
L,19.74357
L,19.74357
E,19.74357
C,19.99998
G,19.99998
O,19.99998
N,19.99998
N,19.99998
B,19.99998
I,19.99998
N,20.224339
G,20.224339
O,20.22701
N,20.22701
K,20.25639
N,20.25639
K,20.259061
N,20.259061
O,20.259061
N,20.259061
L,20.5128
C,20.5128
E,20.5128
G,20.515471
O,20.515471
N,20.544851
B,20.544851
O,20.76921
N,20.76921
N,20.76921
B,20.76921
N,20.76921
G,20.76921
N,20.76921
F,20.990898
B,20.990898
O,20.990898
N,20.990898
N,21.02562
I,21.02562
O,21.02562
N,21.02562
K,21.02562
N,21.02562
K,21.236624
N,21.236624
N,21.247308
B,21.247308
N,21.28203
E,21.28203
E,21.28203
G,21.28203
M,21.28203
N,21.28203
B,21.28203
N,21.53844
E,21.53844
E,21.53844
I,21.79485
L,21.79485
O,22.05126
L,22.05126
I,22.05126
N,22.30767
E,22.30767
I,22.30767
O,22.366431
N,22.366431
N,22.385127
B,22.385127
O,22.435875
N,22.435875
N,22.457242
B,22.457242
O,22.542712
N,22.542712
N,22.56408
B,22.56408
J,22.56408
M,22.56408
K,22.815148
N,22.815148
L,22.82049
P,22.82049
E,22.82049
F,22.82049
G,22.82049
O,23.044849
N,23.044849
N,23.058203
B,23.058203
N,23.0769
N,23.0769
I,23.0769
K,23.271878
N,23.271878
N,23.271878
B,23.271878
O,23.327968
N,23.327968
J,23.327968
M,23.327968
O,23.33331
N,23.33331
K,23.50425
N,23.50425
J,23.517605
M,23.517605
N,23.573694
G,23.573694
O,23.576365
N,23.576365
L,23.58972
N,23.58972
E,23.58972
F,23.81675
G,23.81675
O,23.822092
N,23.822092
L,23.84613
P,23.84613
N,23.84613
D,24.025083
I,24.025083
O,24.035767
N,24.035767
L,24.035767
G,24.035767
O,24.038438
N,24.038438
L,24.083843
G,24.083843
O,24.10254
N,24.10254
K,24.10254
N,24.10254
L,24.262796
P,24.262796
O,24.297518
N,24.297518
L,24.35895
D,24.35895
E,24.35895
I,24.361621
K,24.361621
O,24.393672
N,24.393672
K,24.492497
N,24.492497
K,24.61536
N,24.61536
N,24.61536
I,24.87177
K,24.87177
O,25.12818
L,25.12818
E,25.12818
I,25.38459
N,25.38459
E,25.38459
I,25.641
N,25.641
K,25.643671
N,25.643671
N,25.643671
B,25.643671
O,25.779889
N,25.779889
N,25.81194
B,25.81194
O,25.854675
N,25.854675
N,25.884055
B,25.884055
P,25.89741
N,25.89741
N,25.89741
E,26.15382
I,26.15382
O,26.15382
N,26.15382
L,26.15382
M,26.15382
N,26.15382
C,26.329434
I,26.329434
O,26.346128
N,26.346128
N,26.402217
I,26.402217
O,26.404888
N,26.404888
K,26.41023
N,26.41023
K,26.618563
N,26.618563
N,26.629247
B,26.629247
P,26.655956
P,26.655956
N,26.66664
P,26.66664
N,26.66664
G,26.66664
N,26.66664
L,26.896341
P,26.896341
J,26.917708
M,26.917708
L,26.92305
H,26.92305
H,26.92305
I,27.118028
O,27.118028
O,27.144738
N,27.144738
N,27.160763
I,27.160763
K,27.17946
N,27.17946
K,27.17946
N,27.17946
K,27.20884
N,27.20884
K,27.425186
N,27.425186
M,27.43587
N,27.43587
N,27.43587
G,27.438541
N,27.438541
N,27.69228
B,27.69228
N,27.69228
I,27.94869
K,27.94869
O,28.2051
L,28.2051
E,28.2051
I,28.46151
N,28.46151
E,28.46151
G,28.485548
N,28.485548
M,28.71792
M,28.71792
K,28.71792
N,28.71792
K,28.741958
N,28.741958
N,28.97433
M,28.97433
N,28.97433
G,28.97433
M,28.97433
O,28.97433
N,28.97433
L,29.225398
G,29.225398
O,29.225398
N,29.225398
K,29.23074
N,29.23074
N,29.23074
C,29.484479
I,29.484479
O,29.48715
N,29.48715
K,29.48715
N,29.48715
K,29.631381
N,29.631381
N,29.642064
B,29.642064
N,29.724863
G,29.724863
N,29.724863
N,29.724863
B,29.74356
G,29.74356
N,29.74356
E,29.962577
I,29.962577
O,29.965248
N,29.965248
L,29.99997
G,29.99997
N,29.99997
C,30.189607
I,30.189607
N,30.189607
H,30.245696
G,30.245696
O,30.251038
N,30.251038
K,30.25638
N,30.25638
K,30.347192
N,30.347192
N,30.379243
B,30.379243
O,30.438004
N,30.438004
N,30.454029
B,30.454029
O,30.499435
N,30.499435
L,30.51279
C,30.51279
E,30.51279
C,30.536828
G,30.536828
N,30.7692
L,30.7692
E,30.7692
I,31.02561
L,31.02561
O,31.28202
L,31.28202
I,31.28202
N,31.53843
E,31.53843
I,31.53843
O,31.778814
M,31.778814
O,31.79484
N,31.79484
K,31.79484
N,31.79484
K,31.973793
N,31.973793
O,31.989818
N,31.989818
N,32.037895
I,32.037895
L,32.05125
C,32.05125
E,32.05125
G,32.05125
N,32.05125
N,32.283622
B,32.283622
O,32.291634
N,32.291634
J,32.30766
L,32.30766
I,32.30766
O,32.56407
N,32.56407
K,32.665566
N,32.665566
O,32.665566
N,32.665566
P,32.793771
P,32.793771
N,32.793771
B,32.793771
L,32.82048
D,32.82048
E,32.82048
G,32.911292
N,32.911292
N,32.940672
B,32.940672
O,33.039497
N,33.039497
N,33.039497
B,33.039497
L,33.07689
P,33.07689
N,33.07689
I,33.258514
N,33.258514
N,33.287894
B,33.287894
O,33.309262
N,33.309262
N,33.3333
B,33.3333
K,33.3333
N,33.3333
K,33.496227
N,33.496227
N,33.520266
B,33.520266
O,33.565672
N,33.565672
N,33.587039
B,33.587039
L,33.58971
D,33.58971
E,33.58971
I,33.84612
N,33.84612
E,33.84612
I,34.10253
L,34.10253
O,34.35894
L,34.35894
I,34.35894
N,34.61535
E,34.61535
I,34.61535
O,34.84238
M,34.84238
O,34.87176
N,34.87176
K,34.87176
N,34.87176
K,35.101461
N,35.101461
O,35.122828
N,35.122828
K,35.12817
N,35.12817
E,35.12817
G,35.371225
O,35.371225
O,35.381909
N,35.381909
L,35.38458
L,35.38458
I,35.38458
L,35.590242
I,35.590242
O,35.632977
N,35.632977
K,35.64099
N,35.64099
K,35.86802
N,35.86802
O,35.894729
N,35.894729
K,35.8974
N,35.8974
E,35.8974
E,36.12443
I,36.12443
O,36.137784
N,36.137784
K,36.15381
N,36.15381
N,36.15381
I,36.340776
O,36.340776
P,36.351459
P,36.351459
O,36.356801
N,36.356801
P,36.364814
P,36.364814
L,36.41022
G,36.41022
O,36.41022
N,36.41022
K,36.41022
N,36.41022
K,36.58116
N,36.58116
O,36.594515
N,36.594515
N,36.639921
I,36.639921
O,36.647933
N,36.647933
J,36.66663
N,36.66663
E,36.66663
I,36.92304
N,36.92304
E,36.92304
I,37.17945
L,37.17945
O,37.43586
L,37.43586
I,37.43586
N,37.69227
E,37.69227
I,37.69227
O,37.946009
M,37.946009
K,37.94868
N,37.94868
K,37.983402
N,37.983402
N,38.132975
B,38.132975
O,38.159684
N,38.159684
N,38.186393
I,38.186393
L,38.20509
C,38.20509
E,38.20509
G,38.20509
N,38.20509
N,38.4615
B,38.4615
N,38.4615
B,38.4615
I,38.4615
K,38.4615
N,38.4615
K,38.71791
N,38.71791
K,38.824748
N,38.824748
N,38.840773
B,38.840773
O,38.952952
N,38.952952
N,38.966307
B,38.966307
L,38.97432
D,38.97432
E,38.97432
G,39.05979
N,39.05979
N,39.142589
I,39.142589
P,39.182653
P,39.182653
O,39.185324
N,39.185324
K,39.23073
N,39.23073
N,39.23073
I,39.252098
N,39.252098
M,39.412354
M,39.412354
L,39.439063
G,39.439063
O,39.463102
N,39.463102
K,39.48714
N,39.48714
K,39.679448
N,39.679448
L,39.703486
G,39.703486
O,39.735537
N,39.735537
K,39.74355
N,39.74355
E,39.74355
I,39.99996
N,39.99996
E,39.99996
I,40.25637
L,40.25637
O,40.51278
L,40.51278
I,40.51278
N,40.76919
E,40.76919
I,40.76919
O,41.004232
M,41.004232
O,41.0256
N,41.0256
K,41.0256
N,41.0256
K,41.257972
N,41.257972
O,41.263313
N,41.263313
K,41.28201
N,41.28201
E,41.28201
G,41.527736
O,41.527736
N,41.53842
F,41.53842
I,41.53842
N,41.53842
L,41.53842
N,41.773462
I,41.773462
O,41.773462
N,41.773462
K,41.79483
N,41.79483
K,42.019189
N,42.019189
O,42.040556
N,42.040556
K,42.05124
N,42.05124
E,42.05124
E,42.275599
I,42.275599
O,42.288953
N,42.288953
K,42.30765
N,42.30765
N,42.30765
I,42.483932
O,42.483932
P,42.483932
P,42.483932
O,42.483932
N,42.483932
P,42.502628
P,42.502628
L,42.550705
G,42.550705
O,42.56406
N,42.56406
K,42.56406
N,42.56406
K,42.713632
N,42.713632
O,42.753697
N,42.753697
L,42.799102
P,42.799102
J,42.804444
M,42.804444
L,42.82047
N,42.82047
E,42.82047
C,42.84985
G,42.84985
N,42.84985
I,42.84985
N,42.84985
K,43.07688
N,43.07688
N,43.07688
I,43.33329
K,43.33329
O,43.5897
L,43.5897
E,43.5897
I,43.84611
N,43.84611
E,43.84611
G,43.96096
N,43.96096
N,44.001024
B,44.001024
O,44.04643
N,44.04643
J,44.065127
M,44.065127
L,44.094507
P,44.094507
K,44.10252
N,44.10252
K,44.147926
N,44.147926
O,44.353588
N,44.353588
L,44.35893
G,44.35893
N,44.35893
C,44.382968
I,44.382968
K,44.593972
P,44.593972
N,44.593972
B,44.593972
L,44.61534
I,44.61534
N,44.61534
I,44.804977
N,44.804977
N,44.804977
B,44.804977
P,44.855724
P,44.855724
O,44.855724
N,44.855724
K,44.87175
N,44.87175
K,45.04269
N,45.04269
O,45.045361
N,45.045361
P,45.088096
P,45.088096
N,45.090767
B,45.090767
N,45.12816
I,45.12816
N,45.12816
G,45.35519
M,45.35519
O,45.364538
N,45.364538
L,45.38457
L,45.38457
H,45.38457
I,45.552839
N,45.552839
N,45.55551
B,45.55551
O,45.622283
N,45.622283
N,45.627625
B,45.627625
K,45.64098
N,45.64098
K,45.790552
N,45.790552
N,45.809249
B,45.809249
O,45.854655
N,45.854655
N,45.878693
B,45.878693
N,45.89739
I,45.89739
N,45.89739
E,46.1538
I,46.1538
N,46.1538
I,46.41021
K,46.41021
O,46.66662
L,46.66662
E,46.66662
I,46.92303
N,46.92303
E,46.92303
I,47.17944
N,47.17944
K,47.195466
N,47.195466
N,47.224846
B,47.224846
N,47.43585
I,47.43585
N,47.43585
G,47.43585
N,47.43585
O,47.46523
N,47.46523
N,47.633499
B,47.633499
O,47.654867
N,47.654867
L,47.684247
G,47.684247
O,47.69226
N,47.69226
K,47.69226
N,47.69226
N,47.69226
I,47.927302
P,47.927302
O,47.945999
N,47.945999
K,47.94867
N,47.94867
K,48.178371
N,48.178371
P,48.186383
P,48.186383
O,48.194396
N,48.194396
L,48.20508
L,48.20508
N,48.20508
G,48.4054
P,48.4054
P,48.434781
P,48.434781
O,48.456148
N,48.456148
L,48.46149
L,48.46149
H,48.46149
I,48.656468
N,48.656468
P,48.656468
P,48.656468
O,48.656468
N,48.656468
P,48.672494
P,48.672494
L,48.707216
G,48.707216
K,48.7179
N,48.7179
K,48.739268
N,48.739268
N,48.899524
B,48.899524
O,48.920891
N,48.920891
N,48.947601
I,48.947601
N,48.97431
B,48.97431
E,48.97431
G,48.97431
N,48.97431
N,49.193327
B,49.193327
O,49.217365
N,49.217365
J,49.23072
N,49.23072
E,49.23072
E,49.396318
I,49.396318
O,49.428369
N,49.428369
L,49.449737
G,49.449737
O,49.484459
N,49.484459
K,49.48713
L,49.48713
O,49.666083
N,49.666083
O,49.674096
N,49.674096
N,49.698134
I,49.698134
O,49.722172
N,49.722172
L,49.74354
N,49.74354
I,49.74354
O,49.957215
M,49.957215
O,49.973241
N,49.973241
L,49.99995
N,49.99995
I,49.99995
O,50.186916
M,50.186916
O,50.202941
N,50.202941
L,50.22698
G,50.22698
O,50.253689
N,50.253689
K,50.25636
N,50.25636
K,50.45668
N,50.45668
O,50.472706
N,50.472706
N,50.475377
I,50.475377
O,50.502086
N,50.502086
J,50.51277
N,50.51277
E,50.51277
E,50.726445
I,50.726445
O,50.755825
N,50.755825
L,50.76918
L,50.76918
I,50.76918
L,50.961488
I,50.961488
O,50.988197
N,50.988197
L,50.988197
G,50.988197
O,51.02559
N,51.02559
K,51.02559
N,51.02559
K,51.25262
N,51.25262
N,51.271316
I,51.271316
N,51.282
B,51.282
E,51.282
G,51.282
N,51.282
N,51.525055
B,51.525055
O,51.525055
N,51.525055
J,51.53841
N,51.53841
N,51.53841
F,51.79482
B,51.79482
O,51.79482
N,51.79482
K,51.79482
N,51.79482
L,52.05123
L,52.05123
E,52.05123
C,52.05123
G,52.05123
O,52.05123
N,52.05123
L,52.30764
C,52.30764
E,52.30764
G,52.505289
O,52.505289
N,52.50796
B,52.50796
P,52.561379
P,52.561379
O,52.56405
N,52.56405
K,52.56405
L,52.56405
O,52.82046
L,52.82046
I,52.82046
O,52.82046
N,52.82046
N,52.82046
B,52.82046
P,53.071528
P,53.071528
O,53.07687
N,53.07687
L,53.07687
D,53.07687
I,53.07687
N,53.279861
I,53.279861
O,53.285203
N,53.285203
N,53.33328
I,53.33328
O,53.33328
N,53.33328
K,53.33328
N,53.33328
K,53.538942
P,53.538942
O,53.549626
N,53.549626
L,53.58969
P,53.58969
E,53.58969
F,53.58969
B,53.58969
O,53.58969
N,53.58969
L,53.8461
H,53.8461
I,53.8461
O,54.10251
N,54.10251
J,54.35892
L,54.35892
E,54.35892
I,54.61533
M,54.61533
N,54.61533
I,54.658065
N,54.658065
N,54.658065
B,54.658065
O,54.724838
N,54.724838
N,54.735522
B,54.735522
O,54.823663
N,54.823663
N,54.839689
B,54.839689
J,54.87174
M,54.87174
K,55.112124
N,55.112124
L,55.12815
P,55.12815
E,55.12815
F,55.12815
G,55.12815
O,55.331141
N,55.331141
N,55.357851
B,55.357851
N,55.38456
E,55.38456
E,55.38456
G,55.574197
N,55.574197
N,55.598235
B,55.598235
O,55.608919
N,55.608919
J,55.627615
M,55.627615
O,55.64097
L,55.64097
O,55.817252
N,55.817252
J,55.854645
M,55.854645
L,55.870671
P,55.870671
J,55.870671
M,55.870671
N,55.89738
C,55.89738
I,55.89738
O,56.105713
N,56.105713
N,56.12441
B,56.12441
P,56.15379
L,56.15379
I,56.15379
O,56.338085
N,56.338085
P,56.338085
P,56.338085
J,56.338085
M,56.338085
N,56.394174
G,56.394174
O,56.394174
N,56.394174
K,56.4102
N,56.4102
N,56.565114
I,56.565114
J,56.583811
M,56.583811
L,56.663939
G,56.663939
P,56.66661
L,56.66661
E,56.66661
E,56.66661
I,56.66661
K,56.784131
N,56.784131
J,56.92302
L,56.92302
N,56.92302
G,57.17943
N,57.17943
J,57.43584
N,57.43584
N,57.43584
E,57.69225
C,57.69225
H,57.69225
G,57.94866
N,57.94866
K,57.951331
N,57.951331
N,57.951331
B,57.951331
O,58.111587
N,58.111587
N,58.135626
B,58.135626
O,58.189044
N,58.189044
N,58.20507
I,58.20507
N,58.20507
I,58.20507
P,58.20507
K,58.448125
P,58.448125
N,58.46148
B,58.46148
M,58.46148
N,58.46148
N,58.46148
G,58.651117
N,58.651117
N,58.664471
B,58.664471
P,58.699193
P,58.699193
O,58.699193
N,58.699193
K,58.71789
L,58.71789
O,58.971629
N,58.971629
O,58.971629
N,58.971629
L,58.9743
N,58.9743
E,58.9743
G,59.208007
N,59.208007
J,59.23071
N,59.23071
B,59.23071
E,59.23071
E,59.23071
G,59.441714
O,59.441714
N,59.460411
B,59.460411
O,59.481778
N,59.481778
K,59.48712
N,59.48712
K,59.489791
N,59.489791
K,59.489791
N,59.489791
K,59.740859
N,59.740859
N,59.740859
B,59.740859
M,59.74353
N,59.74353
N,59.74353
C,59.99994
I,59.99994
N,59.99994
G,60.25635
N,60.25635
J,60.51276
N,60.51276
N,60.51276
E,60.76917
C,60.76917
H,60.76917
I,60.771841
N,60.771841
N,60.771841
B,60.771841
O,61.012225
N,61.012225
K,61.02558
N,61.02558
K,61.028251
N,61.028251
O,61.265964
N,61.265964
L,61.28199
L,61.28199
N,61.28199
G,61.28199
M,61.28199
O,61.50902
N,61.50902
N,61.519703
B,61.519703
N,61.5384
I,61.5384
N,61.5384
E,61.770772
I,61.770772
O,61.770772
N,61.770772
J,61.79481
J,61.79481
O,61.912331
N,61.912331
N,61.931028
B,61.931028
N,62.02184
G,62.02184
P,62.05122
N,62.05122
E,62.05122
G,62.05122
N,62.05122
P,62.248869
P,62.248869
N,62.267566
B,62.267566
P,62.30763
N,62.30763
N,62.30763
E,62.50795
E,62.50795
I,62.50795
L,62.53466
O,62.53466
J,62.540002
M,62.540002
K,62.56404
N,62.56404
K,62.657523
N,62.657523
N,62.660194
B,62.660194
O,62.729638
N,62.729638
J,62.756348
M,62.756348
K,62.812437
P,62.812437
L,62.82045
C,62.82045
E,62.82045
C,62.847159
G,62.847159
M,63.07686
N,63.07686
I,63.07686
O,63.33327
N,63.33327
J,63.58968
L,63.58968
E,63.58968
I,63.84609
M,63.84609
N,63.84609
G,64.083803
O,64.083803
N,64.083803
N,64.083803
B,64.1025
I,64.1025
O,64.1025
N,64.1025
K,64.1025
N,64.1025
L,64.35891
L,64.35891
E,64.35891
I,64.61532
N,64.61532
E,64.61532
C,64.631346
G,64.631346
O,64.634017
N,64.634017
K,64.84235
P,64.84235
J,64.847692
M,64.847692
K,64.87173
L,64.87173
O,64.895768
N,64.895768
N,64.917136
B,64.917136
M,65.12814
L,65.12814
I,65.12814
N,65.140827
I,65.140827
O,65.140827
N,65.140827
N,65.38455
I,65.38455
P,65.38455
