motifs,time
I,1.832031
N,1.832031
N,1.832031
I,1.847656
N,1.875
L,2.246094
E,2.246094
I,2.246094
N,2.25
I,2.261719
N,2.625
G,2.625
N,2.625
M,2.957031
N,2.957031
H,2.957031
G,2.972656
O,3
N,3.371094
B,3.371094
I,3.371094
N,3.375
B,3.386719
O,3.59375
L,3.59375
M,3.59375
N,3.59375
B,3.644531
I,3.644531
P,3.65625
P,3.65625
P,3.65625
N,3.65625
A,3.695312
B,3.695312
P,3.730469
P,3.730469
M,3.746094
N,3.746094
B,3.75
L,3.75
I,3.777344
L,3.777344
P,3.90625
P,3.90625
M,3.921875
N,3.921875
A,3.921875
B,3.921875
M,4.066406
M,4.066406
M,4.066406
N,4.066406
A,4.070312
B,4.070312
P,4.082031
L,4.082031
H,4.082031
I,4.082031
N,4.082031
B,4.082031
M,4.082031
K,4.097656
M,4.097656
L,4.097656
O,4.125
N,4.496094
E,4.496094
I,4.496094
N,4.5
I,4.511719
O,4.550781
N,4.550781
A,4.695312
B,4.695312
M,4.695312
N,4.695312
B,4.695312
M,4.695312
N,4.871094
A,4.871094
B,4.875
M,4.875
L,4.875
M,4.875
K,4.875
O,4.875
N,4.875
N,5.027344
G,5.027344
M,5.054688
M,5.054688
M,5.0625
N,5.0625
A,5.199219
B,5.199219
P,5.207031
L,5.207031
H,5.207031
G,5.222656
O,5.25
N,5.25
B,5.25
C,5.265625
G,5.265625
N,5.417969
O,5.417969
M,5.445312
M,5.445312
M,5.457031
N,5.457031
B,5.601562
I,5.601562
O,5.621094
N,5.621094
I,5.621094
O,5.621094
N,5.621094
B,5.625
K,5.640625
O,5.652344
L,5.652344
P,5.777344
P,5.777344
M,5.792969
N,5.792969
A,5.800781
B,5.800781
M,5.933594
M,5.933594
M,5.964844
N,5.964844
A,5.976562
B,5.976562
P,5.992188
P,5.992188
O,6
L,6
I,6.035156
N,6.035156
B,6.042969
O,6.042969
N,6.042969
L,6.324219
F,6.324219
A,6.332031
B,6.332031
M,6.332031
L,6.332031
N,6.332031
E,6.335938
G,6.335938
O,6.347656
N,6.375
L,6.421875
N,6.421875
A,6.425781
B,6.425781
M,6.476562
M,6.476562
P,6.476562
N,6.476562
A,6.484375
B,6.484375
M,6.507812
M,6.507812
P,6.6875
N,6.6875
B,6.695312
M,6.695312
N,6.699219
B,6.699219
P,6.746094
N,6.746094
I,6.746094
N,6.75
I,6.761719
M,6.886719
L,6.886719
M,6.886719
N,6.886719
B,6.894531
M,6.894531
K,7.125
O,7.125
