motifs,time
A,1.6
A,1.6
B,1.6
I,1.6
K,1.6
O,1.6
L,1.604167
I,1.604167
L,1.604167
E,1.604167
I,1.604167
N,1.604167
G,1.604167
N,1.604167
N,1.604167
O,1.604167
N,1.604167
K,1.8
O,1.8
L,2
N,2
J,2
K,2
O,2.2
N,2.2
P,2.2
P,2.2
L,2.2
E,2.2
E,2.2
I,2.2
O,2.2
O,2.4
N,2.4
G,2.4
K,2.4
N,2.6
B,2.6
N,2.6
N,2.8
M,2.8
K,2.8
O,2.8
N,2.8
K,2.8
N,2.8
N,2.8
N,2.8
G,3
N,3
G,3
K,3
O,3.095833
N,3.095833
B,3.2
I,3.2
K,3.2
N,3.4
B,3.4
N,3.4
P,3.4
P,3.4
L,3.4
E,3.4
E,3.4
I,3.4
L,3.6
I,3.6
N,3.6
L,3.8
M,3.8
P,3.8
O,3.8
N,3.8
N,3.8
O,3.8
L,3.8
K,3.8
O,3.8
L,3.8
O,4
N,4
K,4
N,4.2
B,4.2
N,4.2
O,4.2
O,4.2
L,4.2
I,4.2
K,4.2
N,4.2
K,4.2
O,4.4
N,4.4
J,4.4
K,4.4
N,4.4
L,4.4
N,4.4
L,4.4
G,4.4
O,4.4
O,4.4
N,4.6
N,4.6
K,4.6
O,4.8
P,4.8
P,4.8
N,4.8
P,4.8
N,4.8
L,4.8
E,4.8
E,4.8
E,4.8
E,4.8
I,4.8
O,4.8
L,5
O,5
L,5.2
N,5.2
J,5.2
K,5.2
O,5.4
N,5.4
P,5.4
N,5.4
L,5.4
E,5.4
E,5.4
E,5.4
G,5.4
O,5.6
N,5.6
G,5.6
K,5.6
N,5.8
B,5.8
N,5.8
N,6
O,6
K,6
O,6
N,6
L,6
E,6
E,6
I,6
L,6.2
N,6.2
G,6.2
P,6.4
P,6.4
N,6.6
B,6.6
L,6.6
I,6.6
N,6.6
H,6.6
H,6.6
I,6.6
O,6.8
O,6.8
O,7
N,7
P,7
O,7
N,7
N,7
I,7
N,7
K,7
N,7
O,7
N,7
I,7
O,7
N,7
L,7
L,7
I,7.2
O,7.2
N,7.4
B,7.4
N,7.4
O,7.4
O,7.4
N,7.4
N,7.4
J,7.4
L,7.4
I,7.6
N,7.6
L,7.6
G,7.6
O,7.6
N,7.6
L,7.6
L,7.6
E,7.6
I,7.6
N,7.8
G,7.8
N,7.995833
K,8
N,8
K,8
L,8
L,8
I,8
O,8.004167
O,8.2
N,8.4
B,8.4
K,8.4
N,8.4
N,8.404167
I,8.6
N,8.6
M,8.8
M,8.8
L,8.8
O,8.8
L,9
O,9
L,9
E,9.004167
I,9.2
N,9.2
M,9.4
O,9.4
N,9.4
N,9.4
K,9.404167
O,9.6
N,9.6
L,9.6
I,9.8
O,9.8
N,9.8
I,9.804167
O,10
N,10
M,10.2
N,10.2
K,10.2
N,10.2
G,10.2
O,10.204167
O,10.4
N,10.4
N,10.4
G,10.6
O,10.6
M,10.8
P,10.8
L,10.8
N,10.804167
I,10.804167
M,10.808333
N,10.808333
B,10.8125
N,10.8125
B,10.85
