motifs,time
N,2.99375
N,3
O,3.00625
P,3.05625
N,3.0875
B,3.13125
P,3.175
N,3.1875
G,3.2625
O,3.2625
O,3.30625
N,3.31875
L,3.3375
I,3.39375
P,3.425
N,3.45
P,3.5125
O,3.53125
N,3.58125
K,3.6
O,3.60625
N,3.65625
L,3.6875
N,3.7125
P,3.775
O,3.7875
N,3.8375
K,3.85
O,3.90625
N,3.91875
K,3.9375
N,3.9625
P,4.025
O,4.0375
N,4.09375
K,4.1125
P,4.1375
N,4.1375
O,4.15625
O,4.2
P,4.2
L,4.2
M,4.2
O,4.20625
O,4.2125
L,4.475
P,4.5
O,4.78125
O,4.8
N,4.8
N,4.8
G,4.80625
O,4.8125
L,4.8125
G,5.075
O,5.10625
N,5.125
L,5.375
O,5.4
L,5.40625
O,5.4125
N,5.4125
N,5.425
F,5.425
B,5.675
O,5.7
L,5.70625
O,5.725
L,5.9625
E,5.975
E,5.975
G,5.9875
O,6
L,6
M,6
O,6.00625
O,6.3125
L,6.575
M,6.5875
N,6.5875
E,6.5875
I,6.6
L,6.60625
O,6.6125
N,6.85
G,6.90625
N,6.9375
L,7.15
G,7.175
O,7.2
N,7.2
L,7.2
I,7.20625
O,7.2125
N,7.225
B,7.4625
G,7.5
L,7.50625
O,7.5375
L,7.7375
P,7.75
I,7.78125
P,7.8
K,7.8
N,7.8
O,7.80625
M,7.8125
L,8.125
L,8.3625
J,8.3625
O,8.375
N,8.3875
B,8.3875
I,8.4
L,8.40625
O,8.4125
N,8.7
K,8.70625
O,8.9125
L,8.98125
I,8.9875
K,9
O,9
N,9
B,9
G,9.00625
N,9.3
P,9.30625
O,9.3125
L,9.525
L,9.5375
F,9.5625
F,9.5625
B,9.5625
N,9.575
I,9.6
K,9.6
L,9.60625
O,9.6125
L,9.9
O,10.05625
O,10.1125
N,10.125
G,10.175
N,10.1875
G,10.1875
O,10.2
M,10.2
O,10.20625
L,10.50625
I,10.5125
L,10.7875
O,10.8
L,10.80625
O,10.8125
N,10.8125
N,10.825
F,11.0375
B,11.05
N,11.0625
G,11.0875
N,11.3625
B,11.375
I,11.3875
O,11.4
M,11.4
P,11.4
L,11.4
O,11.4
L,11.4
I,11.40625
N,11.4125
L,11.6875
O,12
O,12
N,12
G,12.00625
O,12.0125
L,12.0125
I,12.25
P,12.25
O,12.30625
P,12.3125
N,12.55
N,12.5625
G,12.5875
O,12.6
L,12.60625
O,12.6125
N,12.6125
I,12.625
N,12.875
F,12.8875
B,12.9
N,13.175
L,13.2
O,13.2
P,13.2
M,13.2
L,13.2
L,13.20625
I,13.225
N,13.4875
O,13.5
N,13.7625
N,13.7875
B,13.7875
O,13.8
N,13.8
L,13.8
I,13.80625
O,13.8125
N,14.1
G,14.10625
N,14.3625
N,14.3875
K,14.4
O,14.4
O,14.40625
N,14.4375
L,14.4875
M,14.5625
M,14.60625
M,14.6125
M,14.6625
J,14.675
O,14.7
K,14.70625
O,14.75625
N,14.7875
M,14.8375
M,14.8625
M,14.9
M,14.9375
M,14.99375
O,15
L,15
O,15
N,15
O,15.00625
N,15.00625
H,15.00625
F,15.3
B,15.6
O,15.6
O,15.60625
N,15.6125
N,15.6125
I,15.61875
O,15.9
N,15.9
N,16.2
O,16.2
O,16.20625
L,16.5
I,16.5
N,16.5
N,16.8
B,16.8
M,16.8
L,16.80625
O,17.1
N,17.4
O,17.4
L,17.4
C,17.40625
G,17.40625
N,17.4125
N,17.4125
C,17.7
E,17.9875
F,17.9875
A,17.9875
A,17.9875
B,18
M,18
N,18
B,18
O,18.00625
N,18.00625
N,18.0125
I,18.0125
L,18.24375
F,18.24375
A,18.26875
A,18.26875
B,18.3
N,18.3
L,18.54375
F,18.54375
B,18.55
F,18.55
A,18.5625
A,18.5625
B,18.6
L,18.6
O,18.6
N,18.6
O,18.6
L,18.6
N,18.6
C,18.86875
F,18.86875
A,18.88125
A,18.88125
B,18.9
P,19.13125
N,19.13125
A,19.15625
A,19.15625
B,19.2
P,19.2
O,19.20625
N,19.2125
L,19.2125
I,19.2125
O,19.43125
N,19.43125
A,19.45625
A,19.45625
B,19.5
N,19.5
L,19.725
F,19.725
A,19.7625
A,19.7625
B,19.8
M,19.8
O,19.80625
P,20.0375
N,20.0375
A,20.05625
A,20.05625
B,20.1
N,20.1
N,20.1
N,20.1
K,20.35625
N,20.35625
A,20.35625
A,20.35625
B,20.375
F,20.375
A,20.38125
A,20.38125
B,20.4
N,20.4
M,20.4
L,20.40625
O,20.64375
N,20.64375
A,20.675
A,20.675
B,20.7
P,20.95625
N,20.95625
A,20.95625
A,20.95625
B,21
O,21
O,21.00625
N,21.0125
N,21.01875
H,21.01875
I,21.26875
N,21.26875
A,21.26875
A,21.26875
B,21.3
M,21.3
N,21.54375
D,21.54375
A,21.55625
A,21.55625
B,21.6
M,21.6
O,21.60625
N,21.6125
L,21.6125
E,21.6125
E,21.83125
F,21.83125
A,21.8625
A,21.8625
B,21.9
N,21.9
L,22.10625
F,22.10625
B,22.15
F,22.15
B,22.16875
D,22.16875
B,22.1875
F,22.1875
B,22.2
L,22.2
O,22.2
N,22.2
O,22.20625
L,22.20625
I,22.20625
N,22.5
B,22.775
N,22.775
A,22.775
A,22.775
B,22.8
N,22.8
O,22.80625
N,22.8125
N,22.8125
I,22.81875
L,23.04375
F,23.04375
B,23.09375
F,23.09375
B,23.1
N,23.1
L,23.1125
N,23.1125
B,23.4
N,23.4
O,23.40625
O,23.6625
N,23.6625
B,23.675
D,23.675
A,23.675
A,23.675
B,23.6875
F,23.6875
B,23.7
N,23.7
N,23.7
O,23.9625
N,23.9625
A,23.99375
A,23.99375
B,24
N,24
B,24
K,24
N,24
B,24.00625
M,24.05
N,24.05
G,24.05
O,24.05
N,24.05
B,24.05
N,24.3
N,24.6
O,24.6
L,24.6
C,24.60625
G,24.60625
N,24.6125
N,24.6125
C,24.9
I,25.2
O,25.2
N,25.2
B,25.2
O,25.20625
N,25.20625
N,25.2125
I,25.2125
O,25.5
N,25.5
L,25.54375
N,25.54375
A,25.55625
A,25.55625
A,25.78125
A,25.78125
B,25.8
L,25.8
O,25.8
P,25.8
O,25.8
L,25.8
N,25.8
I,25.85
N,25.85
A,25.85
A,25.85
B,26.0875
F,26.0875
B,26.1
M,26.11875
N,26.11875
B,26.3625
D,26.3625
A,26.38125
A,26.38125
B,26.4
P,26.4
O,26.40625
N,26.4125
L,26.4125
I,26.4125
O,26.64375
N,26.64375
A,26.64375
A,26.64375
B,26.7
N,26.7
L,26.98125
N,26.98125
A,26.98125
A,26.98125
B,27
P,27
N,27.00625
A,27.00625
B,27.00625
M,27.05
N,27.05
B,27.15625
D,27.15625
A,27.2125
A,27.2125
B,27.3
N,27.3
P,27.3
N,27.3
K,27.325
N,27.325
A,27.36875
A,27.36875
A,27.56875
A,27.56875
B,27.58125
F,27.58125
A,27.5875
A,27.5875
B,27.6
N,27.6
I,27.6
L,27.60625
I,27.9
N,28.2
O,28.2
O,28.20625
N,28.2125
N,28.21875
H,28.21875
G,28.5
O,28.5
N,28.8
N,28.8
O,28.80625
N,28.8125
L,28.8125
N,28.8125
C,29.025
F,29.025
B,29.08125
D,29.08125
B,29.08125
F,29.08125
B,29.1
N,29.1
L,29.1375
F,29.1375
B,29.35
N,29.35
L,29.35
L,29.35
C,29.35
D,29.35
A,29.35
A,29.38125
A,29.38125
B,29.4
L,29.4
O,29.4
N,29.4
O,29.40625
N,29.40625
H,29.40625
C,29.69375
F,29.69375
B,29.7
C,29.7
F,29.7
B,29.98125
D,29.98125
A,29.9875
A,29.9875
B,30
P,30
O,30.00625
N,30.0125
N,30.0125
I,30.01875
N,30.26875
D,30.26875
A,30.26875
A,30.26875
B,30.3
P,30.3
L,30.5375
F,30.5375
A,30.55625
A,30.55625
B,30.6
M,30.6
O,30.60625
M,30.7875
N,30.7875
A,30.807812
A,30.807812
B,30.83125
D,30.83125
A,30.8625
A,30.8625
B,30.9
P,30.9
N,30.9
P,31.1125
N,31.1125
A,31.125
A,31.125
B,31.14375
D,31.14375
A,31.1625
A,31.1625
B,31.2
N,31.2
M,31.2
L,31.20625
O,31.5
N,31.8
O,31.8
L,31.8
C,31.80625
G,31.80625
N,31.8125
N,31.8125
C,32.1
E,32.3875
F,32.3875
A,32.39375
A,32.39375
B,32.4
M,32.4
N,32.4
B,32.4
O,32.40625
N,32.40625
N,32.4125
I,32.4125
L,32.65
F,32.65
A,32.66875
A,32.66875
B,32.7
N,32.7
L,32.95625
N,32.95625
B,32.9625
D,32.9625
B,32.9875
F,32.9875
B,33
N,33
L,33
I,33
N,33
O,33
O,33
N,33.1375
L,33.1375
O,33.1375
L,33.1375
E,33.25
F,33.25
A,33.28125
A,33.28125
B,33.3
P,33.55
N,33.55
A,33.58125
A,33.58125
B,33.6
N,33.6
O,33.60625
N,33.6125
L,33.6125
I,33.6125
O,33.85625
N,33.85625
A,33.8875
A,33.8875
B,33.9
N,33.9
L,34.16875
F,34.16875
A,34.175
A,34.175
B,34.2
P,34.2
O,34.20625
O,34.4625
N,34.4625
A,34.475
A,34.475
B,34.5
N,34.5
N,34.5
N,34.5
K,34.75625
N,34.75625
A,34.75625
A,34.75625
B,34.7625
F,34.7625
A,34.7625
A,34.7625
B,34.8
N,34.8
O,34.8
L,34.80625
I,35.04375
N,35.04375
A,35.05625
A,35.05625
B,35.1
P,35.325
N,35.325
A,35.35625
A,35.35625
B,35.4
O,35.4
O,35.40625
N,35.4125
