motifs,time
G,1.221354
N,1.221354
N,1.221354
I,1.231771
N,1.25
L,1.497396
E,1.497396
I,1.497396
N,1.5
I,1.507812
N,1.75
G,1.75
O,1.75
M,1.971354
N,1.971354
H,1.971354
G,1.981771
O,2
N,2.247396
B,2.247396
I,2.247396
N,2.25
B,2.257812
N,2.5
E,2.5
G,2.721354
N,2.721354
H,2.721354
G,2.731771
M,2.75
L,2.997396
E,2.997396
I,2.997396
N,3
I,3.007812
N,3.25
G,3.25
O,3.25
M,3.471354
N,3.471354
H,3.471354
G,3.481771
O,3.5
N,3.747396
B,3.747396
I,3.747396
N,3.75
B,3.760417
O,3.882812
N,3.882812
A,3.882812
A,3.882812
A,3.898438
A,3.898438
B,3.898438
D,3.898438
A,3.898438
A,3.898438
A,3.942708
A,3.942708
B,4
N,4
G,4.015625
N,4.015625
A,4.026042
A,4.026042
A,4.026042
A,4.026042
A,4.203125
A,4.203125
B,4.203125
F,4.203125
B,4.221354
I,4.221354
N,4.221354
I,4.231771
M,4.234375
N,4.234375
A,4.239583
A,4.239583
B,4.25
C,4.497396
E,4.497396
I,4.497396
N,4.497396
F,4.497396
A,4.5
B,4.507812
M,4.583333
N,4.583333
A,4.638021
A,4.638021
B,4.703125
F,4.703125
A,4.723958
A,4.723958
A,4.734375
A,4.734375
B,4.75
P,4.75
O,4.75
M,4.971354
N,4.971354
H,4.971354
G,4.981771
O,5
L,5.041667
F,5.041667
A,5.065104
A,5.065104
A,5.101562
A,5.101562
B,5.197917
F,5.197917
A,5.229167
A,5.229167
A,5.229167
A,5.229167
B,5.247396
C,5.247396
I,5.247396
N,5.25
B,5.257812
O,5.398438
N,5.398438
A,5.408854
A,5.408854
A,5.408854
A,5.408854
B,5.479167
D,5.479167
A,5.484375
A,5.484375
A,5.494792
A,5.494792
B,5.5
N,5.5
G,5.705729
N,5.705729
A,5.705729
A,5.705729
B,5.721354
F,5.721354
H,5.721354
G,5.731771
O,5.75
N,5.75
A,5.75
A,5.75
B,5.75
M,5.75
N,5.75
A,5.96875
A,5.96875
A,5.984375
A,5.984375
B,5.997396
N,5.997396
I,5.997396
O,6
N,6
B,6
K,6.007812
O,6.229167
N,6.229167
A,6.231771
A,6.231771
B,6.25
N,6.25
O,6.25
O,6.268229
N,6.268229
B,6.471354
H,6.471354
H,6.471354
G,6.481771
O,6.5
L,6.734375
N,6.734375
A,6.744792
A,6.744792
B,6.747396
N,6.747396
I,6.747396
O,6.747396
N,6.747396
B,6.75
K,6.760417
O,6.950521
N,6.950521
A,6.950521
A,6.950521
A,6.950521
A,6.950521
B,6.986979
F,6.986979
A,6.986979
A,6.986979
B,7
M,7
N,7
B,7
M,7.195312
N,7.195312
A,7.195312
A,7.195312
A,7.195312
A,7.195312
B,7.221354
G,7.221354
N,7.221354
G,7.221354
N,7.221354
B,7.231771
M,7.247396
N,7.247396
A,7.25
A,7.25
B,7.25
M,7.401042
N,7.401042
