motifs,time
A,0.85714
A,0.85714
B,0.85714
D,0.85714
B,0.874997
M,0.886158
N,0.886158
B,1.071425
L,1.071425
I,1.071425
L,1.071425
N,1.071425
A,1.089282
A,1.089282
B,1.28571
N,1.28571
N,1.28571
I,1.28571
N,1.28571
A,1.28571
A,1.28571
A,1.464281
A,1.464281
A,1.470977
A,1.470977
B,1.497763
F,1.497763
B,1.499995
M,1.511156
N,1.511156
A,1.698655
A,1.698655
A,1.707584
A,1.707584
B,1.71428
L,1.71428
H,1.71428
I,1.892851
N,1.892851
A,1.915172
A,1.915172
B,1.928565
L,1.928565
I,1.928565
K,2.091511
N,2.091511
B,2.107136
F,2.107136
B,2.14285
M,2.151779
N,2.151779
A,2.325885
A,2.325885
A,2.348206
A,2.348206
B,2.357135
L,2.357135
I,2.357135
K,2.379456
N,2.379456
A,2.399546
A,2.399546
B,2.57142
N,2.57142
N,2.57142
I,2.654009
N,2.654009
A,2.69642
A,2.69642
B,2.70758
D,2.70758
A,2.761152
A,2.761152
B,2.785705
N,2.99999
N,2.99999
I,2.99999
M,3.214275
M,3.214275
N,3.214275
I,3.392846
N,3.392846
A,3.392846
A,3.392846
B,3.42856
N,3.42856
N,3.42856
A,3.439721
A,3.439721
B,3.624988
F,3.624988
B,3.642845
L,3.642845
I,3.642845
K,3.642845
N,3.642845
A,3.808023
A,3.808023
B,3.85713
N,3.85713
N,3.85713
I,3.85713
N,3.85713
A,4.008915
A,4.008915
A,4.040165
A,4.040165
B,4.05579
F,4.05579
B,4.071415
M,4.080344
N,4.080344
A,4.258914
A,4.258914
A,4.272307
A,4.272307
B,4.2857
L,4.2857
I,4.2857
K,4.45311
N,4.45311
A,4.497753
A,4.497753
B,4.499985
N,4.499985
N,4.499985
I,4.618288
N,4.618288
A,4.654002
A,4.654002
B,4.696413
D,4.696413
B,4.71427
L,4.732127
O,4.747752
N,4.747752
B,4.928555
L,4.928555
H,4.928555
I,4.928555
N,4.928555
A,4.968733
A,4.968733
B,5.14284
L,5.14284
I,5.14284
K,5.229893
N,5.229893
A,5.290161
A,5.290161
B,5.319179
D,5.319179
A,5.348196
A,5.348196
B,5.357125
N,5.57141
N,5.57141
H,5.57141
I,5.57141
N,5.57141
A,5.589267
A,5.589267
B,5.758909
F,5.758909
A,5.772302
A,5.772302
B,5.785695
L,5.785695
I,5.785695
J,5.935248
N,5.935248
A,5.944177
A,5.944177
B,5.99998
P,5.99998
N,5.99998
A,6.020069
A,6.020069
B,6.214265
H,6.214265
H,6.214265
I,6.214265
N,6.214265
A,6.247747
A,6.247747
A,6.419621
A,6.419621
B,6.42855
L,6.42855
I,6.42855
L,6.430782
F,6.430782
A,6.59596
A,6.59596
A,6.613817
A,6.613817
B,6.633906
F,6.633906
B,6.642835
M,6.665156
N,6.665156
A,6.839263
A,6.839263
A,6.854888
A,6.854888
B,6.85712
L,6.85712
H,6.85712
I,7.033459
N,7.033459
A,7.046852
A,7.046852
B,7.071405
L,7.071405
I,7.071405
K,7.225422
N,7.225422
A,7.236583
A,7.236583
B,7.272297
F,7.272297
A,7.276761
A,7.276761
B,7.28569
N,7.314708
G,7.466493
N,7.466493
A,7.466493
A,7.466493
B,7.499975
L,7.499975
I,7.499975
K,7.499975
N,7.499975
A,7.513368
A,7.513368
B,7.71426
N,7.71426
N,7.71426
I,7.823635
N,7.823635
A,7.834795
A,7.834795
B,7.868277
D,7.868277
A,7.868277
A,7.868277
B,7.928545
N,8.14283
N,8.14283
I,8.14283
M,8.357115
M,8.357115
N,8.357115
I,8.537918
N,8.537918
A,8.54015
A,8.54015
B,8.5714
N,8.584793
N,8.584793
A,8.591489
A,8.591489
B,8.785685
L,8.785685
I,8.785685
K,8.785685
N,8.785685
A,8.785685
A,8.785685
A,8.988809
A,8.988809
B,8.99997
N,8.99997
N,8.99997
I,8.99997
N,8.99997
A,9.162916
A,9.162916
A,9.171844
A,9.171844
B,9.200862
F,9.200862
A,9.209791
A,9.209791
B,9.214255
M,9.412915
N,9.412915
A,9.415147
A,9.415147
B,9.42854
L,9.42854
I,9.42854
K,9.600414
N,9.600414
A,9.622736
A,9.622736
B,9.642825
N,9.642825
N,9.642825
I,9.790146
N,9.790146
A,9.799074
A,9.799074
B,9.830324
D,9.830324
B,9.85711
M,9.859342
N,9.859342
B,9.859342
M,10.069163
N,10.069163
B,10.071395
L,10.071395
H,10.071395
I,10.075859
N,10.075859
B,10.28568
L,10.28568
I,10.28568
K,10.381662
N,10.381662
A,10.415144
A,10.415144
B,10.479876
D,10.479876
A,10.497733
A,10.497733
B,10.499965
N,10.71425
N,10.71425
H,10.71425
I,10.892821
N,10.892821
B,10.915142
D,10.915142
B,10.928535
L,10.928535
I,10.928535
J,10.928535
N,10.928535
A,11.127195
A,11.127195
A,11.14282
A,11.14282
B,11.14282
N,11.357105
N,11.357105
H,11.357105
I,11.357105
N,11.357105
A,11.381658
A,11.381658
B,11.544604
F,11.544604
A,11.562461
A,11.562461
B,11.57139
L,11.57139
I,11.57139
K,11.732104
