motifs,time
I,0.571428
M,1.142856
M,1.142856
N,1.42857
I,1.42857
O,1.714284
P,1.714284
N,1.999998
I,1.999998
N,2.285712
D,2.285712
I,2.85714
P,2.85714
O,3.142854
P,3.142854
L,3.999996
E,3.999996
C,4.571424
C,4.571424
C,4.857138
C,4.857138
F,5.142852
D,5.142852
F,5.428566
D,5.428566
I,5.71428
P,5.71428
M,7.14285
L,7.428564
I,7.428564
M,7.999992
M,7.999992
N,8.285706
I,8.285706
O,8.57142
P,8.57142
N,8.857134
I,8.857134
N,9.142848
D,9.142848
I,9.99999
P,9.99999
P,10.285704
P,10.285704
P,10.571418
P,10.571418
P,10.857132
P,10.857132
C,11.42856
C,11.42856
F,11.642846
B,11.714274
G,11.714274
P,11.999988
L,12.285702
I,12.571416
P,12.571416
N,12.85713
H,13.142844
H,13.428558
I,13.857129
L,14.142843
I,14.428557
N,14.428557
G,14.428557
P,14.999985
N,14.999985
G,14.999985
N,15.285699
B,15.285699
N,15.285699
E,15.571413
F,15.857127
G,16.142841
N,16.142841
E,16.142841
F,16.999983
B,16.999983
N,16.999983
G,17.285697
L,17.571411
I,17.857125
N,17.857125
G,17.857125
P,18.428553
N,18.428553
G,18.428553
N,18.714267
B,18.714267
N,18.714267
E,18.999981
F,19.285695
G,19.571409
N,19.571409
E,19.571409
C,20.428551
H,20.428551
I,20.714265
M,20.999979
P,20.999979
P,21.285693
N,21.285693
E,21.285693
I,21.857121
N,21.857121
E,21.857121
C,22.142835
I,22.142835
O,22.428549
P,22.428549
N,22.714263
I,22.714263
N,22.999977
D,22.999977
I,23.857119
P,23.857119
P,24.142833
P,24.142833
P,24.428547
P,24.428547
P,24.714261
P,24.714261
C,25.285689
C,25.285689
F,25.571403
G,25.571403
P,25.857117
L,26.142831
I,26.428545
P,26.428545
N,26.714259
H,26.999973
H,27.285687
I,27.714258
L,27.999972
I,28.285686
N,28.285686
G,28.285686
P,28.857114
N,28.857114
G,28.857114
N,29.142828
B,29.142828
N,29.142828
E,29.428542
F,29.714256
G,29.99997
N,29.99997
E,29.99997
F,30.857112
B,30.857112
N,30.857112
G,31.142826
L,31.42854
I,31.714254
N,31.714254
G,31.714254
P,32.285682
N,32.285682
G,32.285682
N,32.571396
B,32.571396
N,32.571396
E,32.85711
F,33.142824
G,33.428538
N,33.428538
E,33.428538
C,34.28568
H,34.28568
I,34.571394
M,34.857108
P,34.857108
P,35.142822
N,35.142822
E,35.142822
I,35.71425
N,35.71425
E,35.71425
C,35.999964
I,35.999964
O,36.285678
P,36.285678
N,36.571392
I,36.571392
N,36.857106
D,36.857106
I,37.714248
P,37.714248
P,37.999962
P,37.999962
P,38.285676
P,38.285676
P,38.57139
P,38.57139
C,39.142818
C,39.142818
F,39.428532
G,39.428532
P,39.714246
L,39.99996
I,40.285674
P,40.285674
N,40.571388
H,40.857102
H,41.142816
