motifs,time
B,0.885416
N,0.885416
G,1.302083
P,1.718749
N,1.718749
G,1.718749
L,2.083332
F,2.135416
G,2.135416
N,2.135416
E,2.343749
E,2.552082
E,2.760416
C,2.968749
H,3.385415
H,3.385415
I,3.802082
P,4.218748
N,4.218748
E,4.218748
E,4.218748
F,4.583332
B,4.635415
G,4.635415
N,4.635415
E,4.843748
E,5.052081
E,5.260415
C,5.468748
H,5.885414
G,5.885414
O,6.302081
P,6.718747
N,6.718747
E,6.718747
G,6.718747
O,7.135414
N,7.135414
L,7.135414
E,7.135414
I,7.55208
N,7.55208
L,7.55208
L,7.55208
I,7.968747
N,7.968747
L,7.968747
E,7.968747
F,8.385413
G,8.385413
N,8.385413
G,8.80208
O,9.218746
N,9.218746
L,9.218746
O,9.635413
N,9.635413
G,9.635413
N,10.781246
F,11.197912
B,11.197912
N,11.197912
G,11.614579
P,12.031245
N,12.031245
G,12.031245
L,12.395828
F,12.447912
G,12.447912
N,12.447912
E,12.656245
E,12.864578
E,13.072911
C,13.281245
H,13.697911
H,13.697911
I,14.114578
P,14.531244
N,14.531244
E,14.531244
E,14.531244
F,14.895827
B,14.947911
G,14.947911
N,14.947911
E,15.156244
E,15.364577
E,15.57291
C,15.781244
H,16.19791
G,16.19791
O,16.614577
P,17.031243
N,17.031243
E,17.031243
G,17.031243
O,17.44791
N,17.44791
L,17.44791
E,17.44791
I,17.864576
N,17.864576
L,17.864576
L,17.864576
I,18.281243
N,18.281243
L,18.281243
E,18.281243
F,18.697909
G,18.697909
N,18.697909
G,19.114576
O,19.531242
N,19.531242
L,19.531242
O,19.947909
N,19.947909
G,19.947909
N,21.093742
B,21.093742
I,21.510408
N,21.510408
E,21.510408
I,21.927075
N,21.927075
E,21.927075
E,22.291658
I,22.343741
N,22.343741
E,22.343741
I,22.760408
P,22.760408
L,22.760408
I,23.177074
P,23.177074
L,23.177074
E,23.541657
I,23.593741
N,23.593741
L,23.593741
I,24.010407
N,24.010407
E,24.010407
G,24.010407
O,24.427074
N,24.427074
E,24.427074
G,24.427074
L,24.84374
I,24.84374
N,24.84374
E,24.84374
G,25.052073
O,25.260407
N,25.260407
L,25.260407
E,25.260407
I,26.510406
N,26.510406
L,26.510406
I,26.927073
L,27.343739
I,27.343739
L,27.343739
I,27.760406
N,27.760406
L,27.760406
I,28.177072
N,28.385405
L,28.385405
I,28.593739
N,28.593739
L,28.593739
I,29.010405
N,29.010405
I,29.010405
O,29.427072
P,29.843738
N,29.843738
L,29.843738
O,30.260405
N,30.260405
G,30.260405
N,31.406237
B,31.406237
I,31.822904
N,31.822904
E,31.822904
I,32.23957
N,32.23957
E,32.23957
E,32.604154
I,32.656237
N,32.656237
E,32.656237
I,33.072903
P,33.072903
L,33.072903
I,33.48957
P,33.48957
L,33.48957
E,33.854153
I,33.906236
N,33.906236
L,33.906236
I,34.322903
N,34.322903
E,34.322903
G,34.322903
O,34.739569
N,34.739569
E,34.739569
G,34.739569
L,35.156236
I,35.156236
N,35.156236
E,35.156236
G,35.364569
O,35.572902
N,35.572902
L,35.572902
E,35.572902
I,36.822902
N,36.822902
L,36.822902
I,37.239568
L,37.656235
I,37.656235
L,37.656235
I,38.072901
N,38.072901
L,38.072901
I,38.492441
N,38.706601
L,38.706601
I,38.923798
N,38.923798
L,38.923798
I,39.367657
N,39.367657
I,39.367657
O,39.824765
P,40.295936
N,40.295936
L,40.295936
O,40.843539
N,40.843539
G,40.843539
