motifs,time
N,0.624999
N,1.041665
I,1.041665
O,1.458331
N,1.874997
P,1.874997
N,2.291663
G,2.708329
O,3.124995
N,3.333328
H,3.541661
G,3.541661
N,3.958327
N,4.374993
D,4.374993
I,4.791659
P,4.791659
L,5.208325
I,5.208325
N,5.208325
G,5.416658
L,5.624991
E,5.833324
E,6.041657
F,6.24999
C,6.458323
C,6.666656
G,6.874989
N,6.874989
N,7.291655
N,7.708321
I,7.708321
O,8.124987
N,8.541653
P,8.541653
N,8.958319
G,9.374985
O,9.791651
N,10.208317
G,10.208317
N,10.208317
L,10.624983
N,10.989566
B,11.041649
G,11.041649
P,11.249982
L,11.458315
F,11.666648
H,11.874981
H,12.291647
G,12.708313
O,12.708313
N,13.645812
G,13.645812
P,13.854144
L,14.062478
F,14.27081
H,14.479144
G,14.479144
O,14.687476
N,14.89581
G,14.89581
N,15.104142
E,15.312476
I,15.312476
P,15.520808
L,15.729142
E,15.937474
E,16.145808
I,16.145808
P,16.35414
L,16.562474
F,16.770806
G,16.97914
P,16.97914
P,17.187472
N,17.395806
F,17.604138
H,17.812472
I,17.812472
N,18.020804
H,18.229138
I,18.229138
O,18.43747
P,18.645804
N,18.645804
P,18.854136
L,19.06247
I,19.270802
P,19.270802
P,19.479136
P,19.479136
O,19.687468
N,19.895802
E,19.895802
F,20.104134
D,20.312468
G,20.5208
L,20.729134
E,20.937466
I,21.1458
N,21.354132
E,21.562466
G,21.770798
O,21.979132
N,22.187464
E,22.395798
G,22.60413
O,22.812464
N,23.020796
L,23.22913
E,23.437462
I,23.645796
L,23.645796
I,23.854128
L,24.062462
E,24.270794
E,24.479128
C,24.68746
H,24.895794
G,24.895794
P,25.104126
N,25.31246
B,25.31246
P,25.520792
N,25.729126
H,25.937458
C,26.145792
E,26.354124
F,26.562458
D,26.77079
F,26.979124
G,27.187456
N,27.39579
E,27.604122
E,27.812456
E,27.812456
G,28.229122
N,28.645788
G,28.85412
N,29.062454
E,29.270786
E,29.47912
E,29.687452
G,29.895786
N,30.104118
G,30.312452
N,30.312452
O,30.520784
N,30.729118
G,30.729118
O,30.93745
P,31.145784
L,31.145784
I,31.354116
N,31.56245
L,31.56245
O,31.770782
P,31.979116
N,31.979116
N,31.979116
G,32.187448
L,32.395782
E,32.604114
E,32.812448
F,33.02078
C,33.229114
C,33.437446
G,33.64578
N,33.64578
P,33.854112
N,34.062446
E,34.270778
E,34.479112
E,34.479112
F,34.687444
D,34.895778
C,35.10411
H,35.312444
G,35.312444
O,35.520776
L,35.72911
C,35.937442
C,36.145776
G,36.354108
P,36.562442
P,36.562442
I,36.562442
P,36.770774
N,36.979108
D,36.979108
I,37.18744
M,37.395774
L,37.395774
I,37.604106
M,37.786398
N,37.838481
D,37.838481
I,38.046814
P,38.046814
N,38.255147
I,38.255147
O,38.46348
N,38.46348
O,38.671813
N,38.671813
G,38.671813
O,39.609312
O,39.817645
N,40.025978
F,40.234311
I,40.442644
P,40.651098
N,40.861134
N,41.072776
I,41.286048
P,41.500976
L,41.717585
N,41.935902
G,42.155953
P,42.377767
L,42.601371
I,42.826794
K,43.082476
N,43.082476
E,43.082476
I,43.338157
N,43.567339
E,43.802109
G,44.042745
L,44.042745
I,44.289547
N,44.542863
E,44.80302
G,45.070399
L,45.070399
I,45.345409
N,45.628614
L,45.994689
I,46.519689
N,46.519689
E,46.519689
E,46.519689
