motifs,time
E,0.75
C,1.125
H,1.3125
G,1.5
O,1.5
N,1.875
G,2.0625
P,2.0625
P,2.25
P,2.25
P,2.625
P,2.625
P,2.8125
P,2.8125
N,3
P,3
O,3.375
O,3.375
P,3.75
P,3.75
P,4.125
P,4.125
O,4.5
P,4.5
P,4.875
P,4.875
N,5.0625
G,5.25
P,5.25
O,5.625
N,5.625
N,6
M,6.1875
N,6.375
H,6.5625
C,6.75
I,6.9375
L,7.125
H,7.3125
C,7.5
G,7.6875
N,7.875
H,8.0625
C,8.25
I,8.4375
L,8.625
H,8.8125
C,9
G,9.1875
N,9.375
H,9.5625
G,9.75
P,9.75
L,9.9375
C,10.3125
G,10.5
P,10.5
L,10.6875
C,10.875
D,10.875
F,11.0625
D,11.0625
F,11.25
D,11.25
F,11.625
D,11.625
I,11.8125
P,11.8125
F,12
D,12
C,12.1875
H,12.375
I,12.375
P,12.75
P,13.125
P,13.5
P,13.5
P,13.6875
N,13.875
F,13.875
D,14.0625
E,14.25
I,14.4375
L,14.625
H,14.8125
C,15
G,15.1875
N,15.375
H,15.5625
C,15.75
I,15.9375
L,16.125
H,16.3125
C,16.5
G,16.6875
N,16.875
H,17.0625
C,17.25
I,17.25
P,17.4375
N,17.8125
C,18
I,18
P,18.1875
L,18.375
F,18.375
D,18.5625
F,18.5625
D,18.75
F,18.75
D,19.125
F,19.125
D,19.3125
F,19.3125
I,19.5
P,19.5
F,19.6875
B,19.875
I,19.875
L,20.25
I,20.625
L,21
I,21
P,21.1875
L,21.375
I,21.375
P,21.5625
P,21.5625
P,21.75
P,21.75
N,22.125
O,22.125
N,22.5
K,22.6875
N,22.875
H,23.0625
C,23.25
I,23.4375
L,23.625
H,23.8125
C,24
G,24.1875
N,24.375
H,24.5625
C,24.75
I,24.9375
L,25.125
H,25.3125
C,25.5
G,25.6875
N,25.875
H,26.0625
C,26.25
I,26.25
P,26.4375
N,26.8125
C,27
I,27
P,27.1875
L,27.375
F,27.375
D,27.5625
E,27.75
I,27.9375
L,28.125
H,28.3125
C,28.5
G,28.6875
N,28.875
H,29.0625
C,29.25
I,29.4375
L,29.625
H,29.8125
C,30
G,30.1875
N,30.375
H,30.5625
C,30.75
I,30.75
L,30.75
O,30.9375
N,31.3125
C,31.5
I,31.5
K,31.5
L,31.5
M,32.625
K,32.625
N,33
M,33
N,33
H,34.125
D,34.125
F,34.5
I,34.5
N,34.5
H,35.625
D,35.625
F,36
I,36
N,36
H,36.375
D,36.375
F,36.75
D,36.75
C,37.125
H,37.125
I,37.125
N,37.5
G,37.5
O,37.5
P,38.625
O,38.625
P,39
P,39
P,39.375
P,39.375
P,39.75
P,39.75
P,40.125
P,40.125
P,40.5
P,40.5
N,41.625
C,41.625
F,42
D,42
F,42.375
D,42.375
F,42.75
D,42.75
I,43.125
P,43.125
E,43.5
I,43.5
N,43.5
G,43.875
L,44.25
I,44.625
L,45
I,45.75
P,46.5
P,46.5
N,47.4375
B,47.625
P,47.625
N,47.8125
G,48
P,48
M,48.75
M,49.125
P,49.5
P,49.5
