motifs,time
E,1.565217
I,1.565217
N,2.086956
K,2.347826
N,2.608695
H,2.869564
C,3.130434
I,3.130434
N,3.652173
L,4.173912
E,4.434782
E,4.695651
I,4.695651
N,5.21739
K,5.47826
N,5.739129
H,5.999998
C,6.260868
I,6.260868
N,6.782607
L,7.304346
G,7.565216
N,7.826085
B,7.826085
N,8.347824
N,8.347824
H,8.347824
I,8.608694
N,8.869563
H,9.130432
H,9.391302
G,9.391302
N,9.652172
E,9.913041
G,10.43478
O,10.43478
P,10.69565
N,10.956519
G,10.956519
N,11.478258
N,11.478258
I,11.739128
N,11.999997
C,12.260866
E,12.521736
I,12.521736
N,12.782606
L,13.043475
E,13.565214
I,13.565214
P,13.826084
N,14.086953
B,14.086953
N,14.347822
L,14.608692
E,14.869562
F,15.130431
G,15.130431
P,15.3913
L,15.65217
O,15.65217
N,15.91304
E,16.434778
C,16.695648
I,16.956518
L,17.217387
I,17.217387
N,17.478256
E,17.739126
G,18.260865
N,18.782604
G,18.782604
N,19.043474
L,19.304343
E,19.826082
E,20.086952
E,20.347821
I,20.347821
N,20.86956
K,21.13043
N,21.391299
H,21.652168
C,21.913038
I,21.913038
N,22.434777
L,22.956516
E,23.217386
E,23.478255
I,23.478255
N,23.999994
K,24.260864
N,24.521733
H,24.782602
C,25.043472
I,25.043472
N,25.565211
L,26.08695
G,26.34782
N,26.608689
B,26.608689
N,27.130428
N,27.130428
H,27.130428
I,27.391298
N,27.652167
H,27.913036
H,28.173906
G,28.173906
N,28.434776
E,28.695645
G,29.217384
O,29.217384
P,29.478254
N,29.739123
G,29.739123
N,30.260862
N,30.260862
I,30.521732
N,30.782601
C,31.04347
E,31.30434
I,31.30434
N,31.56521
L,31.826079
E,32.347818
I,32.347818
P,32.608688
N,32.869557
B,32.869557
N,33.130426
L,33.391296
E,33.652166
F,33.913035
G,33.913035
P,34.173904
L,34.434774
O,34.434774
N,34.695644
E,35.217382
C,35.478252
I,35.739122
L,35.999991
I,35.999991
N,36.26086
E,36.52173
G,37.043469
N,37.043469
L,37.304338
I,37.565208
P,37.565208
L,37.565208
G,38.086947
M,38.608686
J,39.130425
O,39.130425
N,39.391294
E,39.652164
G,40.173903
N,40.173903
N,40.434772
E,40.695642
F,40.695642
G,41.217381
P,41.73912
N,41.73912
D,41.99999
F,42.260859
G,42.260859
N,42.521728
G,42.782598
N,42.782598
L,43.304337
I,43.565206
N,43.826076
G,43.826076
N,44.086946
G,44.347815
N,44.347815
L,44.869554
C,45.130424
G,45.391293
O,45.391293
N,45.652162
E,45.913032
G,46.434771
N,46.434771
N,46.69564
E,46.95651
F,46.95651
G,47.478249
P,47.999988
N,47.999988
D,48.260858
E,48.521727
I,48.521727
N,48.782596
L,49.043466
G,49.565205
O,49.565205
P,49.826074
N,50.086944
G,50.086944
N,50.347814
E,50.608683
E,51.130422
E,51.391292
E,51.652161
I,51.652161
N,52.1739
K,52.43477
N,52.695639
H,52.956508
C,53.217378
I,53.217378
N,53.739117
L,54.260856
E,54.521726
E,54.782595
I,54.782595
N,55.304334
K,55.565204
N,55.826073
H,56.086942
C,56.347812
I,56.347812
N,56.869551
L,57.39129
G,57.65216
N,57.913029
B,57.913029
N,58.434768
N,58.434768
H,58.434768
I,58.695638
N,58.956507
H,59.217376
H,59.478246
G,59.478246
N,59.739116
E,59.999985
G,60.521724
O,60.521724
P,60.782594
N,61.043463
G,61.043463
N,61.565202
N,61.565202
I,61.826072
N,62.086941
C,62.34781
E,62.60868
I,62.60868
N,62.86955
L,63.130419
E,63.652158
I,63.652158
P,63.913028
N,64.173897
B,64.173897
N,64.434766
L,64.695636
E,64.956506
F,65.217375
G,65.217375
P,65.478244
L,65.739114
O,65.739114
N,65.999984
E,66.521722
C,66.782592
I,67.043462
L,67.304331
I,67.5652
N,67.82607
G,68.347809
N,68.347809
L,68.608678
I,68.869548
P,68.869548
L,68.869548
G,69.391287
