motifs,time
E,1.666664
I,1.666664
N,2.08333
L,2.499996
I,2.499996
N,2.916662
L,3.333328
I,3.333328
O,4.16666
L,4.583326
E,4.999992
I,4.999992
M,5.416658
N,5.833324
G,5.833324
N,6.24999
N,6.666656
O,6.666656
L,7.499988
C,7.916654
H,8.33332
G,8.33332
M,8.749986
N,9.166652
G,9.166652
O,9.583318
P,9.999984
P,9.999984
N,10.833316
D,11.249982
E,11.666648
I,11.666648
N,12.083314
E,12.49998
I,12.49998
N,12.916646
L,13.333312
I,13.333312
N,14.166644
N,14.58331
H,14.999976
G,14.999976
M,15.416642
N,15.833308
G,15.833308
O,16.249974
N,16.66664
G,16.66664
N,17.499972
E,17.916638
E,18.333304
I,18.333304
N,18.74997
C,19.166636
I,19.166636
N,19.583302
D,19.999968
