motifs,time
I,0.434782
N,0.652173
N,0.869564
G,0.869564
P,1.086955
N,1.304346
G,1.304346
N,1.521737
L,1.739128
N,1.956519
H,2.17391
G,2.17391
P,2.391301
L,2.608692
I,2.608692
P,2.826083
L,3.043474
I,3.043474
N,3.260865
L,3.478256
G,3.695647
N,3.913038
G,3.913038
P,4.130429
L,4.34782
F,4.565211
D,4.782602
I,4.782602
P,4.999993
L,5.217384
F,5.434775
D,5.652166
I,5.652166
N,5.652166
J,5.869557
L,6.086948
F,6.304339
D,6.52173
I,6.52173
N,6.739121
L,6.956512
G,7.173903
L,7.391294
I,7.391294
N,7.608685
N,7.826076
G,7.826076
P,8.043467
N,8.260858
G,8.260858
N,8.478249
L,8.69564
N,8.913031
H,9.130422
G,9.130422
P,9.347813
L,9.565204
I,9.565204
P,9.782595
L,9.999986
I,9.999986
N,10.217377
L,10.434768
G,10.652159
N,10.86955
G,10.86955
P,11.086941
L,11.304332
F,11.521723
D,11.739114
I,11.739114
P,11.956505
L,12.173896
F,12.391287
D,12.608678
I,12.608678
N,12.608678
J,12.826069
L,13.04346
F,13.260851
D,13.478242
I,13.478242
N,13.695633
L,13.913024
G,14.130415
L,14.347806
E,14.347806
I,14.565197
P,14.782588
N,14.999979
H,15.21737
D,15.21737
I,15.434761
P,15.652152
N,15.869543
H,16.086934
D,16.086934
I,16.304325
P,16.521716
N,16.739107
H,16.956498
D,16.956498
I,17.173889
P,17.39128
L,17.608671
E,17.826062
I,17.826062
P,18.043453
L,18.260844
F,18.478235
D,18.695626
I,18.695626
N,18.913017
L,19.130408
E,19.347799
F,19.56519
D,19.56519
I,19.56519
P,19.782581
L,19.999972
F,20.217363
D,20.434754
I,20.434754
N,20.652145
L,20.869536
E,21.086927
E,21.304318
I,21.304318
N,21.521709
N,21.7391
G,21.7391
P,21.956491
N,22.173882
G,22.173882
N,22.391273
L,22.608664
N,22.826055
H,23.043446
G,23.043446
P,23.260837
L,23.478228
I,23.478228
P,23.695619
L,23.91301
I,23.91301
N,24.130401
L,24.347792
G,24.565183
N,24.782574
G,24.782574
P,24.999965
L,25.217356
F,25.434747
D,25.652138
I,25.652138
P,25.869529
L,26.08692
F,26.304311
D,26.521702
I,26.521702
N,26.521702
J,26.739093
L,26.956484
F,27.173875
D,27.391266
I,27.391266
N,27.608657
L,27.826048
G,28.043439
L,28.26083
E,28.26083
I,28.478221
P,28.695612
N,28.913003
H,29.130394
D,29.130394
I,29.347785
P,29.565176
N,29.782567
H,29.999958
D,29.999958
I,30.217349
P,30.43474
N,30.652131
H,30.869522
D,30.869522
I,31.086913
P,31.304304
L,31.521695
E,31.739086
I,31.739086
P,31.956477
L,32.173868
F,32.391259
D,32.60865
I,32.60865
N,32.826041
L,33.043432
E,33.260823
F,33.478214
D,33.478214
I,33.478214
P,33.695605
L,33.912996
F,34.130387
D,34.347778
I,34.347778
N,34.565169
L,34.78256
E,34.999951
E,35.217342
I,35.217342
N,35.434733
N,35.652124
G,35.652124
P,35.869515
N,36.086906
G,36.086906
N,36.304297
L,36.521688
N,36.739079
H,36.95647
G,36.95647
P,37.173861
L,37.391252
I,37.391252
P,37.608643
L,37.826034
I,37.826034
N,38.043425
L,38.260816
G,38.478207
N,38.695598
G,38.695598
P,38.912989
L,39.13038
F,39.347771
D,39.565162
I,39.565162
P,39.782553
L,39.999944
F,40.217335
D,40.434726
I,40.434726
N,40.434726
J,40.652117
L,40.869508
F,41.086899
D,41.30429
I,41.30429
N,41.521681
L,41.739072
G,41.956463
P,42.173854
P,42.173854
I,42.391245
P,42.608636
N,42.826027
G,43.043418
P,43.043418
I,43.260809
M,43.4782
L,43.695591
P,43.912982
P,43.912982
E,43.912982
I,44.130373
P,44.347764
N,44.565155
H,44.782546
I,44.782546
O,44.999937
N,45.217328
L,45.434719
P,45.65211
D,45.65211
I,45.869501
P,46.086892
N,46.304283
H,46.521674
D,46.521674
I,46.739065
P,46.956456
N,47.173847
H,47.391238
G,47.391238
N,47.391238
J,47.608629
L,47.82602
F,48.043411
D,48.260802
I,48.260802
N,48.478193
L,48.695584
G,48.912975
L,49.130366
I,49.619496
N,49.619496
E,49.619496
I,49.619496
N,50.217321
L,50.217321
E,50.217321
I,50.217321
