motifs,time
C,1.363635
D,1.363635
I,1.363635
P,2.045452
N,2.272725
G,2.72727
P,2.72727
O,2.72727
P,3.409088
N,3.63636
H,4.090905
G,4.090905
P,4.772722
L,4.999995
I,5.45454
P,5.45454
M,6.36363
N,6.818175
L,6.818175
G,6.818175
O,6.818175
P,7.27272
N,7.727265
H,8.18181
G,8.18181
P,8.636355
N,9.0909
H,9.545445
G,9.545445
P,10.227262
L,10.454535
C,10.90908
G,10.90908
M,11.81817
L,12.272715
I,12.272715
P,12.954532
N,13.181805
C,13.63635
I,13.63635
M,14.54544
L,14.999985
I,14.999985
P,15.681802
N,15.909075
C,16.36362
I,16.36362
M,17.27271
L,17.727255
I,17.727255
P,18.409072
N,18.636345
H,19.09089
G,19.09089
P,19.772708
N,19.99998
H,20.454525
G,20.454525
P,21.136342
N,21.363615
G,21.81816
P,21.81816
M,22.72725
N,23.181795
B,23.181795
L,23.181795
E,23.181795
I,24.090885
N,24.54543
B,24.54543
L,24.54543
E,24.54543
I,25.45452
N,25.909065
B,25.909065
L,25.909065
E,25.909065
I,26.818155
N,27.2727
B,27.2727
L,27.2727
E,27.2727
I,28.18179
N,28.636335
L,28.636335
O,28.636335
P,29.318152
N,29.545425
G,29.99997
P,29.99997
O,29.99997
N,30.90906
N,31.363605
O,31.363605
O,31.363605
P,32.045422
N,32.272695
G,32.72724
N,32.72724
L,32.72724
O,33.63633
P,34.090875
L,34.090875
I,34.090875
P,34.772692
N,34.999965
H,35.45451
D,35.45451
I,35.45451
P,36.136328
N,36.3636
H,36.818145
D,36.818145
I,36.818145
P,37.499962
N,37.727235
H,38.18178
D,38.18178
I,38.18178
M,39.09087
L,39.545415
I,39.545415
P,40.227232
N,40.454505
H,40.90905
G,40.90905
P,41.590868
N,41.81814
H,42.272685
G,42.272685
P,42.954502
N,43.181775
G,43.63632
P,43.63632
M,44.54541
N,44.999955
B,44.999955
L,44.999955
E,44.999955
I,45.909045
N,46.36359
B,46.36359
L,46.36359
E,46.36359
I,47.27268
N,47.727225
B,47.727225
L,47.727225
E,47.727225
I,48.636315
N,49.09086
B,49.09086
L,49.09086
E,49.09086
I,49.99995
N,50.454495
L,50.454495
E,50.454495
I,51.363585
N,51.81813
L,51.81813
L,51.81813
I,52.72722
N,53.181765
L,53.181765
L,53.181765
I,54.090855
N,54.5454
K,54.5454
L,54.5454
I,55.45449
P,55.909035
L,55.909035
O,55.909035
P,56.590852
N,56.818125
G,57.27267
P,57.27267
O,57.27267
P,57.954488
N,58.18176
G,58.636305
P,58.636305
O,58.636305
P,59.318122
N,59.545395
G,59.99994
P,59.99994
O,59.99994
N,60.90903
L,61.363575
I,61.363575
P,62.045392
N,62.272665
H,62.72721
G,62.72721
P,63.409028
N,63.6363
H,64.090845
G,64.090845
P,64.772662
N,64.999935
G,65.45448
P,65.45448
M,66.36357
N,66.818115
B,66.818115
L,66.818115
I,67.727205
N,68.18175
A,69.09084
A,69.545385
B,69.545385
L,69.545385
I,70.454475
N,70.90902
A,71.81811
A,72.272655
B,72.272655
J,72.272655
O,73.181745
N,73.63629
A,74.54538
A,74.999925
B,74.999925
K,74.999925
O,75.909015
N,76.36356
B,77.27265
L,77.727195
I,77.727195
P,78.636285
N,79.545375
H,80.454465
G,80.454465
P,81.363555
N,82.272645
H,83.181735
G,83.181735
P,84.090825
N,84.999915
H,85.909005
H,86.36355
C,86.818095
E,87.27264
E,87.727185
E,88.18173
E,88.636275
I,91.363545
N,91.363545
L,91.363545
I,94.090815
N,94.090815
L,94.090815
E,94.090815
