motifs,time
C,1.022727
G,1.022727
P,1.363636
N,1.704545
C,2.045454
F,2.386363
F,3.068181
B,3.40909
E,3.749999
I,3.749999
P,4.090908
N,4.431817
C,4.772726
F,5.113635
D,5.795453
B,6.136362
E,6.477271
I,6.81818
P,7.159089
L,7.499998
E,7.840907
I,8.181816
P,8.522725
N,9.204543
H,9.545452
C,9.891825
E,10.253427
C,10.631649
G,11.028423
O,11.445311
L,11.884375
C,12.33892
G,12.33892
P,12.679829
N,13.020738
C,13.361647
F,13.702556
F,14.384374
B,14.725283
E,15.066192
I,15.066192
P,15.407101
N,15.74801
C,16.088919
F,16.429828
H,17.111646
C,17.452555
E,17.793464
I,17.793464
P,18.134373
L,18.475282
F,18.816191
H,19.1571
I,19.838918
L,20.179827
E,20.520736
I,20.871101
P,21.245918
O,21.648964
P,22.084918
O,22.559229
