motifs,time
N,0.694444
L,0.694444
E,0.833332
I,1.11111
N,1.11111
I,1.388888
P,1.388888
I,1.388888
O,1.666665
N,1.944442
N,1.944442
G,2.499998
O,2.499998
N,2.916664
L,2.916664
E,3.055552
I,3.33333
N,3.33333
I,3.611108
P,3.611108
E,3.611108
I,3.611108
P,3.888885
L,4.166662
E,4.44444
E,4.722218
I,4.722218
N,5.138884
L,5.277772
C,5.55555
D,5.833328
I,5.833328
N,6.111105
N,6.388882
H,6.66666
H,6.944438
I,7.222215
M,7.499992
K,8.055548
N,8.351761
P,8.69559
O,10.00809
N,10.00809
N,10.424756
L,10.424756
E,10.563645
I,10.841423
N,10.841423
I,11.1192
P,11.1192
I,11.1192
O,11.396978
N,11.674755
N,11.674755
G,12.23031
O,12.23031
N,12.646976
L,12.646976
E,12.785865
I,13.063643
N,13.063643
I,13.34142
P,13.34142
E,13.34142
I,13.34142
P,13.619198
L,13.896975
E,14.174753
E,14.45253
I,14.730308
M,15.008085
O,15.285863
N,15.56364
N,15.841418
M,16.119195
N,16.67475
G,16.67475
O,16.959185
L,17.260781
E,17.581743
F,17.924731
G,18.292991
N,18.690545
L,18.690545
