motifs,time
N,0.25
N,0.5
I,0.75
N,1
C,1.25
C,1.5
G,1.5
N,1.75
N,2
C,2.25
E,2.5
C,2.75
I,3
O,3
N,3.25
N,3.5
I,3.75
N,4
C,4.25
C,4.5
G,4.5
N,4.75
L,5
C,5.25
H,5.5
I,5.5
N,5.75
H,6
C,6.25
I,6.5
M,6.75
P,7
M,7.25
P,7.5
F,7.75
E,8
F,8.25
I,8.25
P,8.5
N,8.75
C,9
D,9.25
E,9.5
E,9.75
C,10
G,10
N,10.25
N,10.5
C,10.75
E,11
I,11.25
O,11.25
P,11.5
N,11.75
C,12
D,12.25
E,12.5
I,12.5
O,12.75
N,13
G,13
N,13.25
O,13.5
M,13.75
L,14
G,14.25
N,14.5
C,14.75
C,15
G,15
N,15.25
L,15.5
M,15.75
P,16
M,16.25
O,16.5
O,16.5
N,16.75
L,17
M,17.25
P,17.5
M,17.75
N,18
I,18
N,18.25
K,18.5
M,18.75
P,19
M,19.25
O,19.5
O,19.5
N,19.75
L,20
M,20.25
P,20.5
M,20.75
N,21
O,21
N,21.25
E,21.5
G,21.75
L,22
E,22.25
F,22.5
G,22.5
N,22.75
E,23
G,23.25
L,23.5
E,23.75
C,24
G,24
N,24.25
K,24.5
M,24.75
P,25
M,25.25
P,25.5
O,25.5
N,25.75
K,26
M,26.25
P,26.5
M,26.75
N,27
I,27
N,27.25
L,27.5
E,27.75
E,28
E,28.25
E,28.5
I,28.5
N,28.75
L,29
L,29.25
E,29.5
C,29.75
H,30
G,30
N,30.25
L,30.5
E,30.75
E,31
E,31.25
E,31.5
I,31.5
N,31.75
E,32
G,32.25
L,32.5
C,32.75
D,33
I,33
N,33.25
L,33.5
M,33.75
P,34
M,34.25
N,34.5
I,34.5
N,34.75
G,35
L,35.25
E,35.5
C,35.75
D,36
I,36
N,36.25
J,36.5
M,36.75
P,37
M,37.25
N,37.5
B,37.5
N,37.75
E,38
E,38.25
E,38.5
E,38.75
H,39
F,39
I,39.25
L,39.5
E,39.75
E,40
C,40.25
D,40.5
I,40.5
P,40.75
N,41
B,41.25
N,41.5
C,41.5
D,41.75
A,42
A,42.25
B,42.5
M,42.5
P,42.75
N,43
B,43.25
K,43.5
O,43.5
N,43.75
L,44
G,44.25
N,44.5
C,44.75
C,45
G,45
N,45.25
L,45.5
C,45.75
I,46
M,46.25
O,46.5
O,46.5
N,46.75
L,47
G,47.25
N,47.5
C,47.75
C,48
G,48
N,48.25
K,48.5
M,48.75
P,49
M,49
N,49.25
G,49.5
O,49.5
N,49.75
L,50
G,50.25
N,50.5
C,50.75
I,51
K,51
N,51.25
L,51.5
E,51.75
E,52
E,52.25
E,52.5
I,52.5
N,52.75
L,53
G,53.25
N,53.5
C,53.75
I,54
K,54
N,54.25
L,54.5
E,54.75
E,55
E,55.25
I,55.5
P,55.5
N,55.666666
N,55.833333
A,56
A,56.166666
A,56.333332
A,56.499999
A,56.666666
A,56.833332
A,56.999998
A,57.166665
B,57.166665
M,57.333332
N,57.499998
B,57.499998
M,57.666664
N,57.833331
A,57.999998
B,57.999998
M,58.166664
P,58.166664
C,58.33333
F,58.499997
B,58.499997
M,58.666664
N,58.83333
B,58.83333
C,58.999996
D,59.166663
B,59.166663
C,59.33333
F,59.499996
B,59.499996
M,59.666662
N,59.833329
A,59.999996
A,60.166662
B,60.166662
C,60.333328
F,60.499995
B,60.499995
M,60.666662
N,60.833328
B,60.833328
C,60.999994
D,61.166661
B,61.166661
C,61.333328
F,61.499994
B,61.499994
C,61.66666
F,61.833327
B,61.999994
C,61.999994
F,62.16666
B,62.16666
M,62.333326
N,62.499993
B,62.499993
C,62.66666
F,62.833326
B,62.833326
M,62.999992
N,63.166659
B,63.166659
M,63.333326
