motifs,time
M,1.5
P,1.5
M,2.25
P,2.25
M,3.75
O,3.75
P,4.125
P,4.125
O,4.5
N,4.5
N,5.25
O,5.25
P,5.625
P,5.625
O,6
N,6
N,6.75
M,6.75
M,7.5
P,7.5
M,8.25
P,8.25
M,9.75
O,9.75
P,10.125
P,10.125
O,10.5
N,10.5
N,11.25
O,11.25
P,11.625
P,11.625
O,12
N,12
N,13.5
M,13.5
M,14.25
P,14.25
M,15
P,15
P,15.75
P,15.75
P,16.125
L,16.5
I,16.5
N,16.875
G,17.25
P,17.25
D,18.75
I,18.75
M,19.5
P,19.5
M,20.25
P,20.25
O,21
N,21.75
G,21.75
M,22.5
P,22.5
M,23.25
P,23.25
L,24.75
F,25.125
H,25.5
G,26.25
O,26.25
N,26.625
G,27
N,27
P,27.75
L,28.125
E,28.5
E,29.25
I,29.25
L,29.25
I,30
N,30.75
G,30.75
M,31.5
P,31.5
M,32.25
P,32.25
O,33
L,33.375
N,33.75
G,34.5
L,34.5
O,35.25
L,35.625
F,36
G,36.75
L,36.75
P,37.125
L,37.5
I,37.5
N,37.875
G,38.25
N,38.25
L,38.25
I,38.625
L,39
F,39.75
B,40.125
F,40.5
G,41.25
L,41.25
M,42
P,42
M,42.75
P,42.75
O,44.25
L,44.625
E,45
I,45.75
L,45.75
P,46.125
K,46.5
P,47.25
L,47.25
P,47.625
K,48
M,48.75
L,48.75
D,49.125
C,49.125
I,49.5
M,49.5
O,50.25
L,50.625
H,51
I,51.75
N,52.125
E,52.5
I,53.25
L,53.25
M,54
P,54
M,54.75
P,54.75
P,55.5
P,55.5
P,55.875
L,56.25
I,56.25
N,56.625
G,57
P,57
I,57.375
N,57.75
C,58.125
I,58.5
L,59.25
G,59.25
M,60
P,60
M,60.75
P,60.75
L,62.25
F,62.625
H,63
I,63.75
N,64.125
E,64.5
I,65.25
N,65.625
E,66
E,66.75
I,67.5
P,67.5
F,67.875
H,68.25
C,68.625
F,69
D,69.375
C,69.75
D,69.75
F,70.125
D,70.5
B,70.5
F,70.875
H,71.25
D,71.25
F,71.625
D,71.625
C,72
D,72
F,72.375
H,72.75
I,72.75
P,73.125
L,73.5
D,73.5
F,73.875
H,74.25
D,74.625
F,75
B,75
P,75.375
F,75.75
B,75.75
P,76.125
H,76.5
I,76.5
P,76.875
N,77.25
B,77.625
F,78
B,78.375
F,78.75
B,79.125
C,79.5
C,79.875
F,80.25
B,80.25
I,80.625
O,80.625
P,81
P,81
P,81.375
L,81.75
D,82.125
G,82.5
P,82.5
P,82.875
M,83.25
P,83.25
P,83.625
D,84
E,84
F,84.375
D,84.75
E,85.125
I,85.5
P,85.5
M,85.6875
N,85.875
F,86.0625
A,86.25
A,86.4375
B,86.625
F,86.8125
B,87
D,87.1875
B,87.375
F,87.5625
A,87.75
B,87.75
M,87.9375
N,88.125
F,88.3125
B,88.5
G,88.5
M,88.6875
L,88.875
D,89.0625
B,89.25
I,89.25
M,89.4375
N,89.625
G,89.625
M,89.8125
N,90
G,90
M,90.1875
N,90.375
F,90.5625
A,90.75
B,90.75
M,90.9375
N,91.125
F,91.3125
B,91.5
E,91.5
C,91.6875
H,91.875
D,92.0625
B,92.25
I,92.25
M,92.4375
L,92.625
I,92.625
M,92.8125
L,93
I,93
M,93.1875
L,93.375
D,93.5625
B,93.75
I,93.75
M,93.9375
N,94.125
G,94.125
M,94.3125
N,94.5
G,94.5
M,94.6875
P,94.875
M,95.25
P,95.25
M,95.4375
N,95.625
F,95.8125
B,96
G,96
M,96.1875
N,96.375
P,96.75
P,96.75
M,96.9375
P,97.125
N,97.5
P,97.5
O,97.5
N,97.6875
H,97.875
F,98.0625
B,98.25
P,98.25
M,98.4375
L,98.625
F,98.8125
B,99
F,99
C,99.1875
H,99.375
F,99.5625
B,99.75
P,99.75
M,99.9375
L,100.125
F,100.3125
B,100.5
I,100.5
M,101.25
M,101.25
M,102
M,102
M,102.75
M,102.75
M,103.5
M,103.5
N,103.5
B,104.25
M,104.25
M,105
M,105
M,105.75
M,105.75
L,105.75
I,106.5
P,106.5
N,106.5
B,107.25
M,107.25
L,107.25
C,107.625
G,108
M,108
N,108
G,108.75
P,108.75
N,108.75
G,109.5
O,109.5
N,109.5
B,110.25
M,110.25
N,110.25
B,110.625
K,111
O,111
N,111
K,111.75
O,111.75
M,112.5
M,112.5
N,112.5
G,113.25
O,113.25
N,113.25
L,113.625
G,114
O,114
N,114
K,114.75
O,114.75
N,114.75
J,115.5
O,115.5
N,115.5
L,116.25
O,116.25
M,117
M,117
M,117.75
M,117.75
N,117.75
K,118.125
O,118.125
