motifs,time
G,0.416666
O,2.083332
N,2.083332
L,2.083332
E,2.083332
I,4.583332
N,4.583332
G,4.583332
O,5.416664
N,5.416664
L,5.416664
E,5.416664
I,6.249998
N,6.249998
L,6.249998
G,6.249998
O,7.08333
N,7.08333
L,7.08333
G,7.08333
O,8.749996
N,8.749996
L,8.749996
N,9.687496
B,10.520829
H,11.354162
I,11.354162
O,12.187495
N,12.187495
L,12.187495
L,12.187495
I,13.020828
M,13.020828
L,13.020828
I,14.687494
N,14.687494
E,14.687494
I,15.520827
P,15.520827
E,15.520827
I,15.520827
N,16.35416
L,16.35416
E,16.35416
I,18.020826
N,18.020826
E,18.020826
I,18.020826
N,18.854159
L,18.854159
E,18.854159
I,19.687492
N,19.687492
L,19.687492
I,19.687492
P,20.104159
N,20.520825
G,20.520825
N,20.520825
J,21.354158
L,21.354158
G,23.020824
N,23.718498
B,24.067335
D,24.241754
B,24.416172
K,24.939428
N,24.939428
L,24.939428
I,25.113846
P,25.113846
L,25.113846
G,26.160357
L,26.509194
F,26.858031
H,27.555705
H,27.730124
G,28.078961
K,28.776635
N,28.776635
L,28.776635
E,28.776635
I,30.171983
N,30.171983
G,30.171983
O,31.838649
N,31.838649
G,31.838649
L,31.838649
I,33.505315
M,33.505315
L,33.505315
I,34.026148
N,34.026148
J,34.026148
L,34.026148
