motifs,time
I,0.729166
N,0.729166
F,1.145832
I,1.145832
P,1.562498
P,1.562498
P,1.979164
I,1.979164
P,2.39583
N,2.39583
G,2.812496
N,2.951384
H,3.090273
D,3.229162
F,3.36805
H,3.506939
D,3.645828
I,4.062494
N,4.062494
F,4.47916
I,4.47916
P,4.895826
P,4.895826
P,5.312492
I,5.312492
P,5.729158
D,5.729158
G,6.145824
N,6.284712
H,6.423601
D,6.56249
E,6.874989
E,6.979156
I,7.395822
N,7.395822
P,7.812488
P,7.812488
P,8.229154
P,8.229154
P,8.64582
P,8.64582
I,9.062486
P,9.062486
J,9.479152
N,9.791651
D,9.895818
F,10.034706
H,10.173595
I,10.312484
O,10.72915
N,10.72915
P,11.145816
P,11.145816
P,11.562482
P,11.562482
P,11.979148
P,11.979148
F,12.395814
D,12.708313
E,12.81248
E,13.124979
H,13.229146
E,13.368034
E,13.506923
E,13.645812
I,14.062478
N,14.062478
P,14.479144
P,14.479144
F,14.89581
D,14.89581
G,15.312476
N,15.451364
C,15.590253
H,15.729142
I,16.145808
N,16.145808
P,16.562474
P,16.562474
F,16.97914
D,16.97914
G,17.395806
P,17.812472
N,17.812472
G,18.124971
L,18.229138
I,18.645804
N,18.645804
P,19.06247
P,19.06247
F,19.479136
D,19.479136
G,19.895802
N,20.03469
C,20.173579
E,20.312468
F,20.451356
H,20.590245
D,20.729134
I,21.1458
N,21.1458
P,21.562466
P,21.562466
F,21.979132
D,21.979132
G,22.395798
N,22.534686
C,22.673575
E,22.812464
F,22.951352
H,23.090241
I,23.22913
O,23.645796
N,23.645796
L,23.645796
G,23.958295
L,24.062462
E,24.374961
F,24.479128
H,24.791627
D,24.895794
I,25.31246
N,25.31246
F,25.729126
D,25.729126
G,26.041625
L,26.145792
F,26.458291
D,26.562458
F,26.874957
G,26.979124
N,27.291623
F,27.39579
G,27.812456
N,27.812456
L,27.812456
I,28.229122
N,28.229122
L,28.229122
I,28.645788
N,28.645788
L,28.645788
G,29.062454
N,29.201342
C,29.340231
E,29.47912
F,29.791619
D,29.895786
I,30.312452
N,30.312452
L,30.312452
I,30.729118
N,30.729118
L,30.729118
E,31.145784
I,31.56245
N,31.56245
L,31.56245
I,31.979116
N,31.979116
L,31.979116
G,32.395782
N,32.53467
H,32.673559
D,32.812448
F,33.124947
H,33.229114
H,33.541613
D,33.64578
I,34.062446
N,34.062446
F,34.479112
I,34.479112
P,34.895778
P,34.895778
P,35.312444
I,35.312444
P,35.72911
N,35.72911
F,36.145776
I,36.145776
P,36.562442
P,36.562442
J,36.874941
L,36.979108
I,37.395774
N,37.395774
F,37.81244
I,37.81244
P,38.229106
P,38.229106
P,38.645772
P,38.645772
P,39.062438
D,39.062438
G,39.479104
N,39.617992
H,39.756881
D,39.89577
F,40.034658
H,40.173547
D,40.312436
I,41.145768
L,41.284656
H,41.423545
D,41.562434
F,41.701322
H,41.840211
D,41.9791
E,42.395766
G,42.395766
P,42.812432
O,42.812432
P,43.229098
N,43.229098
L,43.645764
M,43.645764
M,43.784652
N,43.923541
B,44.06243
I,44.06243
M,44.201318
N,44.340207
B,44.479096
N,44.895762
G,44.895762
P,45.312428
O,45.312428
P,45.729094
N,45.729094
N,46.14576
G,46.14576
M,46.284648
N,46.423537
B,46.562426
G,46.562426
M,46.701314
N,46.840203
B,46.979092
N,47.395758
G,47.395758
P,47.812424
O,47.812424
P,48.22909
N,48.22909
L,48.645756
M,48.645756
M,48.784644
N,48.923533
B,49.062422
I,49.062422
M,49.20131
N,49.340199
B,49.479088
I,49.479088
M,49.617976
N,49.756865
B,49.895754
I,49.895754
M,50.034642
N,50.173531
B,50.31242
I,50.31242
M,50.451308
N,50.590197
B,50.729086
I,50.729086
M,50.867974
N,51.006863
B,51.145752
N,51.562418
L,51.562418
P,51.979084
O,51.979084
P,52.39575
N,52.39575
N,52.812416
G,52.812416
K,52.812416
O,52.951304
N,53.090193
M,53.090193
M,53.229082
M,53.229082
O,53.645748
N,53.645748
O,53.645748
O,53.784636
N,53.923525
M,53.923525
M,54.062414
M,54.062414
O,54.374913
N,54.47908
G,54.895746
L,54.895746
P,55.312412
O,55.312412
P,55.729078
N,55.729078
N,56.145744
G,56.145744
K,56.145744
O,56.284632
N,56.423521
M,56.423521
M,56.56241
M,56.56241
O,56.979076
N,56.979076
O,56.979076
O,57.117964
N,57.256853
M,57.256853
M,57.395742
M,57.395742
O,57.708241
L,57.812408
I,58.229074
L,58.229074
P,58.64574
O,58.64574
P,59.062406
N,59.062406
P,59.479072
P,59.479072
O,59.479072
O,59.61796
N,59.756849
M,59.756849
M,59.895738
M,59.895738
O,60.312404
N,60.312404
O,60.312404
O,60.451292
N,60.590181
M,60.590181
M,60.72907
M,60.72907
N,61.145736
G,61.145736
N,61.145736
L,61.284624
M,61.423513
M,61.423513
M,61.562402
M,61.562402
N,61.979068
G,61.979068
N,61.979068
L,62.117956
N,62.256845
M,62.256845
M,62.395734
M,62.395734
O,62.708233
L,62.8124
I,63.229066
N,63.229066
N,63.645732
G,63.645732
O,63.645732
N,64.062398
L,64.062398
O,64.062398
N,64.479064
L,64.479064
O,64.479064
L,64.89573
I,65.104062
N,65.104062
K,65.312396
P,65.520728
L,65.520728
O,65.729062
N,65.937394
L,65.937394
P,66.145728
P,66.145728
O,66.145728
N,66.562394
N,66.874893
D,66.97906
F,67.187392
D,67.604058
B,67.708225
G,67.812392
P,68.124891
P,68.229058
J,68.541557
N,68.645724
G,68.958223
N,69.06239
H,69.374889
D,69.479056
F,69.791555
D,69.895722
F,70.03461
H,70.173499
D,70.312388
F,70.624887
H,70.729054
H,71.041553
D,71.14572
I,71.562386
N,71.979052
A,72.395718
B,72.812384
M,72.812384
P,72.951272
N,73.090161
D,73.22905
I,73.22905
P,73.367938
N,73.506827
D,73.645716
I,73.645716
N,74.062382
B,74.479048
L,74.479048
I,74.479048
N,74.895714
G,74.895714
O,74.895714
N,75.31238
L,75.31238
I,75.31238
N,75.729046
