motifs,time
E,1.999998
E,2.666664
E,2.999997
I,3.666663
N,3.999996
G,4.666662
L,4.999995
F,5.666661
B,5.999994
I,6.66666
N,6.999993
G,7.666659
L,7.999992
E,8.666658
C,8.999991
H,9.666657
H,9.99999
G,10.666656
N,10.999989
G,11.666655
L,11.999988
I,11.999988
O,12.499988
L,12.999987
I,13.33332
N,13.666653
E,13.999986
G,14.666652
N,14.999985
H,15.333318
H,15.999984
H,16.66665
H,16.999983
F,17.499982
I,17.999982
P,17.999982
P,18.666648
P,18.666648
N,18.999981
G,18.999981
O,19.333314
L,19.666647
L,19.99998
F,20.666646
D,20.999979
I,21.333312
N,21.666645
H,21.999978
G,22.666644
N,22.999977
H,23.666643
C,23.999976
I,23.999976
P,24.499976
P,24.999975
P,24.999975
P,25.666641
L,25.999974
H,26.499974
H,26.999973
I,27.666639
L,27.999972
H,28.666638
C,28.999971
G,28.999971
P,29.333304
N,29.666637
H,29.99997
G,29.99997
P,30.49997
N,30.999969
L,30.999969
D,31.666635
H,31.999968
I,31.999968
P,32.333301
L,32.666634
E,32.999967
I,32.999967
O,33.499966
N,33.999966
L,33.999966
D,34.666632
E,34.999965
I,34.999965
P,35.333298
L,35.666631
E,35.999964
I,35.999964
O,36.499964
M,36.999963
N,36.999963
P,37.666629
N,37.999962
E,38.666628
E,38.999961
C,39.666627
D,39.666627
I,39.99996
P,39.99996
O,40.666626
N,40.999959
F,41.499958
I,41.999958
P,41.999958
O,42.333291
N,42.666624
H,42.999957
H,43.33329
D,43.666623
E,43.999956
I,44.333289
L,44.666622
H,44.999955
G,44.999955
O,45.333288
L,45.666621
E,45.999954
C,45.999954
G,45.999954
O,46.333287
N,46.66662
H,46.999953
G,46.999953
J,46.999953
O,47.333286
L,47.666619
F,47.999952
B,47.999952
K,47.999952
O,48.333285
L,48.666618
F,48.999951
G,48.999951
L,48.999951
O,49.333284
L,49.666617
E,49.99995
I,49.99995
L,49.99995
O,50.333283
L,50.666616
F,50.999949
G,50.999949
J,50.999949
O,51.333282
L,51.666615
F,51.999948
B,51.999948
K,51.999948
O,52.333281
L,52.666614
F,52.999947
G,52.999947
L,52.999947
O,53.33328
L,53.666613
E,53.999946
I,53.999946
L,53.999946
O,54.333279
L,54.666612
F,54.999945
H,54.999945
G,54.999945
N,55.333278
L,55.666611
E,55.999944
E,56.333277
E,56.66661
E,56.999943
I,56.999943
P,57.333276
N,57.666609
H,57.999942
G,57.999942
P,58.333275
N,58.666608
H,58.999941
G,58.999941
P,59.333274
L,59.666607
C,59.99994
G,59.99994
O,60.333273
N,60.666606
H,60.999939
G,60.999939
P,61.333272
