motifs,time
A,0.5
A,0.75
A,1
A,1.25
A,1.5
A,1.75
B,2
N,2
K,2
P,2.0625
M,2.25
N,2.5
B,2.75
N,2.75
K,2.75
P,2.8125
L,3
P,3
K,3
P,3.0625
L,3.25
P,3.25
K,3.25
P,3.3125
M,3.5
O,3.75
N,3.75
K,3.75
O,3.8125
L,4
O,4
K,4
O,4.0625
M,4.25
O,4.5
N,4.5
K,4.5
P,4.5625
L,4.75
P,4.75
K,4.75
P,4.8125
L,5
P,5
K,5
P,5.0625
M,5.25
O,5.5
N,5.5
K,5.5
P,5.5625
L,5.75
N,5.75
K,5.75
N,5.8125
L,6
P,6
K,6
P,6.0625
M,6.25
O,6.5
N,6.5
K,6.5
N,6.5625
L,6.75
P,6.75
K,6.75
P,6.8125
M,7
N,7.25
B,7.5
N,7.5
K,7.5
P,7.5625
M,7.75
N,8
B,8.25
N,8.25
K,8.25
M,8.3125
L,8.5
P,8.5
K,8.5
P,8.5625
L,8.75
O,8.75
K,8.75
O,8.8125
M,9
O,9.25
N,9.25
K,9.25
O,9.3125
L,9.5
O,9.5
K,9.5
O,9.5625
L,9.75
O,9.75
K,9.75
O,9.8125
M,10
O,10.25
N,10.25
K,10.25
P,10.3125
M,10.5
O,10.75
N,10.75
K,10.75
O,10.8125
L,11
P,11
K,11
P,11.0625
L,11.25
P,11.25
K,11.25
P,11.3125
L,11.5
P,11.5
K,11.5
P,11.5625
M,11.75
P,12
N,12
G,12
K,12
O,13.125
N,13.125
H,13.125
H,13.125
H,13.125
H,13.125
I,14
N,14
G,14
K,14
O,14.625
N,14.625
H,14.625
H,14.625
H,14.625
H,14.625
I,15
N,15
G,15
K,15
O,15.625
N,15.625
H,15.625
H,15.625
H,15.625
H,15.625
I,16.375
N,16.375
K,16.375
O,16.375
N,16.75
L,16.75
K,16.75
O,16.75
N,17.125
L,17.125
K,17.125
O,17.125
N,17.5
B,17.625
L,17.75
H,17.875
I,18
N,18.125
G,18.25
L,18.375
I,18.5
N,18.625
G,18.75
L,18.875
I,19
N,19.125
G,19.25
J,19.375
N,19.5
A,19.625
B,19.75
C,19.875
D,20
B,20.125
C,20.25
D,20.375
B,20.5
E,20.625
E,20.75
E,20.875
E,21
E,21.125
E,21.25
E,21.375
E,21.5
E,21.625
F,21.75
F,21.875
B,22
E,22.125
E,22.25
E,22.375
E,22.5
E,22.625
E,22.75
E,22.875
E,23
C,23.125
C,23.25
