motifs,time
I,2.093748
N,2.093748
N,2.093748
I,2.111605
N,2.142855
L,2.566962
E,2.566962
I,2.566962
N,2.571426
I,2.584819
N,2.999997
G,2.999997
P,2.999997
M,3.379461
N,3.379461
H,3.379461
G,3.397318
O,3.428568
N,3.611604
A,3.611604
A,3.629461
B,3.629461
M,3.852675
L,3.852675
I,3.852675
N,3.852675
I,3.852675
M,3.852675
N,3.852675
B,3.857139
G,3.870532
N,4.272317
L,4.272317
O,4.28571
L,4.28571
I,4.294639
N,4.294639
B,4.66071
M,4.66071
L,4.665174
C,4.665174
H,4.665174
G,4.683031
O,4.69196
N,4.69196
B,4.714281
I,4.906245
O,4.906245
M,4.933031
N,4.933031
A,5.107138
B,5.107138
N,5.138388
L,5.138388
I,5.138388
M,5.142852
N,5.142852
B,5.142852
G,5.156245
O,5.303566
N,5.303566
M,5.303566
N,5.303566
B,5.486602
I,5.486602
M,5.486602
N,5.486602
B,5.535709
G,5.535709
K,5.571423
O,5.571423
N,5.571423
A,5.571423
B,5.571423
M,5.928566
N,5.928566
M,5.93303
N,5.93303
A,5.950887
B,5.950887
H,5.950887
G,5.968744
O,5.999994
L,6.102672
I,6.102672
M,6.110485
N,6.110485
B,6.138387
D,6.138387
A,6.142851
B,6.142851
M,6.316958
M,6.316958
M,6.316958
N,6.316958
B,6.366065
P,6.366065
N,6.383922
A,6.383922
A,6.424101
B,6.424101
I,6.424101
N,6.428565
B,6.446422
O,6.562493
N,6.562493
M,6.575886
N,6.575886
B,6.772315
D,6.772315
B,6.7991
M,6.7991
N,6.834815
D,6.834815
B,6.857136
M,6.857136
N,6.857136
K,6.857136
O,7.214278
N,7.214278
A,7.214278
B,7.214278
P,7.2366
L,7.2366
E,7.2366
I,7.254457
N,7.26785
N,7.26785
N,7.26785
I,7.26785
N,7.285707
L,7.450885
N,7.450885
B,7.464278
M,7.464278
N,7.656242
A,7.656242
B,7.660707
M,7.660707
N,7.709814
D,7.709814
I,7.709814
N,7.714278
I,7.727671
O,7.866064
N,7.866064
A,7.874992
B,7.874992
P,8.026778
N,8.026778
B,8.058028
M,8.058028
N,8.098206
D,8.098206
A,8.124992
B,8.124992
J,8.142849
O,8.142849
O,8.142849
P,8.299099
N,8.299099
B,8.312492
M,8.312492
L,8.522313
F,8.522313
H,8.522313
G,8.54017
O,8.57142
L,8.674098
I,8.674098
M,8.674098
N,8.674098
B,8.897313
I,8.897313
M,8.906241
N,8.906241
B,8.973205
D,8.973205
B,8.973205
M,8.973205
N,8.995527
D,8.995527
I,8.995527
N,8.999991
B,9.013384
O,9.303562
N,9.303562
B,9.308026
M,9.308026
N,9.379455
G,9.379455
M,9.397312
N,9.397312
B,9.428562
N,9.428562
B,9.65624
N,9.65624
B,9.665169
M,9.665169
N,9.767847
G,9.767847
M,9.808026
N,9.808026
H,9.808026
I,9.821419
N,9.821419
B,9.825883
N,9.857133
N,9.883919
I,9.883919
N,9.919633
A,9.919633
B,9.982133
I,9.982133
M,10.03124
N,10.03124
B,10.28124
C,10.28124
I,10.28124
N,10.285704
I,10.299097
N,10.714275
G,10.714275
O,10.714275
M,11.093739
N,11.093739
H,11.093739
G,11.111596
O,11.142846
N,11.566953
B,11.566953
I,11.566953
N,11.571417
B,11.589274
N,11.999988
F,11.999988
B,12.022309
N,12.022309
A,12.022309
B,12.022309
M,12.379452
N,12.379452
N,12.379452
I,12.397309
O,12.415166
N,12.415166
N,12.428559
G,12.433023
N,12.433023
B,12.624987
I,12.624987
M,12.665166
N,12.665166
A,12.843737
B,12.843737
N,12.852666
E,12.852666
I,12.852666
N,12.85713
I,12.870523
O,12.879451
N,12.879451
B,13.04463
P,13.04463
N,13.062487
A,13.062487
B,13.165165
G,13.218737
O,13.218737
N,13.245522
A,13.245522
B,13.272308
G,13.272308
K,13.285701
O,13.285701
N,13.285701
N,13.29463
N,13.29463
B,13.491058
P,13.491058
N,13.508915
A,13.508915
B,13.665165
F,13.665165
H,13.665165
G,13.683022
O,13.714272
L,13.843736
I,13.843736
M,13.9107
N,13.9107
B,13.999986
P,13.999986
N,14.017843
A,14.017843
A,14.138379
B,14.138379
I,14.138379
N,14.142843
B,14.156236
N,14.281236
L,14.281236
N,14.312486
A,14.312486
B,14.531235
M,14.531235
O,14.571414
L,14.571414
I,14.580343
N,14.580343
B,14.718735
I,14.718735
M,14.794628
N,14.794628
A,14.924092
B,14.924092
O,14.950878
N,14.950878
H,14.950878
G,14.968735
O,14.968735
N,14.968735
B,14.999985
G,15.035699
O,15.035699
N,15.151771
A,15.151771
A,15.424092
B,15.424092
I,15.424092
N,15.428556
I,15.441949
N,15.857127
G,15.857127
P,15.857127
M,16.236591
N,16.236591
H,16.236591
G,16.254448
O,16.285698
N,16.709805
B,16.709805
I,16.709805
N,16.714269
B,16.732126
O,17.107126
N,17.107126
B,17.14284
N,17.14284
L,17.14284
O,17.14284
N,17.17409
N,17.17409
A,17.196411
B,17.196411
O,17.522304
N,17.522304
N,17.522304
I,17.540161
N,17.54909
N,17.54909
A,17.558018
B,17.558018
M,17.571411
N,17.758911
O,17.758911
N,17.767839
A,17.767839
A,17.977661
A,17.977661
B,17.982125
M,17.982125
N,17.995518
B,17.995518
I,17.995518
N,17.999982
I,18.013375
N,18.406232
L,18.406232
N,18.41516
A,18.41516
