motifs,time
K,1.41544
L,1.41544
I,1.41544
M,1.41544
N,1.41544
H,1.41544
I,1.419117
O,1.588234
N,1.588234
L,1.591911
E,1.595587
F,1.67647
B,1.680146
H,1.683823
G,1.764705
O,1.764705
N,1.764705
N,1.764705
B,1.768381
F,1.768381
B,1.772058
I,1.941176
L,1.941176
O,1.941176
P,1.941176
O,1.944852
L,1.948528
I,2.117646
O,2.117646
M,2.294116
N,2.470587
B,2.470587
L,2.470587
N,2.474263
G,2.647058
N,2.647058
L,2.650734
E,2.65441
F,2.735293
B,2.738969
H,2.742646
G,2.823528
L,2.823528
O,2.823528
P,2.823528
O,2.827204
L,2.830881
I,2.999998
N,2.999998
L,3.003675
E,3.007351
F,3.088234
B,3.09191
H,3.095587
G,3.176469
O,3.176469
N,3.176469
N,3.176469
B,3.180145
F,3.180145
B,3.183822
I,3.35294
L,3.35294
O,3.35294
P,3.35294
O,3.356616
L,3.360292
I,3.52941
N,3.70588
B,3.70588
N,3.794116
B,3.882351
N,3.882351
G,3.882351
N,3.882351
N,3.886027
I,4.058822
N,4.058822
L,4.062498
E,4.066174
I,4.235292
N,4.235292
K,4.235292
O,4.235292
O,4.235292
N,4.235292
H,4.235292
I,4.238968
L,4.242645
I,4.411762
N,4.411762
L,4.415439
E,4.419115
F,4.499998
B,4.503674
H,4.507351
I,4.52941
N,4.52941
A,4.52941
A,4.52941
B,4.573527
D,4.573527
B,4.588233
M,4.588233
N,4.588233
M,4.588233
N,4.588233
B,4.588233
N,4.591909
E,4.591909
F,4.591909
B,4.591909
C,4.595586
I,4.764704
L,4.764704
O,4.764704
N,4.764704
A,4.764704
A,4.764704
B,4.764704
K,4.764704
O,4.76838
L,4.772056
F,4.812498
A,4.812498
B,4.941174
O,4.941174
N,5.003674
N,5.003674
A,5.029409
A,5.029409
B,5.055145
F,5.055145
A,5.058821
A,5.058821
A,5.06985
A,5.06985
B,5.117644
M,5.235292
N,5.235292
A,5.246321
A,5.246321
B,5.279409
D,5.279409
A,5.283086
A,5.283086
B,5.294115
N,5.294115
L,5.294115
L,5.294115
F,5.294115
B,5.297791
D,5.327203
F,5.327203
B,5.470586
N,5.470586
L,5.474262
E,5.477938
F,5.558821
B,5.562497
C,5.562497
F,5.562497
B,5.566174
M,5.566174
N,5.566174
B,5.602938
F,5.602938
B,5.606615
D,5.606615
B,5.606615
F,5.606615
A,5.639703
A,5.639703
B,5.647056
L,5.647056
O,5.647056
P,5.647056
O,5.650732
L,5.654409
I,5.823526
N,5.823526
L,5.827203
E,5.830879
F,5.911762
B,5.915438
H,5.919115
G,5.999997
O,5.999997
N,5.999997
N,5.999997
B,6.003673
F,6.003673
B,6.00735
I,6.176468
L,6.176468
O,6.176468
P,6.176468
O,6.180144
L,6.18382
E,6.330879
F,6.330879
A,6.330879
A,6.330879
A,6.330879
A,6.330879
B,6.352938
N,6.529408
B,6.529408
N,6.617644
B,6.705879
N,6.705879
G,6.705879
N,6.705879
N,6.709555
I,6.88235
N,6.88235
L,6.886026
E,6.889702
I,7.05882
N,7.05882
K,7.05882
O,7.05882
O,7.05882
N,7.05882
H,7.05882
I,7.062496
L,7.066173
E,7.154408
F,7.154408
A,7.191173
A,7.191173
A,7.198526
A,7.198526
B,7.23529
N,7.23529
L,7.238967
E,7.242643
F,7.323526
B,7.327202
H,7.330879
I,7.36029
N,7.36029
A,7.36029
A,7.36029
A,7.363967
A,7.363967
B,7.382349
D,7.382349
A,7.382349
A,7.382349
A,7.386026
A,7.386026
B,7.411761
P,7.411761
N,7.411761
N,7.411761
B,7.415437
F,7.415437
B,7.419114
F,7.466908
A,7.466908
A,7.470584
A,7.470584
A,7.49632
A,7.49632
B,7.588232
L,7.588232
O,7.588232
P,7.588232
O,7.591908
L,7.595584
F,7.654408
A,7.654408
A,7.661761
A,7.661761
A,7.67279
A,7.67279
B,7.764702
O,7.764702
N,7.856614
N,7.856614
A,7.863967
A,7.863967
A,7.874996
A,7.874996
B,7.941172
M,8.011025
N,8.011025
A,8.014702
A,8.014702
A,8.040437
A,8.040437
B,8.066172
F,8.066172
A,8.080878
A,8.080878
A,8.106614
A,8.106614
B,8.117643
N,8.117643
L,8.117643
N,8.121319
G,8.294114
N,8.294114
L,8.29779
E,8.301466
E,8.341908
F,8.341908
A,8.345584
A,8.345584
A,8.36029
A,8.36029
B,8.371319
D,8.371319
A,8.374996
A,8.374996
B,8.382349
H,8.386025
D,8.386025
F,8.386025
B,8.389702
P,8.452202
N,8.452202
A,8.455878
A,8.455878
A,8.463231
A,8.463231
B,8.470584
L,8.470584
O,8.470584
P,8.470584
O,8.47426
L,8.477937
E,8.591907
F,8.591907
A,8.591907
A,8.591907
A,8.595584
A,8.595584
B,8.647054
N,8.647054
L,8.650731
E,8.654407
F,8.73529
B,8.738966
H,8.742643
I,8.764702
N,8.764702
A,8.783084
A,8.783084
A,8.790437
A,8.790437
B,8.823525
N,8.823525
N,8.823525
N,8.823525
B,8.827201
F,8.827201
B,8.830878
E,8.959554
F,8.959554
A,8.959554
A,8.959554
A,8.959554
A,8.959554
B,8.999996
L,8.999996
O,8.999996
P,8.999996
O,9.003672
L,9.007348
F,9.106613
D,9.106613
A,9.117642
A,9.117642
A,9.143378
A,9.143378
B,9.176466
P,9.279407
N,9.279407
A,9.294113
A,9.294113
B,9.352936
O,9.352936
N,9.441172
B,9.444848
N,9.444848
A,9.470584
A,9.470584
A,9.488966
A,9.488966
B,9.529407
N,9.529407
G,9.529407
N,9.529407
N,9.533083
E,9.617642
F,9.617642
A,9.617642
A,9.617642
B,9.705878
M,9.705878
N,9.705878
B,9.705878
N,9.709554
E,9.71323
F,9.805142
D,9.805142
B,9.816172
D,9.816172
A,9.830877
A,9.830877
B,9.830877
D,9.830877
A,9.867642
A,9.867642
B,9.882348
N,9.882348
K,9.882348
N,9.882348
B,9.882348
G,9.882348
N,9.882348
L,9.882348
E,9.882348
E,9.886024
F,9.886024
B,9.886024
C,9.886024
F,9.886024
B,9.889701
C,9.948524
D,9.948524
B,10.058818
N,10.058818
L,10.062495
E,10.066171
F,10.147054
B,10.15073
H,10.154407
I,10.198524
N,10.198524
A,10.198524
A,10.198524
A,10.209554
A,10.209554
B,10.235289
P,10.235289
N,10.235289
