motifs,time
B,1.714284
M,1.714284
M,1.718748
M,2.071426
M,2.071426
M,2.080355
N,2.080355
B,2.107141
F,2.107141
A,2.124998
B,2.124998
N,2.142855
F,2.142855
I,2.142855
L,2.499998
N,2.499998
A,2.540176
B,2.540176
L,2.571426
I,2.571426
N,2.571426
I,2.642854
N,2.642854
A,2.683033
B,2.683033
M,2.897319
M,2.897319
P,2.928568
P,2.928568
P,2.941961
N,2.941961
B,2.977676
F,2.977676
B,2.999997
N,3.428568
N,3.428568
I,3.428568
M,3.857139
M,3.857139
N,3.857139
I,3.857139
M,3.857139
M,3.888389
N,3.888389
A,4.236603
B,4.236603
M,4.267853
N,4.267853
B,4.28571
P,4.299103
N,4.299103
M,4.312496
N,4.312496
B,4.392853
N,4.714281
N,4.714281
H,4.714281
I,4.749995
N,4.749995
M,4.78571
N,4.78571
B,4.888388
G,4.888388
M,4.919638
N,4.919638
B,5.142852
L,5.142852
I,5.142852
K,5.142852
O,5.142852
M,5.187495
N,5.187495
B,5.334816
G,5.334816
M,5.392852
N,5.392852
A,5.549102
B,5.549102
L,5.571423
O,5.598209
N,5.598209
B,5.749994
G,5.749994
M,5.812494
N,5.812494
B,5.919637
I,5.919637
N,5.999994
F,5.999994
H,5.999994
I,6.02678
N,6.02678
B,6.111601
G,6.111601
M,6.232137
N,6.232137
A,6.392851
B,6.392851
N,6.428565
C,6.428565
I,6.428565
L,6.428565
F,6.428565
B,6.598208
G,6.598208
M,6.638386
N,6.638386
A,6.83035
B,6.83035
M,6.852672
N,6.852672
B,6.857136
N,6.888386
K,7.218743
N,7.218743
M,7.218743
N,7.218743
B,7.276778
I,7.276778
N,7.285707
F,7.285707
I,7.285707
L,7.303564
F,7.303564
B,7.504457
D,7.504457
A,7.508921
B,7.508921
P,7.691957
P,7.691957
M,7.691957
N,7.691957
B,7.714278
P,7.714278
N,7.714278
I,7.888385
O,7.888385
M,7.924099
N,7.924099
A,8.098206
B,8.098206
M,8.116063
N,8.116063
B,8.142849
I,8.142849
L,8.142849
O,8.156242
N,8.156242
A,8.558027
B,8.558027
M,8.562491
N,8.562491
B,8.57142
L,8.57142
I,8.57142
K,8.794634
O,8.794634
M,8.812491
N,8.812491
B,8.897313
G,8.897313
M,8.919634
N,8.919634
B,8.995527
I,8.995527
L,8.999991
I,8.999991
N,8.999991
I,8.999991
N,8.999991
B,9.049098
G,9.049098
M,9.075884
N,9.075884
A,9.383919
A,9.383919
A,9.397312
B,9.397312
L,9.428562
O,9.450883
N,9.450883
M,9.450883
N,9.450883
B,9.816954
G,9.816954
M,9.834812
N,9.834812
B,9.857133
L,9.857133
I,9.857133
L,9.99999
I,9.99999
M,10.053561
N,10.053561
B,10.245525
G,10.245525
M,10.254454
N,10.254454
B,10.285704
P,10.285704
N,10.285704
C,10.696418
I,10.696418
M,10.705346
N,10.705346
B,10.714275
P,10.879453
N,10.879453
M,10.906239
N,10.906239
B,11.120525
I,11.120525
M,11.133917
N,11.133917
B,11.142846
L,11.142846
I,11.142846
N,11.183025
B,11.183025
M,11.200882
N,11.200882
B,11.308024
G,11.308024
M,11.388381
N,11.388381
B,11.42856
I,11.42856
M,11.526774
N,11.526774
B,11.571417
M,11.571417
N,11.571417
C,11.92856
I,11.92856
M,11.964274
N,11.964274
B,11.968738
G,11.968738
N,11.999988
G,12.031238
N,12.031238
B,12.098202
F,12.098202
B,12.428559
H,12.428559
I,12.428559
N,12.616059
B,12.616059
M,12.660702
N,12.660702
A,12.830344
B,12.830344
N,12.85713
G,12.85713
N,12.85713
C,12.88838
F,12.88838
A,13.241058
B,13.241058
M,13.258915
N,13.258915
B,13.285701
P,13.290165
N,13.290165
M,13.32588
N,13.32588
B,13.714272
L,13.714272
I,13.714272
L,13.866058
I,13.866058
M,13.901772
N,13.901772
B,14.12945
G,14.12945
M,14.133914
N,14.133914
B,14.142843
P,14.142843
N,14.142843
C,14.227664
I,14.227664
M,14.245521
N,14.245521
A,14.544628
B,14.544628
M,14.571414
M,14.571414
M,14.571414
L,14.602664
I,14.602664
M,14.62945
N,14.62945
B,14.999985
L,14.999985
I,14.999985
L,15.187485
I,15.187485
M,15.196413
N,15.196413
B,15.249985
I,15.249985
M,15.263378
N,15.263378
B,15.428556
N,15.428556
N,15.428556
I,15.46427
M,15.46427
M,15.46427
N,15.46427
B,15.857127
J,15.857127
O,15.857127
N,15.857127
A,15.857127
B,16.285698
L,16.285698
I,16.285698
L,16.437484
O,16.437484
M,16.464269
N,16.464269
B,16.491055
G,16.491055
M,16.540162
N,16.540162
A,16.691948
B,16.691948
L,16.714269
I,16.714269
N,16.714269
I,16.714269
N,16.714269
B,16.714269
I,16.714269
M,16.76784
N,16.76784
A,17.116054
B,17.116054
M,17.14284
O,17.14284
M,17.14284
N,17.191947
G,17.191947
M,17.214268
N,17.214268
B,17.383911
I,17.383911
M,17.397304
N,17.397304
B,17.558018
I,17.558018
L,17.571411
H,17.571411
I,17.571411
K,17.589268
N,17.589268
B,17.749982
I,17.749982
M,17.785696
N,17.785696
B,17.973196
I,17.973196
L,17.999982
M,17.999982
N,17.999982
I,18.031232
N,18.031232
B,18.401767
G,18.401767
K,18.428553
O,18.437482
N,18.437482
B,18.857124
L,18.857124
I,18.857124
L,19.07141
O,19.07141
M,19.102659
N,19.102659
A,19.272302
B,19.272302
L,19.285695
I,19.285695
N,19.285695
I,19.285695
N,19.285695
A,19.660695
B,19.660695
M,19.674087
N,19.674087
B,19.714266
P,19.736587
N,19.736587
M,19.767837
N,19.767837
B,19.93748
I,19.93748
M,19.946409
N,19.946409
B,20.111587
I,20.111587
M,20.138373
N,20.138373
B,20.142837
L,20.142837
I,20.142837
L,20.325873
N,20.325873
A,20.339265
B,20.339265
M,20.522301
N,20.522301
A,20.531229
B,20.531229
L,20.571408
I,20.571408
N,20.571408
I,20.589265
N,20.589265
A,20.602658
B,20.602658
P,20.772301
P,20.772301
M,20.776765
N,20.776765
A,20.946408
B,20.946408
M,20.946408
N,20.946408
B,20.999979
P,21.013372
N,21.013372
M,21.017836
N,21.017836
B,21.236586
G,21.236586
M,21.236586
N,21.236586
B,21.42855
L,21.42855
I,21.42855
L,21.433014
I,21.433014
M,21.450871
N,21.450871
B,21.660693
P,21.660693
N,21.67855
A,21.67855
B,21.839264
I,21.839264
L,21.857121
I,21.857121
N,21.857121
I,21.883907
N,21.883907
B,22.066942
P,22.066942
N,22.098192
A,22.098192
B,22.285692
L,22.285692
I,22.285692
N,22.294621
A,22.294621
B,22.374978
G,22.374978
M,22.397299
N,22.397299
B,22.714263
L,22.714263
I,22.714263
L,22.714263
I,22.714263
M,22.714263
N,22.714263
B,23.142834
P,23.142834
N,23.142834
F,23.16962
B,23.16962
N,23.16962
A,23.16962
B,23.254441
G,23.254441
M,23.258905
N,23.258905
A,23.517834
A,23.517834
A,23.531226
B,23.531226
P,23.562476
P,23.562476
M,23.562476
N,23.562476
B,23.571405
N,23.999976
N,23.999976
I,23.999976
M,24.428547
M,24.428547
N,24.428547
I,24.433011
N,24.433011
A,24.482118
B,24.482118
M,24.816939
N,24.816939
A,24.839261
B,24.839261
L,24.857118
O,24.892832
N,24.892832
A,24.906225
B,24.906225
K,25.258903
O,25.285689
N,25.285689
H,25.285689
I,25.312475
N,25.312475
M,25.325868
N,25.325868
B,25.446403
G,25.446403
M,25.446403
N,25.446403
B,25.709796
M,25.709796
M,25.71426
L,25.71426
I,25.71426
K,25.71426
N,25.71426
B,25.883903
G,25.883903
M,25.897296
N,25.897296
A,26.111581
B,26.111581
M,26.116045
N,26.116045
B,26.142831
P,26.325867
N,26.325867
M,26.339259
N,26.339259
B,26.495509
I,26.495509
M,26.544616
N,26.544616
B,26.571402
L,26.571402
H,26.571402
I,26.696402
M,26.696402
M,26.745509
N,26.745509
A,26.950866
A,26.950866
A,26.950866
B,26.950866
N,26.999973
C,26.999973
I,26.999973
L,27.156223
F,27.156223
B,27.165151
M,27.165151
M,27.397294
M,27.397294
N,27.406223
A,27.406223
B,27.428544
N,27.772294
G,27.772294
N,27.790151
A,27.790151
B,27.857115
L,27.857115
I,27.857115
L,27.862695
F,27.862695
B,27.862695
M,27.862695
P,28.075865
P,28.075865
N,28.10265
A,28.10265
B,28.263365
P,28.263365
N,28.267829
A,28.267829
B,28.285686
P,28.285686
N,28.285686
H,28.450864
I,28.450864
N,28.482114
A,28.482114
B,28.66515
M,28.66515
N,28.683007
A,28.683007
B,28.709793
I,28.709793
L,28.714257
O,28.72765
N,28.72765
A,29.107114
A,29.107114
A,29.133899
B,29.133899
N,29.142828
F,29.142828
I,29.142828
N,29.366042
I,29.366042
N,29.388363
A,29.388363
B,29.477649
G,29.477649
M,29.491042
N,29.491042
B,29.558006
P,29.558006
O,29.571399
N,29.571399
N,29.571399
I,29.589256
N,29.589256
B,29.647292
G,29.647292
M,29.65622
N,29.65622
A,29.96872
B,29.96872
M,29.977649
N,29.977649
B,29.99997
P,30.035684
N,30.035684
M,30.040149
N,30.040149
B,30.383898
P,30.383898
N,30.410684
A,30.410684
B,30.428541
L,30.428541
I,30.428541
L,30.584791
I,30.584791
M,30.624969
N,30.624969
B,30.828094
N,30.828094
P,30.857112
P,30.857112
N,30.857112
I,30.857112
N,30.857112
B,31.258897
G,31.258897
M,31.276754
N,31.276754
B,31.285683
P,31.455326
N,31.455326
M,31.49104
N,31.49104
B,31.660683
O,31.660683
N,31.714254
L,31.714254
I,31.714254
L,31.714254
F,31.714254
B,31.754433
G,31.754433
M,31.776754
N,31.776754
B,31.879432
G,31.879432
M,31.92854
N,31.92854
B,31.986575
I,31.986575
M,32.026754
N,32.026754
B,32.142825
M,32.142825
N,32.142825
G,32.571396
O,32.57586
N,32.57586
N,32.598182
F,32.598182
B,32.678539
N,32.678539
A,32.991038
B,32.991038
N,32.999967
B,32.999967
I,32.999967
L,32.999967
N,32.999967
B,33.428538
N,33.428538
N,33.428538
I,33.660681
M,33.660681
M,33.683002
N,33.683002
A,33.834788
B,33.834788
J,33.857109
O,33.874966
N,33.874966
B,34.00443
F,34.00443
A,34.058002
B,34.058002
M,34.22318
N,34.22318
A,34.25443
B,34.25443
L,34.28568
H,34.28568
I,34.28568
K,34.28568
N,34.28568
B,34.330323
M,34.330323
N,34.656215
A,34.656215
B,34.69193
I,34.69193
M,34.69193
N,34.69193
B,34.714251
N,34.714251
N,34.714251
I,35.084786
N,35.084786
P,35.116036
N,35.116036
B,35.142822
M,35.147286
N,35.147286
P,35.321393
N,35.321393
A,35.343715
B,35.343715
M,35.544607
M,35.544607
M,35.553536
N,35.553536
B,35.571393
L,35.571393
I,35.571393
K,35.77675
P,35.77675
M,35.808
N,35.808
B,35.861571
G,35.861571
M,35.897286
N,35.897286
B,35.924071
I,35.924071
M,35.96425
N,35.96425
B,35.986571
G,35.986571
L,35.999964
M,35.999964
N,35.999964
I,36.044607
N,36.044607
A,36.241035
B,36.241035
M,36.267821
N,36.267821
B,36.428535
M,36.450856
N,36.450856
M,36.459785
N,36.459785
B,36.857106
L,36.857106
I,36.857106
K,36.874963
M,36.874963
M,36.874963
N,36.874963
B,37.285677
N,37.285677
N,37.285677
I,37.48657
N,37.48657
M,37.531212
N,37.531212
A,37.691927
A,37.691927
B,37.691927
M,37.691927
O,37.714248
P,37.772284
N,37.772284
B,37.772284
M,37.772284
L,37.848176
F,37.848176
A,37.866034
B,37.866034
P,37.906212
N,37.906212
A,37.924069
B,37.924069
P,37.968712
N,37.968712
B,38.142819
L,38.142819
I,38.142819
K,38.32139
M,38.32139
M,38.32139
N,38.32139
B,38.54014
M,38.54014
N,38.557997
A,38.557997
B,38.57139
N,38.57139
N,38.57139
C,38.94639
G,38.94639
N,38.94639
A,38.94639
B,38.991032
G,38.991032
K,38.999961
O,39.017818
N,39.017818
B,39.075854
P,39.075854
N,39.116032
A,39.116032
B,39.156211
I,39.156211
M,39.214246
N,39.214246
B,39.428532
L,39.428532
I,39.428532
N,39.428532
I,39.428532
N,39.446389
A,39.446389
B,39.772282
I,39.772282
L,39.857103
P,39.857103
N,39.857103
I,39.857103
N,39.857103
A,40.272281
B,40.272281
L,40.285674
O,40.290138
N,40.290138
B,40.464245
I,40.464245
M,40.486567
N,40.486567
A,40.638352
B,40.638352
M,40.669602
N,40.669602
B,40.714245
L,40.714245
I,40.714245
K,40.718709
M,40.718709
M,40.749959
N,40.749959
B,41.107102
D,41.107102
A,41.129423
B,41.129423
L,41.142816
P,41.142816
N,41.142816
I,41.27228
N,41.27228
A,41.290137
B,41.290137
M,41.441923
N,41.441923
A,41.45978
B,41.45978
N,41.549066
N,41.549066
B,41.549066
M,41.549066
O,41.571387
P,41.758887
N,41.758887
B,41.758887
M,41.758887
P,41.950851
P,41.950851
N,41.964244
A,41.964244
B,41.999958
L,41.999958
I,41.999958
L,42.040137
O,42.040137
M,42.040137
N,42.040137
B,42.428529
N,42.428529
N,42.428529
I,42.651743
M,42.651743
M,42.6696
N,42.6696
A,42.824734
B,42.824734
M,42.834779
N,42.834779
B,42.8571
P,42.866029
N,42.866029
M,42.897279
N,42.897279
B,42.973171
I,42.973171
M,42.986564
N,42.986564
A,43.236564
B,43.236564
M,43.245492
N,43.245492
B,43.285671
L,43.285671
I,43.285671
M,43.714242
M,43.714242
N,43.714242
I,43.937456
