motifs,time
I,1.832031
N,1.832031
N,1.832031
I,1.847656
N,1.875
L,2.246094
E,2.246094
I,2.246094
N,2.25
I,2.261719
N,2.625
G,2.625
N,2.625
M,2.957031
N,2.957031
H,2.957031
G,2.972656
O,3
N,3.371094
B,3.371094
I,3.371094
N,3.375
B,3.386719
N,3.75
C,3.75
I,3.933594
L,3.933594
M,4.082031
L,4.082031
H,4.082031
G,4.097656
M,4.125
L,4.1875
K,4.1875
O,4.496094
N,4.496094
I,4.496094
N,4.5
I,4.511719
N,4.875
G,4.875
N,4.875
M,5.207031
N,5.207031
H,5.207031
G,5.222656
O,5.222656
L,5.222656
M,5.222656
M,5.222656
O,5.25
N,5.367188
K,5.367188
M,5.367188
M,5.367188
P,5.589844
P,5.589844
O,5.621094
N,5.621094
I,5.621094
O,5.621094
K,5.621094
O,5.625
K,5.640625
O,5.753906
L,5.753906
P,5.753906
P,5.753906
P,5.890625
P,5.890625
M,5.957031
M,5.957031
O,6
L,6
I,6.078125
L,6.078125
P,6.105469
P,6.105469
M,6.175781
M,6.175781
M,6.269531
M,6.269531
P,6.332031
L,6.332031
N,6.332031
I,6.347656
O,6.347656
L,6.347656
O,6.375
N,6.472656
K,6.472656
M,6.542969
M,6.542969
P,6.644531
P,6.644531
M,6.703125
M,6.703125
P,6.746094
N,6.746094
I,6.746094
N,6.75
I,6.761719
N,7.125
G,7.125
N,7.125
P,7.273438
P,7.273438
M,7.457031
N,7.457031
H,7.457031
G,7.472656
O,7.5
N,7.871094
B,7.871094
I,7.871094
N,7.875
B,7.886719
O,8.058594
L,8.058594
P,8.125
P,8.125
P,8.179688
P,8.179688
O,8.25
N,8.25
G,8.382812
L,8.382812
M,8.453125
M,8.453125
N,8.582031
L,8.582031
H,8.582031
G,8.597656
M,8.625
L,8.726562
G,8.726562
M,8.769531
M,8.769531
M,8.996094
N,8.996094
I,8.996094
N,9
I,9.011719
P,9.070312
L,9.070312
M,9.121094
M,9.121094
O,9.375
N,9.375
O,9.375
N,9.707031
L,9.707031
E,9.707031
I,9.722656
P,9.734375
N,9.734375
B,9.734375
H,9.734375
G,9.734375
O,9.75
N,9.757812
B,9.757812
M,9.835938
M,9.835938
P,10.089844
P,10.089844
P,10.121094
N,10.121094
I,10.121094
P,10.121094
K,10.121094
O,10.125
K,10.140625
O,10.230469
L,10.230469
M,10.242188
M,10.242188
O,10.429688
N,10.429688
M,10.429688
M,10.429688
O,10.5
N,10.5
G,10.550781
L,10.550781
M,10.566406
M,10.566406
