motifs,time
N,2.99375
N,3
O,3.00625
P,3.05625
L,3.0875
I,3.13125
P,3.175
N,3.1875
G,3.2625
O,3.2625
O,3.30625
N,3.31875
L,3.3375
O,3.39375
P,3.425
N,3.45
P,3.5125
O,3.53125
N,3.58125
K,3.6
O,3.60625
N,3.65625
J,3.6875
N,3.7125
P,3.775
O,3.7875
N,3.8375
K,3.85
O,3.90625
N,3.91875
K,3.9375
N,3.9625
P,4.025
O,4.0375
N,4.09375
K,4.1125
P,4.1375
N,4.1375
O,4.15625
O,4.2
M,4.2
L,4.2
M,4.2
O,4.20625
O,4.2125
L,4.475
P,4.5
O,4.78125
O,4.8
N,4.8
N,4.8
G,4.80625
O,4.8125
L,4.8125
G,5.075
O,5.10625
N,5.125
L,5.375
O,5.4
L,5.40625
O,5.4125
N,5.4125
N,5.425
F,5.425
B,5.675
O,5.7
L,5.70625
O,5.725
L,5.9625
E,5.975
E,5.975
G,5.9875
O,6
L,6
M,6
O,6.00625
O,6.3125
L,6.575
M,6.5875
N,6.5875
E,6.5875
I,6.6
L,6.60625
O,6.6125
N,6.85
G,6.90625
N,6.9375
L,7.15
G,7.175
O,7.2
N,7.2
L,7.2
I,7.20625
O,7.2125
N,7.225
B,7.4625
G,7.5
L,7.50625
O,7.5375
L,7.7375
P,7.75
I,7.78125
P,7.8
K,7.8
N,7.8
O,7.80625
M,7.8125
L,8.125
L,8.3625
J,8.3625
O,8.375
N,8.3875
B,8.3875
I,8.4
L,8.40625
O,8.4125
N,8.7
K,8.70625
O,8.9125
L,8.98125
I,8.9875
K,9
O,9
N,9
B,9
G,9.00625
N,9.3
P,9.30625
O,9.3125
L,9.525
L,9.5375
F,9.5625
F,9.5625
B,9.5625
N,9.575
I,9.6
K,9.6
J,9.60625
O,9.6125
L,9.9
O,10.05625
O,10.1125
N,10.125
G,10.175
N,10.1875
G,10.1875
O,10.2
M,10.2
O,10.20625
L,10.50625
I,10.5125
L,10.7875
O,10.8
L,10.80625
O,10.8125
N,10.8125
N,10.825
F,11.0375
B,11.05
N,11.0625
G,11.0875
N,11.3625
B,11.375
I,11.3875
O,11.4
M,11.4
M,11.4
L,11.4
O,11.4
L,11.4
I,11.40625
N,11.4125
L,11.6875
O,12
O,12
N,12
G,12.00625
O,12.0125
L,12.0125
I,12.25
P,12.25
O,12.30625
P,12.3125
N,12.55
N,12.5625
G,12.5875
O,12.6
L,12.60625
O,12.6125
N,12.6125
I,12.625
N,12.875
F,12.8875
B,12.9
N,13.175
L,13.2
I,13.2
O,13.2
M,13.2
L,13.2
L,13.20625
I,13.225
N,13.4875
O,13.5
N,13.7625
N,13.7875
B,13.7875
O,13.8
N,13.8
L,13.8
I,13.80625
O,13.8125
N,14.1
G,14.10625
N,14.3625
N,14.3875
K,14.4
O,14.4
O,14.40625
N,14.4375
L,14.4875
M,14.5625
M,14.60625
M,14.6125
M,14.6625
K,14.675
O,14.7
K,14.70625
O,14.75625
N,14.7875
M,14.8375
M,14.8625
M,14.9
M,14.9375
M,14.99375
O,15
L,15
O,15
N,15
O,15.00625
N,15.00625
H,15.00625
F,15.3
B,15.6
O,15.6
O,15.60625
N,15.6125
N,15.6125
I,15.61875
O,15.9
N,15.9
N,16.2
O,16.2
O,16.20625
L,16.5
I,16.5
N,16.5
L,16.8
I,16.8
P,16.8
L,16.80625
O,17.1
N,17.4
O,17.4
L,17.4
C,17.40625
G,17.40625
N,17.4125
N,17.4125
C,17.7
I,18
O,18
N,18
B,18
O,18.00625
N,18.00625
N,18.0125
I,18.0125
O,18.3
N,18.3
L,18.5625
G,18.5625
M,18.5625
J,18.5625
M,18.58125
N,18.58125
B,18.58125
I,18.58125
O,18.6
N,18.6
N,18.6
K,18.6
M,18.6
N,18.6
O,18.6
L,18.6
N,18.6
H,18.65625
F,18.65625
A,18.8375
B,18.8375
M,18.84375
J,18.84375
M,18.8625
N,18.8625
B,18.89375
G,18.89375
M,18.89375
J,18.89375
P,18.9
L,18.9
F,18.9
A,19.1375
B,19.1375
O,19.1375
N,19.1375
N,19.15
A,19.15
B,19.19375
G,19.19375
O,19.2
N,19.2
N,19.2
B,19.2
K,19.20625
O,19.20625
N,19.20625
B,19.2125
C,19.2125
I,19.2125
K,19.5
O,19.5
N,19.8
O,19.8
O,19.80625
L,20.1
I,20.1
N,20.1
N,20.1
K,20.1625
L,20.1625
M,20.1875
N,20.1875
A,20.2125
B,20.2125
N,20.25
K,20.25
M,20.3
N,20.3
B,20.3
M,20.3
L,20.33125
G,20.33125
P,20.375
N,20.375
I,20.375
P,20.375
O,20.4
P,20.4
N,20.4
B,20.4
L,20.4
L,20.40625
O,20.59375
L,20.59375
M,20.625
J,20.625
M,20.63125
N,20.63125
B,20.6625
G,20.6625
M,20.69375
J,20.69375
N,20.7
L,20.7
F,20.7
A,20.8625
B,20.8625
M,20.8875
J,20.8875
M,20.90625
N,20.90625
B,20.9375
G,20.9375
M,20.95625
J,20.95625
M,20.9625
N,20.9625
B,21
O,21
O,21.00625
N,21.0125
N,21.01875
H,21.01875
G,21.3
O,21.3
N,21.35
I,21.35
M,21.38125
N,21.38125
A,21.3875
B,21.3875
O,21.4875
L,21.4875
M,21.5375
N,21.5375
B,21.5375
I,21.5375
P,21.54375
K,21.54375
P,21.5875
N,21.5875
A,21.59375
B,21.59375
L,21.6
O,21.6
O,21.60625
N,21.6125
L,21.6125
E,21.6125
I,21.9
N,21.9
L,21.975
K,21.975
M,22
N,22
B,22
M,22
N,22.15625
I,22.15625
M,22.16875
N,22.16875
A,22.19375
B,22.19375
K,22.2
L,22.2
P,22.2
K,22.2
K,22.20625
L,22.20625
I,22.20625
N,22.375
G,22.375
M,22.3875
N,22.3875
A,22.41875
B,22.41875
P,22.45
L,22.45
M,22.45
N,22.45
A,22.4875
B,22.4875
N,22.5
L,22.66875
F,22.66875
A,22.68125
B,22.68125
M,22.6875
J,22.6875
P,22.74375
L,22.74375
M,22.75625
N,22.75625
A,22.78125
B,22.78125
J,22.8
O,22.8
O,22.80625
N,22.8125
L,22.8125
E,22.81875
E,22.85625
I,22.85625
L,22.85625
O,22.85625
N,22.85625
O,22.85625
N,22.85625
G,23.1
N,23.1
N,23.4
O,23.4
O,23.40625
L,23.7
I,23.7
N,23.7
O,23.75
L,23.75
M,23.775
J,23.775
M,23.7875
N,23.7875
A,23.95625
B,23.95625
P,23.9625
N,23.9625
A,23.975
B,23.975
P,23.984375
K,23.984375
K,24
O,24
N,24
J,24
J,24
L,24.00625
I,24.0375
N,24.0375
A,24.05625
B,24.05625
M,24.075
J,24.075
M,24.24375
N,24.24375
A,24.275
B,24.275
M,24.29375
J,24.29375
P,24.29375
N,24.29375
A,24.29375
B,24.29375
O,24.3
N,24.325
I,24.325
M,24.50625
N,24.50625
A,24.5375
B,24.5375
M,24.54375
J,24.54375
P,24.575
N,24.575
B,24.6
P,24.6
L,24.6
G,24.6
M,24.6
J,24.6
P,24.6
N,24.60625
G,24.60625
N,24.6125
N,24.6125
C,24.9
G,25.10625
K,25.10625
M,25.11875
N,25.11875
A,25.15625
B,25.15625
P,25.16875
L,25.16875
M,25.175
N,25.175
B,25.2
N,25.2
L,25.2
I,25.2
N,25.2
L,25.2
O,25.20625
N,25.20625
N,25.2125
I,25.2125
L,25.46875
G,25.46875
M,25.4875
J,25.4875
M,25.4875
N,25.4875
B,25.5
N,25.5
L,25.69375
K,25.69375
M,25.725
J,25.725
M,25.725
N,25.725
B,25.725
I,25.725
M,25.75
J,25.75
M,25.7625
N,25.7625
B,25.79375
I,25.79375
O,25.8
N,25.8
N,25.8
K,25.8
N,25.8
P,25.8
O,25.8
L,25.8
E,25.8
E,25.8375
F,25.8375
B,26.01875
G,26.01875
P,26.03125
L,26.03125
M,26.0375
L,26.0375
I,26.0375
P,26.0375
L,26.06875
F,26.06875
B,26.1
O,26.1
J,26.1
M,26.125
J,26.125
M,26.1625
N,26.1625
A,26.31875
B,26.31875
M,26.325
J,26.325
M,26.35
N,26.35
B,26.36875
I,26.36875
M,26.38125
J,26.38125
K,26.4
O,26.4
O,26.40625
N,26.4125
L,26.4125
I,26.4125
O,26.41875
N,26.41875
B,26.7
N,26.7
L,26.74375
K,26.74375
M,26.78125
J,26.78125
M,26.8125
N,26.8125
A,26.9375
B,26.9375
M,26.96875
J,26.96875
P,26.975
K,26.975
O,27
N,27
L,27
F,27
B,27.00625
P,27.025
N,27.025
M,27.05
N,27.05
B,27.2625
G,27.2625
O,27.3
N,27.3
N,27.3
N,27.3
K,27.35625
N,27.35625
M,27.4
N,27.4
B,27.5375
I,27.5375
M,27.5875
J,27.5875
K,27.6
L,27.6
O,27.6
K,27.6
L,27.6
P,27.6
N,27.6
B,27.60625
N,27.61875
N,27.61875
O,27.61875
L,27.61875
N,27.61875
D,27.675
I,27.675
M,27.6875
N,27.6875
A,27.85
B,27.85
M,27.8875
J,27.8875
M,27.89375
N,27.89375
B,27.89375
G,27.89375
O,27.9
N,27.95
O,27.95
M,27.9625
N,27.9625
A,28.15
B,28.15
M,28.175
J,28.175
M,28.19375
N,28.19375
B,28.2
O,28.2
O,28.20625
N,28.20625
L,28.20625
O,28.2125
L,28.21875
H,28.21875
I,28.2375
P,28.2375
M,28.26875
N,28.26875
B,28.5
P,28.5
N,28.5
B,28.5
M,28.525
J,28.525
M,28.56875
N,28.56875
A,28.75625
B,28.75625
M,28.78125
J,28.78125
L,28.8
O,28.8
L,28.8
F,28.8
I,28.8
