motifs,time
L,1.363635
L,1.363635
E,1.363635
C,1.636362
H,1.636362
I,1.636362
O,1.909089
N,1.909089
J,2.181816
L,2.181816
E,2.181816
I,2.454543
M,2.454543
N,2.454543
G,2.72727
N,2.72727
L,2.999997
L,2.999997
E,2.999997
I,3.272724
N,3.272724
E,3.272724
I,3.545451
L,3.545451
O,3.818178
L,3.818178
I,3.818178
N,4.090905
E,4.090905
I,4.090905
K,4.363632
N,4.363632
L,4.636359
L,4.636359
E,4.636359
I,4.874995
N,4.874995
J,4.874995
M,4.874995
N,4.909086
C,4.909086
I,4.909086
O,5.113631
N,5.113631
N,5.130677
B,5.130677
O,5.130677
N,5.130677
N,5.156245
B,5.156245
O,5.181813
N,5.181813
L,5.372154
G,5.372154
N,5.386358
B,5.386358
O,5.426131
N,5.426131
N,5.437495
B,5.437495
O,5.45454
N,5.45454
E,5.45454
I,5.727267
M,5.727267
N,5.727267
H,5.749994
I,5.749994
N,5.752835
B,5.752835
O,5.985789
N,5.985789
N,5.985789
B,5.985789
O,5.999994
N,5.999994
L,6.272721
L,6.272721
E,6.272721
I,6.545448
O,6.545448
M,6.545448
N,6.545448
E,6.545448
E,6.568175
G,6.568175
O,6.818175
N,6.818175
J,6.818175
O,6.818175
L,6.818175
O,6.818175
N,7.062493
B,7.062493
O,7.076697
N,7.076697
N,7.090902
N,7.090902
I,7.090902
N,7.363629
E,7.363629
I,7.363629
M,7.593742
K,7.593742
O,7.613629
N,7.613629
O,7.636356
N,7.636356
K,7.650561
L,7.650561
O,7.653401
N,7.653401
M,7.909083
N,7.909083
E,7.909083
E,8.05681
G,8.05681
O,8.079537
N,8.079537
N,8.18181
L,8.18181
I,8.18181
L,8.204537
G,8.204537
O,8.204537
N,8.204537
L,8.366469
G,8.366469
O,8.392037
N,8.392037
O,8.454537
N,8.454537
K,8.468742
N,8.468742
J,8.499992
M,8.499992
L,8.559651
G,8.559651
O,8.573855
N,8.573855
O,8.727264
N,8.727264
E,8.727264
G,8.991468
N,8.991468
J,8.999991
M,8.999991
P,8.999991
N,8.999991
N,8.999991
H,9.093741
I,9.093741
N,9.105105
B,9.105105
O,9.272718
N,9.272718
K,9.289763
L,9.289763
O,9.289763
N,9.289763
K,9.428968
P,9.428968
J,9.431809
M,9.431809
N,9.49715
I,9.49715
O,9.517036
N,9.517036
M,9.545445
N,9.545445
E,9.545445
G,9.576695
N,9.576695
J,9.579536
M,9.579536
P,9.81249
P,9.81249
N,9.815331
B,9.815331
O,9.818172
N,9.818172
E,9.818172
I,9.889195
P,9.889195
N,9.90624
B,9.90624
O,10.090899
L,10.090899
O,10.110785
L,10.110785
N,10.119308
B,10.119308
O,10.363626
N,10.363626
I,10.363626
O,10.400558
J,10.400558
O,10.426126
N,10.426126
N,10.62783
B,10.62783
P,10.633512
P,10.633512
O,10.636353
N,10.636353
P,10.636353
N,10.636353
E,10.636353
I,10.636353
O,10.636353
N,10.874989
B,10.874989
O,10.87783
N,10.87783
N,10.90908
I,10.90908
O,10.90908
N,10.90908
O,10.90908
N,10.90908
L,11.139193
G,11.139193
J,11.150557
M,11.150557
L,11.173284
P,11.173284
P,11.181807
N,11.181807
E,11.181807
E,11.181807
G,11.181807
O,11.437489
N,11.437489
J,11.437489
M,11.437489
L,11.454534
H,11.454534
I,11.454534
N,11.656238
B,11.656238
O,11.656238
N,11.656238
N,11.704534
I,11.704534
O,11.704534
N,11.704534
O,11.727261
N,11.727261
L,11.906238
K,11.906238
J,11.909079
M,11.909079
L,11.971579
P,11.971579
N,11.977261
B,11.977261
O,11.999988
N,11.999988
E,11.999988
I,12.272715
M,12.272715
N,12.272715
G,12.545442
N,12.545442
L,12.818169
L,12.818169
E,12.818169
I,13.053964
M,13.053964
N,13.076691
B,13.076691
O,13.082373
N,13.082373
N,13.090896
B,13.090896
O,13.090896
N,13.090896
E,13.090896
I,13.329532
M,13.329532
N,13.343737
M,13.343737
K,13.343737
N,13.343737
N,13.362203
B,13.362203
O,13.363623
L,13.363623
O,13.610782
L,13.610782
N,13.622145
B,13.622145
O,13.63635
N,13.63635
I,13.63635
O,13.909077
O,13.909077
N,13.909077
N,13.909077
D,13.909077
I,13.909077
P,13.909077
O,14.161918
M,14.161918
J,14.164759
M,14.164759
K,14.181804
N,14.181804
L,14.403395
G,14.403395
J,14.414758
M,14.414758
L,14.443167
P,14.443167
N,14.454531
N,14.454531
E,14.454531
F,14.454531
B,14.454531
O,14.680383
N,14.680383
N,14.690326
B,14.690326
N,14.727258
G,14.727258
N,14.727258
N,14.727258
H,14.727258
I,14.727258
N,14.727258
G,14.965894
M,14.965894
N,14.977258
B,14.977258
O,14.999985
N,14.999985
K,15.056803
L,15.056803
O,15.090894
N,15.090894
N,15.249985
B,15.249985
O,15.261348
N,15.261348
M,15.272712
N,15.272712
E,15.272712
E,15.301121
G,15.301121
O,15.312485
N,15.312485
P,15.545439
P,15.545439
N,15.545439
G,15.789757
O,15.789757
J,15.789757
M,15.789757
K,15.818166
N,15.818166
L,15.874984
K,15.874984
J,15.89487
M,15.89487
J,16.065325
M,16.065325
J,16.08237
M,16.08237
K,16.090893
