motifs,time
I,0.9625
K,0.9625
N,0.9625
L,1.2
L,1.2
E,1.2
C,1.44
H,1.44
I,1.44
O,1.68
N,1.68
J,1.92
L,1.92
E,1.92
I,2.16
M,2.16
N,2.16
G,2.4
N,2.4
L,2.64
L,2.64
E,2.64
I,2.88
N,2.88
E,2.88
I,3.12
L,3.12
O,3.36
L,3.36
I,3.36
M,3.38
N,3.38
A,3.4175
A,3.4175
B,3.6
C,3.6
I,3.6
M,3.8
N,3.8
A,3.8175
A,3.8175
B,3.8175
H,3.8175
I,3.8175
L,3.83
F,3.83
A,3.84
A,3.84
B,3.84
N,3.84
L,4.08
L,4.08
E,4.08
E,4.08
F,4.08
A,4.08
A,4.08
A,4.28
A,4.28
B,4.285
F,4.285
A,4.315
A,4.315
B,4.32
L,4.32
I,4.32
N,4.49
C,4.49
I,4.49
O,4.54
N,4.54
A,4.545
A,4.545
B,4.56
N,4.56
J,4.8
L,4.8
E,4.8
E,4.8
F,4.8
A,4.82
A,4.82
B,5.04
N,5.04
N,5.04
F,5.235
B,5.235
I,5.235
O,5.2625
N,5.2625
A,5.265
A,5.265
B,5.28
N,5.28
L,5.52
L,5.52
E,5.52
E,5.735
F,5.735
A,5.76
A,5.76
B,5.76
N,5.76
E,5.76
E,5.775
F,5.775
A,5.8075
A,5.8075
B,5.91
N,5.91
I,5.91
O,5.9675
N,5.9675
A,5.98
A,5.98
B,6
D,6
B,6
L,6
O,6.035
N,6.035
B,6.24
D,6.24
I,6.24
P,6.24
N,6.24
A,6.24
A,6.24
B,6.29
D,6.29
A,6.3025
A,6.3025
B,6.48
C,6.48
I,6.48
M,6.66
N,6.66
B,6.66
H,6.66
I,6.66
N,6.66875
A,6.66875
B,6.695
F,6.695
A,6.695
A,6.695
B,6.72
N,6.72
K,6.9375
N,6.9375
A,6.94
A,6.94
B,6.96
N,6.96
E,6.96
E,7.11
F,7.11
A,7.135
A,7.135
B,7.145
F,7.145
A,7.18
A,7.18
B,7.2
L,7.2
I,7.2
N,7.3225
C,7.3225
I,7.3225
O,7.3875
N,7.3875
A,7.4
A,7.4
B,7.44
N,7.44
K,7.67
N,7.67
B,7.68
N,7.68
E,7.68
E,7.68
F,7.68
B,7.92
N,7.92
N,7.92
F,8.0875
B,8.0875
I,8.0875
O,8.125
N,8.125
A,8.15
A,8.15
B,8.16
N,8.16
L,8.4
L,8.4
E,8.4
I,8.64
N,8.64
E,8.64
C,8.79
C,8.79
I,8.79
K,8.88
J,8.88
O,9.12
L,9.12
I,9.12
O,9.1225
N,9.1225
A,9.1525
A,9.1525
B,9.3225
F,9.3225
A,9.36
A,9.36
B,9.36
N,9.36
I,9.36
O,9.3825
N,9.3825
A,9.535
A,9.535
A,9.5675
A,9.5675
B,9.6
N,9.6
I,9.6
K,9.6
N,9.6
K,9.6025
N,9.6025
A,9.625
A,9.625
A,9.8275
A,9.8275
B,9.84
N,9.84
E,9.84
F,9.84
A,9.84
B,9.8625
F,9.8625
A,9.88
A,9.88
A,10.0575
A,10.0575
B,10.08
L,10.08
I,10.08
L,10.0825
F,10.0825
A,10.2575
A,10.2575
A,10.28
A,10.28
B,10.28
N,10.28
I,10.28
O,10.3075
N,10.3075
B,10.32
N,10.32
K,10.33
N,10.33
B,10.56
N,10.56
E,10.56
E,10.56
F,10.56
A,10.585
A,10.585
A,10.7625
A,10.7625
B,10.8
F,10.8
B,10.8
N,10.8
N,10.8
I,10.8
N,10.8
B,11.005
N,11.005
I,11.005
O,11.0225
N,11.0225
A,11.0225
A,11.0225
B,11.04
N,11.04
L,11.28
L,11.28
E,11.28
G,11.34
N,11.34
A,11.3475
A,11.3475
B,11.5175
D,11.5175
A,11.5175
A,11.5175
B,11.52
N,11.52
E,11.52
G,11.7075
N,11.7075
B,11.7075
N,11.7075
I,11.7075
O,11.7075
N,11.7075
B,11.7525
D,11.7525
A,11.7525
A,11.7525
B,11.76
L,11.76
O,11.9775
N,11.9775
B,11.9975
D,11.9975
B,12
N,12
I,12
O,12
N,12
B,12.2075
F,12.2075
A,12.21
A,12.21
B,12.24
N,12.24
I,12.24
O,12.4075
N,12.4075
B,12.4075
N,12.4075
I,12.4075
O,12.41
N,12.41
A,12.435
A,12.435
B,12.48
N,12.48
K,12.495
N,12.495
A,12.5075
A,12.5075
B,12.595
F,12.595
A,12.6175
A,12.6175
B,12.72
N,12.72
E,12.72
E,12.8325
F,12.8325
A,12.8475
A,12.8475
B,12.9525
D,12.9525
B,12.96
H,12.96
I,12.96
L,12.9675
F,12.9675
B,13.0525
D,13.0525
I,13.0525
P,13.145
N,13.145
A,13.17
A,13.17
B,13.2
