motifs,time
G,1.1725
N,1.1725
N,1.1725
I,1.1825
N,1.2
L,1.4375
E,1.4375
I,1.4375
N,1.44
I,1.4475
N,1.68
G,1.68
O,1.68
M,1.8925
N,1.8925
H,1.8925
G,1.9025
O,1.92
N,2.1575
B,2.1575
I,2.1575
N,2.16
B,2.1675
N,2.4
E,2.4
G,2.6125
N,2.6125
H,2.6125
G,2.6225
M,2.64
L,2.8775
E,2.8775
I,2.8775
N,2.88
I,2.8875
N,3.12
G,3.12
O,3.12
M,3.3325
N,3.3325
H,3.3325
G,3.3425
O,3.36
N,3.5975
B,3.5975
I,3.5975
N,3.6
B,3.61
O,3.81
N,3.81
B,3.84
M,3.84
N,3.84
A,3.84
A,3.84
B,3.84
M,3.984375
N,3.984375
A,4.03
A,4.03
B,4.045
F,4.045
B,4.05
F,4.05
B,4.0525
G,4.0525
N,4.0525
I,4.0625
N,4.08
L,4.0875
N,4.0875
A,4.1025
A,4.1025
A,4.2675
A,4.2675
A,4.3075
A,4.3075
B,4.3175
N,4.3175
I,4.3175
O,4.3175
N,4.3175
B,4.32
K,4.3275
O,4.49
N,4.49
A,4.5175
A,4.5175
B,4.54
D,4.54
B,4.545
F,4.545
B,4.56
P,4.56
N,4.56
A,4.56
A,4.56
B,4.56
K,4.56
O,4.75
N,4.75
A,4.765
A,4.765
B,4.7725
L,4.7725
H,4.7725
I,4.7725
N,4.7725
B,4.7825
P,4.7825
N,4.7825
B,4.8
D,4.8
A,4.8
A,4.8
B,4.8
M,4.9775
N,4.9775
A,5.0025
A,5.0025
A,5.015
A,5.015
B,5.0175
D,5.0175
B,5.0375
N,5.0375
I,5.0375
O,5.0375
N,5.0375
B,5.04
K,5.0475
O,5.0475
N,5.0475
B,5.28
M,5.28
N,5.28
B,5.28
M,5.2925
N,5.2925
A,5.2975
A,5.2975
A,5.4575
A,5.4575
A,5.48
A,5.48
B,5.4925
H,5.4925
H,5.4925
G,5.5025
O,5.515
N,5.515
B,5.5175
F,5.5175
B,5.52
M,5.5675
N,5.5675
A,5.6125
A,5.6125
B,5.68
D,5.68
A,5.7
A,5.7
B,5.7
F,5.7
B,5.7225
D,5.7225
B,5.7575
N,5.7575
I,5.7575
N,5.76
G,5.7625
N,5.7625
B,5.7675
P,5.7875
N,5.7875
B,5.7875
D,5.7875
A,5.835
A,5.835
B,6
N,6
O,6
O,6.1225
N,6.1225
A,6.1325
A,6.1325
A,6.1325
A,6.1325
B,6.2125
L,6.2125
H,6.2125
G,6.2225
O,6.24
L,6.2775
N,6.2775
A,6.2825
A,6.2825
A,6.29
A,6.29
B,6.295
D,6.295
A,6.305
A,6.305
A,6.32
A,6.32
A,6.47
A,6.47
A,6.47
A,6.47
B,6.4775
N,6.4775
I,6.4775
O,6.4775
N,6.4775
B,6.48
K,6.49
O,6.515
N,6.515
A,6.526875
A,6.526875
A,6.5325
A,6.5325
A,6.71
A,6.71
B,6.72
N,6.72
G,6.7225
N,6.7225
A,6.7225
A,6.7225
B,6.7225
D,6.7225
A,6.7225
A,6.7225
A,6.7575
A,6.7575
B,6.9325
G,6.9325
N,6.9325
I,6.9425
N,6.96
L,7.0125
N,7.0125
A,7.035
A,7.035
A,7.06
A,7.06
B,7.195
D,7.195
B,7.1975
C,7.1975
I,7.1975
N,7.2
I,7.2075
O,7.2225
N,7.2225
A,7.2225
A,7.2225
A,7.3775
A,7.3775
A,7.41
A,7.41
B,7.425
D,7.425
B,7.435
F,7.435
B,7.44
M,7.44
O,7.44
P,7.445
N,7.445
A,7.4625
A,7.4625
A,7.645
A,7.645
A,7.645
A,7.645
A,7.645
A,7.645
B,7.6525
F,7.6525
H,7.6525
G,7.6625
O,7.675
N,7.675
B,7.68
M,7.685
N,7.685
A,7.685
A,7.685
B,7.9175
N,7.9175
I,7.9175
N,7.92
B,7.9275
N,8.16
E,8.16
G,8.3725
N,8.3725
H,8.3725
G,8.3825
M,8.4
L,8.6075
N,8.6075
A,8.6225
A,8.6225
A,8.6225
A,8.6225
B,8.6375
N,8.6375
I,8.6375
N,8.64
I,8.6475
O,8.6475
N,8.6475
A,8.6825
A,8.6825
A,8.6825
A,8.6825
B,8.6925
F,8.6925
A,8.745
A,8.745
A,8.75
A,8.75
B,8.88
N,8.88
O,8.88
P,8.8975
N,8.8975
A,8.915
A,8.915
A,8.915
A,8.915
B,9.0925
H,9.0925
H,9.0925
I,9.0925
N,9.0925
B,9.1025
M,9.1025
N,9.1025
B,9.12
D,9.12
F,9.12
A,9.14125
A,9.14125
A,9.1475
A,9.1475
B,9.3325
D,9.3325
A,9.355
A,9.355
A,9.355
A,9.355
B,9.3575
D,9.3575
I,9.3575
N,9.36
B,9.37
O,9.5225
N,9.5225
A,9.545
A,9.545
A,9.545
A,9.545
B,9.5725
D,9.5725
A,9.595
A,9.595
A,9.5975
A,9.5975
B,9.6
N,9.6
G,9.745
N,9.745
A,9.765
A,9.765
A,9.765
A,9.765
B,9.8125
I,9.8125
N,9.8125
I,9.8225
O,9.8325
N,9.8325
A,9.8325
A,9.8325
B,9.84
M,9.8425
N,9.8425
B,10.0775
N,10.0775
I,10.0775
P,10.08
N,10.08
A,10.08
B,10.08
C,10.08
F,10.08
A,10.08
B,10.0875
M,10.3075
N,10.3075
A,10.3075
A,10.3075
A,10.31
A,10.31
B,10.32
P,10.32
O,10.32
P,10.49
N,10.49
A,10.4925
A,10.4925
A,10.51
A,10.51
B,10.5325
H,10.5325
H,10.5325
G,10.5425
O,10.555
N,10.555
A,10.5575
A,10.5575
A,10.5575
A,10.5575
B,10.56
K,10.5975
M,10.7975
L,10.7975
I,10.7975
P,10.7975
N,10.7975
A,10.7975
A,10.7975
A,10.7975
A,10.7975
B,10.8
K,10.8075
O,11.0225
N,11.0225
B,11.04
M,11.04
N,11.04
A,11.04
A,11.04
B,11.04
M,11.205
N,11.205
A,11.2075
A,11.2075
A,11.24
A,11.24
B,11.2525
H,11.2525
H,11.2525
G,11.2625
O,11.275
N,11.275
A,11.275
A,11.275
A,11.275
A,11.275
B,11.28
L,11.345
G,11.345
O,11.5125
N,11.5125
A,11.515
A,11.515
B,11.5175
N,11.5175
I,11.5175
O,11.5175
N,11.5175
B,11.52
K,11.5275
O,11.74
N,11.74
A,11.7425
A,11.7425
A,11.7475
A,11.7475
B,11.76
N,11.76
N,11.76
O,11.93
N,11.93
A,11.9375
A,11.9375
A,11.9375
A,11.9375
B,11.9725
L,11.9725
H,11.9725
G,11.9825
O,11.9825
N,11.9825
A,11.99
A,11.99
A,11.9975
A,11.9975
B,12
N,12.03
I,12.03
O,12.23
N,12.23
A,12.23
A,12.23
B,12.2375
N,12.2375
I,12.2375
O,12.2375
N,12.2375
B,12.24
K,12.25
O,12.425
N,12.425
A,12.4325
A,12.4325
A,12.435
A,12.435
B,12.465
D,12.465
A,12.4675
A,12.4675
A,12.4775
A,12.4775
B,12.48
N,12.48
G,12.6925
N,12.6925
N,12.6925
I,12.7025
N,12.72
L,12.745
N,12.745
A,12.745
A,12.745
A,12.7825
A,12.7825
A,12.9425
A,12.9425
A,12.95
A,12.95
B,12.9575
N,12.9575
I,12.9575
O,12.9575
N,12.9575
B,12.96
K,12.9675
O,13.1425
N,13.1425
A,13.145
A,13.145
A,13.1625
A,13.1625
B,13.1875
F,13.1875
A,13.19
A,13.19
A,13.1975
A,13.1975
B,13.2
N,13.2
O,13.2
O,13.41
N,13.41
B,13.4125
L,13.4125
H,13.4125
I,13.4125
