motifs,time
I,1.085647
N,1.085647
N,1.085647
I,1.094906
N,1.11111
L,1.331017
E,1.331017
I,1.331017
N,1.333332
I,1.340276
N,1.555554
G,1.555554
N,1.555554
M,1.752313
N,1.752313
H,1.752313
G,1.761572
O,1.777776
N,1.997683
B,1.997683
I,1.997683
N,1.999998
B,2.006942
N,2.22222
C,2.22222
I,2.418979
N,2.418979
H,2.418979
G,2.428238
M,2.444442
L,2.664349
E,2.664349
I,2.664349
N,2.666664
I,2.673608
N,2.888886
G,2.888886
N,2.888886
M,3.085645
N,3.085645
H,3.085645
G,3.094904
O,3.111108
N,3.331015
B,3.331015
I,3.331015
N,3.33333
B,3.342589
N,3.555552
C,3.555552
I,3.752311
N,3.752311
N,3.752311
I,3.76157
N,3.777774
L,3.993052
N,3.993052
A,3.993052
A,3.993052
B,3.997681
C,3.997681
I,3.997681
N,3.999996
I,4.00694
O,4.053237
N,4.053237
A,4.168977
A,4.168977
A,4.182866
A,4.182866
B,4.196755
D,4.196755
A,4.219903
A,4.219903
B,4.222218
P,4.222218
N,4.222218
N,4.252311
N,4.252311
B,4.259255
F,4.259255
B,4.26157
D,4.26157
B,4.312496
F,4.312496
A,4.333329
A,4.333329
B,4.351848
D,4.351848
B,4.351848
F,4.351848
B,4.418977
F,4.418977
H,4.418977
G,4.428236
O,4.428236
N,4.428236
B,4.44444
D,4.469903
A,4.469903
A,4.488421
A,4.488421
A,4.553236
A,4.553236
A,4.664347
B,4.664347
I,4.664347
N,4.666662
F,4.666662
B,4.666662
G,4.673606
P,4.675921
N,4.675921
B,4.775458
F,4.775458
B,4.844903
D,4.844903
A,4.870366
A,4.870366
B,4.888884
L,4.888884
I,4.907402
N,4.907402
A,4.925921
A,4.925921
B,4.962958
F,4.962958
B,4.993051
D,4.993051
B,5.085643
N,5.085643
H,5.085643
G,5.094902
M,5.111106
N,5.113421
A,5.113421
A,5.11805
A,5.11805
B,5.170134
F,5.170134
A,5.178236
A,5.178236
B,5.192124
D,5.192124
B,5.192124
D,5.192124
B,5.245365
F,5.245365
A,5.331013
B,5.331013
I,5.331013
N,5.333328
I,5.340272
M,5.446754
N,5.446754
A,5.506939
A,5.506939
B,5.55555
M,5.55555
N,5.55555
B,5.55555
F,5.55555
B,5.55555
I,5.55555
P,5.597217
N,5.597217
A,5.61805
A,5.61805
B,5.752309
F,5.752309
H,5.752309
G,5.761568
O,5.777772
L,5.803235
F,5.803235
A,5.803235
A,5.803235
B,5.842587
F,5.842587
A,5.842587
A,5.842587
B,5.847216
D,5.847216
B,5.874994
F,5.874994
B,5.997679
C,5.997679
I,5.997679
N,5.999994
B,6.009253
N,6.222216
C,6.222216
I,6.418975
N,6.418975
N,6.418975
I,6.428234
N,6.444438
L,6.655086
N,6.655086
A,6.664345
A,6.664345
B,6.664345
C,6.664345
I,6.664345
N,6.66666
I,6.673604
O,6.72916
N,6.72916
A,6.847215
A,6.847215
A,6.856475
A,6.856475
B,6.856475
D,6.856475
A,6.863419
A,6.863419
B,6.888882
P,6.888882
N,6.888882
M,6.891197
N,6.891197
B,6.891197
D,6.891197
B,6.905086
D,6.905086
A,6.935178
A,6.935178
A,6.967586
A,6.967586
B,7.002308
F,7.002308
A,7.03703
A,7.03703
A,7.062493
A,7.062493
B,7.085641
F,7.085641
H,7.085641
G,7.0949
O,7.111104
N,7.145826
A,7.145826
A,7.148141
A,7.148141
A,7.195595
A,7.195595
A,7.331011
B,7.331011
I,7.331011
N,7.331011
F,7.331011
B,7.333326
G,7.34027
P,7.361104
N,7.361104
A,7.377307
A,7.377307
A,7.395826
A,7.395826
A,7.52777
A,7.52777
A,7.5324
A,7.5324
B,7.555548
L,7.555548
I,7.560178
N,7.560178
B,7.560178
D,7.560178
A,7.576381
A,7.576381
A,7.615733
A,7.615733
B,7.752307
N,7.752307
H,7.752307
F,7.752307
A,7.752307
A,7.752307
A,7.752307
B,7.761566
M,7.77777
N,7.800918
A,7.800918
B,7.807863
F,7.807863
A,7.807863
A,7.807863
A,7.849529
A,7.849529
A,7.997677
B,7.997677
I,7.997677
N,7.999992
I,8.006936
M,8.155084
N,8.155084
A,8.187492
A,8.187492
A,8.196751
A,8.196751
B,8.217584
F,8.217584
B,8.222214
P,8.222214
N,8.222214
P,8.224529
N,8.224529
A,8.226844
A,8.226844
B,8.418973
F,8.418973
H,8.418973
D,8.418973
F,8.418973
B,8.428232
P,8.444436
L,8.458325
F,8.458325
B,8.465269
D,8.465269
A,8.467584
A,8.467584
B,8.486103
F,8.486103
A,8.486103
A,8.486103
B,8.664343
C,8.664343
I,8.664343
N,8.666658
B,8.675917
N,8.88888
C,8.88888
I,9.085639
N,9.085639
N,9.085639
I,9.094898
N,9.111102
L,9.277768
N,9.277768
A,9.32175
A,9.32175
B,9.331009
C,9.331009
I,9.331009
M,9.333324
N,9.333324
B,9.333324
G,9.340268
O,9.458324
N,9.458324
B,9.472213
D,9.472213
B,9.488416
F,9.488416
B,9.511565
D,9.511565
A,9.526032
A,9.526032
B,9.537028
D,9.537028
B,9.555546
O,9.555546
N,9.555546
N,9.560176
N,9.560176
A,9.560176
A,9.560176
B,9.627305
F,9.627305
A,9.664342
A,9.664342
A,9.664342
A,9.664342
B,9.752305
F,9.752305
H,9.752305
C,9.75462
F,9.75462
B,9.761564
M,9.777768
N,9.798601
A,9.798601
A,9.814805
A,9.814805
A,9.997675
B,9.997675
I,9.997675
N,9.99999
B,10.006934
O,10.12499
N,10.12499
A,10.134249
A,10.134249
A,10.175916
A,10.175916
B,10.185175
F,10.185175
A,10.217582
A,10.217582
A,10.217582
A,10.217582
B,10.219897
D,10.219897
B,10.222212
L,10.222212
I,10.280082
N,10.280082
B,10.31249
F,10.31249
A,10.342582
A,10.342582
A,10.342582
A,10.342582
A,10.418971
B,10.418971
H,10.418971
G,10.42823
M,10.444434
L,10.55786
N,10.55786
A,10.574064
A,10.574064
A,10.587952
A,10.587952
B,10.587952
D,10.587952
A,10.587952
A,10.587952
A,10.613415
A,10.613415
B,10.664341
D,10.664341
I,10.664341
N,10.666656
I,10.6736
P,10.777767
N,10.777767
A,10.777767
A,10.777767
A,10.777767
A,10.777767
B,10.824063
D,10.824063
A,10.824063
A,10.824063
A,10.837952
A,10.837952
B,10.888878
O,10.888878
N,10.888878
N,11.037026
N,11.037026
A,11.069433
A,11.069433
A,11.069433
A,11.069433
B,11.085637
F,11.085637
H,11.085637
G,11.094896
O,11.1111
N,11.256933
A,11.256933
A,11.268507
A,11.268507
A,11.280081
A,11.280081
A,11.331007
B,11.331007
I,11.331007
N,11.333322
B,11.342581
O,11.432859
N,11.432859
A,11.439803
A,11.439803
A,11.439803
A,11.439803
B,11.4861
D,11.4861
A,11.488414
A,11.488414
A,11.499988
A,11.499988
B,11.555544
L,11.555544
I,11.703692
N,11.703692
A,11.703692
A,11.703692
A,11.724525
A,11.724525
B,11.752303
I,11.752303
N,11.752303
I,11.761562
N,11.777766
L,11.858784
F,11.858784
A,11.877303
A,11.877303
A,11.886562
A,11.886562
B,11.886562
D,11.886562
A,11.893507
A,11.893507
A,11.916655
A,11.916655
A,11.997673
B,11.997673
I,11.997673
N,11.999988
I,12.006932
M,12.048599
N,12.048599
A,12.083321
A,12.083321
A,12.09258
A,12.09258
B,12.09258
D,12.09258
A,12.104155
A,12.104155
A,12.136562
A,12.136562
B,12.22221
P,12.22221
N,12.22221
B,12.22221
O,12.22221
N,12.224525
N,12.224525
B,12.293969
D,12.293969
B,12.400451
F,12.400451
B,12.418969
C,12.418969
H,12.418969
G,12.428228
O,12.444432
N,12.465265
A,12.465265
A,12.495358
A,12.495358
A,12.634247
A,12.634247
A,12.664339
B,12.664339
I,12.664339
N,12.666654
B,12.673598
O,12.673598
N,12.673598
B,12.703691
F,12.703691
B,12.738413
D,12.738413
B,12.770821
F,12.770821
A,12.805543
A,12.805543
B,12.856469
D,12.856469
B,12.888876
L,12.888876
I,12.90508
N,12.90508
B,12.928228
F,12.928228
B,12.930543
D,12.930543
B,12.983783
F,12.983783
A,13.011561
A,13.011561
B,13.048598
D,13.048598
B,13.085635
F,13.085635
H,13.085635
G,13.094894
P,13.104154
N,13.104154
B,13.111098
C,13.136561
F,13.136561
B,13.331005
E,13.331005
I,13.331005
N,13.33332
I,13.340264
M,13.372672
N,13.372672
A,13.381931
A,13.381931
A,13.405079
A,13.405079
B,13.46295
F,13.46295
A,13.469894
A,13.469894
A,13.479153
A,13.479153
B,13.555542
P,13.555542
N,13.555542
N,13.594894
N,13.594894
A,13.594894
A,13.594894
A,13.613412
A,13.613412
B,13.687486
F,13.687486
A,13.692116
A,13.692116
A,13.69906
A,13.69906
B,13.752301
C,13.752301
H,13.752301
G,13.76156
O,13.777764
N,13.798597
D,13.798597
A,13.814801
A,13.814801
A,13.819431
A,13.819431
B,13.997671
E,13.997671
I,13.997671
N,13.999986
B,14.009245
O,14.07406
N,14.07406
A,14.083319
A,14.083319
A,14.085634
A,14.085634
B,14.171282
F,14.171282
A,14.178227
A,14.178227
A,14.196745
A,14.196745
B,14.222208
L,14.222208
I,14.298597
N,14.298597
A,14.300912
A,14.300912
A,14.307856
A,14.307856
B,14.400449
F,14.400449
A,14.400449
A,14.400449
A,14.400449
A,14.400449
B,14.418967
I,14.418967
N,14.418967
I,14.428226
N,14.44443
L,14.493041
F,14.493041
A,14.5023
A,14.5023
A,14.509245
A,14.509245
B,14.587948
F,14.587948
A,14.604152
A,14.604152
A,14.618041
A,14.618041
A,14.664337
B,14.664337
I,14.664337
N,14.666652
I,14.673596
P,14.722208
N,14.722208
A,14.736096
A,14.736096
A,14.748828
A,14.748828
B,14.888874
O,14.888874
N,14.888874
M,15.085633
N,15.085633
H,15.085633
G,15.094892
O,15.111096
N,15.331003
B,15.331003
I,15.331003
N,15.333318
B,15.340262
N,15.55554
C,15.55554
I,15.752299
N,15.752299
H,15.752299
G,15.761558
M,15.777762
L,15.979151
N,15.979151
A,15.997669
A,15.997669
B,15.997669
C,15.997669
I,15.997669
M,15.997669
N,15.997669
B,15.999984
G,16.006928
O,16.115725
N,16.201373
A,16.201373
A,16.201373
A,16.201373
A,16.203688
A,16.203688
B,16.222206
O,16.222206
N,16.222206
M,16.303224
N,16.303224
A,16.319428
A,16.319428
A,16.331002
A,16.331002
B,16.351836
D,16.351836
A,16.35415
A,16.35415
A,16.386558
A,16.386558
B,16.418965
F,16.418965
H,16.418965
G,16.428224
O,16.428224
N,16.428224
A,16.428224
A,16.428224
B,16.444428
C,16.460632
F,16.460632
A,16.641187
A,16.641187
B,16.664335
C,16.664335
I,16.664335
N,16.66665
B,16.675909
O,16.699057
N,16.699057
B,16.731465
F,16.731465
B,16.79628
D,16.79628
A,16.79628
A,16.79628
A,16.851835
A,16.851835
B,16.888872
N,16.888872
G,16.90739
N,16.90739
A,16.909705
A,16.909705
A,16.942113
A,16.942113
B,17.085631
I,17.085631
N,17.085631
I,17.09489
N,17.111094
L,17.16665
F,17.16665
