motifs,time
L,1.608333
I,1.608333
N,2
B,2
I,2
M,2.4
M,2.4
N,2.4
C,2.745833
E,2.745833
I,2.745833
K,2.8
O,3.175
N,3.175
A,3.1875
A,3.1875
B,3.2
L,3.2
I,3.2
L,3.258333
F,3.258333
A,3.275
A,3.275
B,3.5375
F,3.5375
A,3.579167
A,3.579167
B,3.6
N,3.6
N,3.6
I,3.983333
N,3.983333
A,3.9875
A,3.9875
B,3.991667
N,3.991667
I,3.991667
L,4
O,4.175
N,4.175
A,4.191667
A,4.191667
B,4.3625
F,4.3625
A,4.366667
A,4.366667
B,4.4
L,4.4
I,4.4
K,4.7625
N,4.7625
A,4.795833
A,4.795833
B,4.8
N,4.8
N,4.8
C,5.145833
E,5.145833
I,5.145833
O,5.183333
N,5.183333
A,5.191667
A,5.191667
B,5.2
P,5.370833
N,5.370833
A,5.379167
A,5.379167
B,5.520833
D,5.520833
A,5.545833
A,5.545833
B,5.6
L,5.6
I,5.6
L,5.720833
F,5.720833
A,5.7625
A,5.7625
B,5.958333
F,5.958333
A,5.979167
A,5.979167
B,6
N,6
N,6
I,6.35
N,6.35
B,6.35
F,6.35
A,6.4
A,6.4
B,6.4
N,6.4
L,6.4
I,6.4
P,6.725
N,6.725
A,6.729167
A,6.729167
B,6.758333
F,6.758333
A,6.7625
A,6.7625
B,6.8
L,6.8
I,6.8
M,7.2
M,7.2
N,7.2
I,7.308333
N,7.308333
A,7.383333
A,7.383333
A,7.529167
A,7.529167
A,7.570833
A,7.570833
B,7.570833
D,7.570833
B,7.570833
D,7.570833
I,7.570833
K,7.6
O,7.629167
N,7.629167
A,7.891667
A,7.891667
A,7.929167
A,7.929167
B,7.929167
D,7.929167
A,7.979167
A,7.979167
B,8
L,8
I,8
M,8.4
M,8.4
N,8.4
I,8.504167
N,8.504167
A,8.541667
A,8.541667
A,8.708333
A,8.708333
A,8.75
A,8.75
B,8.775
F,8.775
A,8.775
B,8.775
I,8.775
L,8.8
O,8.820833
N,8.820833
B,9.2
H,9.2
I,9.2
N,9.3375
A,9.3375
A,9.391667
A,9.391667
A,9.529167
A,9.529167
A,9.5625
A,9.5625
B,9.566667
F,9.566667
B,9.6
P,9.6
N,9.6
I,9.616667
N,9.616667
A,9.9125
A,9.9125
A,9.941667
A,9.941667
B,9.941667
D,9.941667
I,9.941667
M,9.941667
N,9.941667
A,9.966667
A,9.966667
B,10
N,10.4
N,10.4
I,10.4
M,10.8
M,10.8
N,10.8
I,10.858333
N,10.858333
A,10.908333
A,10.908333
B,11.054167
D,11.054167
A,11.141667
A,11.141667
B,11.154167
N,11.154167
E,11.154167
F,11.183333
A,11.183333
B,11.2
M,11.233333
N,11.233333
A,11.6
B,11.6
H,11.6
I,11.7625
N,11.7625
A,11.8125
A,11.8125
A,11.945833
A,11.945833
A,11.983333
A,11.983333
B,11.995833
F,11.995833
B,12
H,12
I,12
L,12.004167
F,12.004167
B,12.3375
I,12.3375
N,12.3375
E,12.3625
F,12.3625
B,12.370833
D,12.370833
B,12.4
P,12.4
N,12.4
B,12.8
H,12.8
H,12.8
C,13.2
C,13.2
I,13.2
J,13.304167
N,13.304167
A,13.341667
A,13.341667
B,13.558333
D,13.558333
B,13.558333
H,13.558333
I,13.558333
L,13.579167
F,13.579167
B,13.6
P,13.641667
N,13.641667
A,13.641667
A,13.641667
B,14
L,14
I,14
L,14.158333
F,14.158333
A,14.2125
A,14.2125
A,14.35
A,14.35
A,14.39375
A,14.39375
B,14.4
N,14.4
N,14.4
I,14.4
N,14.4
A,14.429167
A,14.429167
A,14.7375
A,14.7375
A,14.7625
A,14.7625
B,14.791667
F,14.791667
B,14.8
M,14.804167
N,14.804167
B,14.833333
N,14.833333
E,14.833333
F,15.2
B,15.2
H,15.2
C,15.6
C,15.6
I,15.6
J,15.741667
N,15.741667
A,15.7625
A,15.7625
A,15.979167
A,15.979167
A,15.995833
A,15.995833
B,15.995833
L,15.995833
I,15.995833
O,16
O,16.058333
N,16.058333
A,16.079167
A,16.079167
A,16.375
A,16.375
B,16.4
L,16.4
I,16.4
L,16.4
N,16.4
B,16.554167
F,16.554167
A,16.608333
A,16.608333
A,16.783333
A,16.783333
B,16.8
N,16.8
N,16.8
I,16.8
N,16.8
A,16.858333
A,16.858333
B,17.104167
G,17.104167
N,17.104167
G,17.170833
N,17.170833
A,17.183333
A,17.183333
B,17.2
P,17.55
N,17.55
A,17.55
A,17.55
B,17.6
L,17.6
H,17.6
I,17.616667
N,17.616667
A,17.6375
A,17.6375
B,17.720833
D,17.720833
A,17.754167
A,17.754167
B,17.966667
F,17.966667
B,18
L,18
I,18
L,18
F,18
B,18.391667
F,18.391667
A,18.391667
A,18.391667
B,18.4
N,18.4125
K,18.4125
N,18.4125
I,18.4125
L,18.570833
F,18.570833
A,18.591667
A,18.591667
B,18.775
F,18.775
A,18.775
A,18.775
B,18.8
L,18.8
I,18.8
K,19.179167
N,19.179167
B,19.2
N,19.2
N,19.2
I,19.204167
N,19.204167
B,19.583333
D,19.583333
A,19.6
A,19.6
B,19.6
N,19.6
N,19.6
I,19.6
L,19.804167
F,19.804167
A,19.804167
A,19.804167
B,19.954167
D,19.954167
A,19.954167
A,19.954167
B,20
L,20
I,20
L,20.158333
F,20.158333
A,20.175
A,20.175
B,20.379167
F,20.379167
A,20.383333
A,20.383333
B,20.4
N,20.4
N,20.4
I,20.741667
N,20.741667
A,20.7625
A,20.7625
B,20.764583
F,20.764583
A,20.791667
A,20.791667
B,20.791667
H,20.791667
I,20.791667
O,20.8
P,21.104167
N,21.104167
A,21.116667
A,21.116667
B,21.166667
F,21.166667
A,21.179167
A,21.179167
B,21.2
L,21.2
I,21.2
M,21.6
M,21.6
N,21.6
C,21.908333
C,21.908333
I,21.908333
O,22
O,22.208333
N,22.208333
A,22.220833
A,22.220833
A,22.383333
A,22.383333
A,22.383333
A,22.383333
B,22.4
L,22.4
I,22.4
L,22.4625
F,22.4625
A,22.4625
A,22.4625
B,22.795833
D,22.795833
B,22.8
N,22.8
N,22.8
I,22.8
N,22.8
A,23.195833
A,23.195833
B,23.2
P,23.204167
N,23.204167
A,23.229167
A,23.229167
B,23.291667
M,23.291667
N,23.291667
N,23.291667
F,23.6
B,23.6
H,23.6
I,23.779167
N,23.779167
A,23.825
A,23.825
B,24
L,24
I,24
K,24.020833
N,24.020833
A,24.033333
A,24.033333
B,24.204167
D,24.204167
A,24.225
A,24.225
B,24.4
N,24.4
N,24.4
N,24.4
G,24.404167
N,24.404167
A,24.420833
A,24.420833
B,24.8
L,24.8
H,24.8
I,25.158333
N,25.158333
A,25.179167
A,25.179167
B,25.2
L,25.2
I,25.2
L,25.233333
F,25.233333
A,25.2625
A,25.2625
B,25.595833
F,25.595833
B,25.6
M,25.616667
N,25.616667
B,25.641667
G,25.641667
N,25.641667
G,25.775
N,25.775
A,25.816667
A,25.816667
A,25.933333
A,25.933333
B,26
L,26
H,26
I,26
N,26
B,26
D,26
B,26.0625
F,26.0625
A,26.283333
A,26.283333
A,26.283333
A,26.283333
B,26.4
L,26.4
I,26.4
K,26.433333
N,26.433333
A,26.504167
A,26.504167
B,26.8
P,26.816667
N,26.816667
A,26.816667
A,26.816667
B,26.8375
G,26.8375
N,26.8375
F,27.2
B,27.2
H,27.2
I,27.220833
N,27.220833
A,27.220833
A,27.220833
B,27.591667
D,27.591667
A,27.595833
A,27.595833
B,27.6
L,27.6
I,27.6
L,27.733333
F,27.733333
A,27.741667
A,27.741667
A,27.958333
A,27.958333
A,27.970833
A,27.970833
B,28
P,28.0125
N,28.0125
A,28.016667
A,28.016667
B,28.016667
N,28.016667
E,28.016667
C,28.4
H,28.4
H,28.4
I,28.591667
N,28.591667
A,28.604167
A,28.604167
B,28.8
L,28.8
I,28.8
K,28.816667
N,28.816667
A,28.816667
A,28.816667
B,28.9625
D,28.9625
A,29
A,29
A,29.195833
A,29.195833
A,29.195833
A,29.195833
B,29.195833
N,29.195833
E,29.195833
I,29.2
N,29.6
N,29.6
H,29.6
I,29.945833
N,29.945833
A,29.975
A,29.975
B,30
L,30
I,30
L,30.029167
F,30.029167
A,30.041667
A,30.041667
B,30.375
F,30.375
A,30.3875
A,30.3875
B,30.4
N,30.408333
L,30.408333
E,30.408333
E,30.583333
F,30.583333
A,30.591667
A,30.591667
A,30.733333
