motifs,time
L,3
K,3
N,3
K,3.007812
O,3.007812
N,3.007812
N,3.007812
E,3.007812
F,3.007812
B,3.007812
N,3.007812
G,3.1875
P,3.1875
N,3.1875
N,3.1875
O,3.375
N,3.375
O,3.375
O,3.375
N,3.375
N,3.375
O,3.5625
N,3.5625
K,3.5625
O,3.5625
N,3.5625
B,3.5625
N,3.5625
N,3.5625
O,3.75
N,3.75
G,3.75
K,3.75
N,3.75
P,3.75
K,3.9375
O,3.9375
N,3.9375
O,4.125
O,4.125
N,4.125
N,4.125
O,4.125
O,4.125
P,4.125
O,4.125
N,4.125
H,4.125
I,4.125
L,4.3125
K,4.3125
O,4.3125
N,4.3125
K,4.492188
O,4.5
N,4.5
L,4.5
O,4.5
O,4.5
N,4.6875
O,4.6875
O,4.6875
N,4.6875
B,4.6875
N,4.875
O,4.875
O,4.875
N,4.875
O,4.875
O,4.875
P,5.0625
N,5.0625
K,5.0625
N,5.0625
N,5.21875
F,5.21875
B,5.25
O,5.25
N,5.25
G,5.25
K,5.25
O,5.25
N,5.25
N,5.289062
D,5.289062
B,5.429688
O,5.4375
N,5.4375
K,5.4375
N,5.4375
L,5.625
L,5.625
G,5.625
O,5.625
N,5.625
N,5.625
N,5.625
B,5.625
F,5.765625
F,5.765625
B,5.8125
O,5.8125
N,5.8125
P,6
N,6
O,6
O,6
N,6
N,6
N,6
B,6
C,6
I,6
O,6
N,6
G,6.1875
N,6.1875
L,6.1875
K,6.1875
N,6.1875
N,6.1875
O,6.375
N,6.375
O,6.375
O,6.375
N,6.375
N,6.375
N,6.460938
F,6.460938
B,6.539062
F,6.539062
B,6.5625
N,6.5625
L,6.5625
K,6.5625
O,6.5625
N,6.5625
N,6.5625
N,6.5625
P,6.5625
C,6.5625
E,6.5625
F,6.734375
D,6.734375
B,6.75
N,6.75
G,6.75
K,6.75
N,6.75
P,6.75
N,6.78125
D,6.78125
B,6.9375
O,6.9375
N,6.9375
K,7.125
O,7.125
N,7.125
O,7.125
N,7.125
G,7.125
L,7.125
N,7.125
B,7.125
M,7.125
N,7.125
N,7.125
E,7.125
G,7.3125
K,7.3125
O,7.3125
N,7.3125
L,7.484375
F,7.484375
B,7.492188
O,7.5
N,7.5
O,7.5
O,7.5
M,7.5
O,7.5
N,7.53125
F,7.53125
B,7.617188
F,7.617188
