motifs,time
L,2.823528
K,2.823528
N,2.823528
O,2.823528
P,2.823528
P,2.823528
P,2.823528
M,2.823528
M,2.823528
L,2.830881
O,2.830881
N,2.830881
N,2.830881
E,2.830881
F,2.830881
B,2.830881
N,2.830881
G,2.999998
P,2.999998
N,2.999998
N,2.999998
O,3.176469
N,3.176469
O,3.176469
O,3.176469
N,3.176469
N,3.176469
K,3.330881
O,3.330881
L,3.35294
P,3.35294
K,3.35294
O,3.35294
N,3.35294
B,3.35294
N,3.35294
N,3.35294
K,3.382351
O,3.382351
P,3.397057
P,3.397057
P,3.433822
P,3.433822
L,3.52941
N,3.52941
G,3.52941
K,3.52941
N,3.52941
P,3.52941
L,3.566175
O,3.566175
M,3.617645
M,3.617645
O,3.70588
P,3.70588
N,3.70588
O,3.882351
O,3.882351
N,3.882351
N,3.882351
O,3.882351
O,3.882351
K,3.882351
P,3.882351
L,3.882351
O,3.882351
N,3.882351
H,3.882351
I,3.882351
K,3.95588
O,3.95588
N,4.058822
L,4.058822
O,4.058822
N,4.058822
K,4.227939
O,4.235292
N,4.235292
L,4.235292
O,4.235292
O,4.235292
N,4.235292
N,4.235292
J,4.235292
O,4.235292
L,4.411762
O,4.411762
O,4.411762
N,4.411762
B,4.411762
N,4.588233
O,4.588233
O,4.588233
N,4.588233
O,4.588233
O,4.588233
P,4.764704
N,4.764704
K,4.764704
N,4.764704
N,4.911762
O,4.911762
O,4.941174
O,4.941174
N,4.941174
G,4.941174
K,4.941174
O,4.941174
N,4.941174
L,4.977939
O,4.977939
M,4.992645
M,4.992645
O,5.110292
O,5.117644
N,5.117644
K,5.117644
N,5.117644
L,5.294115
L,5.294115
G,5.294115
O,5.294115
N,5.294115
N,5.294115
L,5.301468
O,5.301468
M,5.316174
M,5.316174
O,5.470586
O,5.470586
N,5.470586
J,5.639703
O,5.639703
L,5.647056
P,5.647056
O,5.647056
O,5.647056
N,5.647056
O,5.647056
P,5.647056
P,5.647056
P,5.647056
N,5.647056
E,5.647056
I,5.647056
O,5.647056
N,5.647056
I,5.70588
O,5.70588
P,5.786762
P,5.786762
M,5.794115
M,5.794115
L,5.823526
N,5.823526
L,5.823526
K,5.823526
N,5.823526
N,5.823526
O,5.999997
N,5.999997
O,5.999997
O,5.999997
N,5.999997
N,5.999997
K,6.13235
O,6.13235
M,6.154409
M,6.154409
P,6.169115
P,6.169115
L,6.176468
N,6.176468
L,6.176468
K,6.176468
O,6.176468
N,6.176468
N,6.176468
O,6.176468
P,6.176468
N,6.176468
C,6.176468
C,6.176468
E,6.176468
I,6.352938
N,6.352938
G,6.352938
K,6.352938
N,6.352938
O,6.352938
P,6.352938
N,6.352938
J,6.360291
O,6.360291
O,6.529408
P,6.529408
N,6.529408
K,6.68382
O,6.68382
M,6.698526
M,6.698526
O,6.705879
O,6.705879
N,6.705879
O,6.705879
N,6.705879
G,6.705879
P,6.705879
O,6.705879
N,6.705879
N,6.705879
E,6.705879
G,6.88235
K,6.88235
O,6.88235
N,6.88235
K,7.022055
O,7.022055
M,7.022055
M,7.022055
O,7.051467
O,7.05882
N,7.05882
O,7.05882
O,7.05882
M,7.05882
O,7.05882
L,7.23529
O,7.23529
N,7.23529
O,7.23529
N,7.23529
B,7.23529
L,7.23529
K,7.411761
O,7.411761
N,7.411761
O,7.411761
O,7.411761
L,7.411761
K,7.573526
O,7.573526
M,7.573526
M,7.573526
L,7.588232
O,7.588232
N,7.588232
N,7.588232
L,7.588232
K,7.749996
O,7.749996
P,7.764702
O,7.764702
N,7.764702
G,7.764702
K,7.764702
N,7.764702
P,7.764702
N,7.764702
L,7.764702
O,7.764702
N,7.764702
I,7.764702
N,7.764702
I,7.852937
O,7.852937
M,7.889702
M,7.889702
O,7.93382
O,7.941172
N,7.941172
K,7.941172
N,7.941172
N,7.941172
O,8.117643
K,8.117643
O,8.117643
N,8.117643
L,8.117643
O,8.117643
K,8.191172
O,8.191172
M,8.213231
M,8.213231
L,8.294114
L,8.294114
O,8.294114
N,8.294114
L,8.294114
