motifs,time
K,1.5
N,1.5
A,1.5
A,1.5
B,1.503906
C,1.503906
I,1.503906
M,1.503906
N,1.503906
H,1.503906
I,1.507812
N,1.550781
F,1.550781
B,1.6875
N,1.6875
L,1.691406
E,1.695312
F,1.78125
B,1.785156
H,1.789062
C,1.847656
F,1.847656
A,1.851562
A,1.851562
B,1.875
O,1.875
N,1.875
N,1.875
B,1.875
F,1.875
A,1.878906
A,1.878906
B,1.882812
I,2.0625
L,2.0625
O,2.0625
P,2.0625
O,2.066406
N,2.066406
A,2.066406
A,2.066406
B,2.066406
N,2.070312
E,2.097656
F,2.097656
B,2.148438
D,2.148438
A,2.148438
A,2.148438
A,2.199219
A,2.199219
B,2.234375
F,2.234375
A,2.234375
A,2.234375
B,2.25
O,2.25
N,2.25
N,2.25
B,2.4375
M,2.546875
N,2.546875
A,2.574219
A,2.574219
A,2.585938
A,2.585938
B,2.625
N,2.625
L,2.625
N,2.628906
D,2.660156
F,2.660156
A,2.660156
A,2.660156
A,2.703125
A,2.703125
B,2.8125
N,2.8125
L,2.816406
E,2.820312
F,2.90625
B,2.910156
H,2.914062
I,2.972656
N,2.972656
B,3
L,3
O,3
P,3
O,3.003906
N,3.003906
A,3.003906
A,3.003906
B,3.003906
D,3.007812
F,3.046875
A,3.046875
A,3.082031
A,3.082031
A,3.105469
A,3.105469
B,3.1875
N,3.1875
L,3.191406
E,3.195312
F,3.28125
B,3.285156
H,3.289062
I,3.304688
N,3.304688
A,3.316406
A,3.316406
A,3.316406
A,3.316406
B,3.375
M,3.375
N,3.375
N,3.375
B,3.378906
F,3.378906
B,3.378906
F,3.378906
A,3.378906
A,3.378906
B,3.382812
C,3.410156
F,3.410156
B,3.476562
D,3.476562
A,3.507812
A,3.507812
A,3.507812
A,3.507812
B,3.5625
L,3.5625
O,3.5625
N,3.5625
B,3.5625
K,3.5625
O,3.566406
L,3.570312
F,3.570312
A,3.570312
A,3.570312
A,3.570312
B,3.75
M,3.859375
N,3.859375
A,3.90625
A,3.90625
A,3.90625
A,3.90625
B,3.9375
O,3.9375
N,4.03125
B,4.070312
F,4.070312
B,4.125
N,4.125
G,4.125
N,4.125
M,4.125
N,4.125
A,4.125
A,4.125
B,4.128906
I,4.210938
N,4.210938
