motifs,time
K,2.666664
O,2.666664
O,2.666664
N,2.666664
H,2.666664
I,2.673608
L,2.680553
I,2.999997
N,2.999997
L,3.006941
E,3.013886
F,3.166664
B,3.173608
H,3.180552
G,3.33333
O,3.33333
N,3.33333
N,3.33333
B,3.340274
F,3.340274
B,3.347219
I,3.666663
L,3.666663
O,3.666663
P,3.666663
O,3.673607
L,3.680552
I,3.999996
O,3.999996
M,4.333329
N,4.666662
B,4.666662
L,4.666662
N,4.673606
G,4.999995
N,4.999995
L,5.006939
E,5.013884
F,5.166662
B,5.173606
H,5.18055
G,5.333328
L,5.333328
O,5.333328
P,5.333328
O,5.340272
L,5.347217
I,5.666661
N,5.666661
L,5.673605
E,5.68055
F,5.833328
B,5.840272
H,5.847216
G,5.999994
O,5.999994
N,5.999994
N,5.999994
B,6.006938
F,6.006938
B,6.013883
I,6.333327
L,6.333327
O,6.333327
P,6.333327
O,6.340271
L,6.347216
I,6.66666
N,6.999993
B,6.999993
N,7.16666
B,7.333326
N,7.333326
G,7.333326
N,7.333326
N,7.34027
I,7.666659
N,7.666659
L,7.673603
E,7.680548
I,7.999992
N,7.999992
K,7.999992
O,7.999992
O,7.999992
N,7.999992
H,7.999992
I,8.006936
L,8.013881
I,8.263881
N,8.263881
A,8.263881
A,8.263881
B,8.319436
D,8.319436
B,8.333325
M,8.333325
N,8.333325
B,8.333325
D,8.340269
E,8.347214
I,8.493047
N,8.493047
A,8.493047
A,8.493047
B,8.499992
P,8.506936
H,8.51388
G,8.666658
O,8.666658
N,8.666658
N,8.666658
B,8.673602
F,8.673602
B,8.680547
C,8.708325
F,8.708325
A,8.722214
A,8.722214
A,8.902769
A,8.902769
A,8.930547
A,8.930547
B,8.958324
F,8.958324
B,8.965269
D,8.965269
B,8.979158
F,8.979158
B,8.999991
L,8.999991
O,8.999991
P,8.999991
O,9.006935
L,9.01388
F,9.187491
D,9.187491
A,9.236102
A,9.236102
B,9.243046
D,9.243046
A,9.277768
A,9.277768
B,9.333324
O,9.333324
M,9.666657
N,9.861101
N,9.861101
A,9.888879
A,9.888879
B,9.923601
F,9.923601
A,9.972212
A,9.972212
B,9.99999
N,9.99999
L,9.99999
N,10.006934
D,10.055546
F,10.055546
A,10.069434
A,10.069434
B,10.194434
D,10.194434
A,10.215268
A,10.215268
B,10.333323
N,10.333323
L,10.340267
E,10.347212
F,10.361101
D,10.361101
A,10.381934
A,10.381934
B,10.49999
F,10.506934
H,10.513878
G,10.666656
L,10.666656
O,10.666656
P,10.666656
O,10.6736
L,10.680545
I,10.999989
N,10.999989
L,11.006933
E,11.013878
F,11.166656
B,11.1736
H,11.180544
G,11.333322
O,11.333322
N,11.333322
N,11.333322
B,11.340266
F,11.340266
B,11.347211
I,11.666655
L,11.666655
O,11.666655
P,11.666655
O,11.673599
L,11.680544
I,11.999988
N,12.333321
B,12.333321
N,12.499988
B,12.666654
N,12.666654
G,12.666654
N,12.666654
N,12.673598
I,12.999987
N,12.999987
L,13.006931
E,13.013876
C,13.263876
F,13.263876
A,13.277764
A,13.277764
B,13.33332
N,13.33332
K,13.33332
O,13.33332
O,13.33332
N,13.33332
H,13.33332
I,13.340264
L,13.347209
I,13.368042
N,13.368042
A,13.444431
A,13.444431
B,13.624986
D,13.624986
A,13.624986
A,13.624986
B,13.666653
P,13.666653
L,13.673597
E,13.680542
I,13.805542
N,13.805542
A,13.812486
A,13.812486
B,13.83332
P,13.840264
N,13.840264
C,13.840264
H,13.847208
C,13.854153
F,13.854153
B,13.999986
O,13.999986
N,13.999986
N,13.999986
B,14.00693
F,14.00693
B,14.013875
I,14.048597
N,14.048597
A,14.062486
A,14.062486
B,14.076375
F,14.076375
A,14.097208
A,14.097208
A,14.249986
A,14.249986
A,14.25693
A,14.25693
B,14.305541
F,14.305541
A,14.31943
A,14.31943
B,14.333319
L,14.333319
O,14.333319
P,14.333319
O,14.340263
L,14.347208
F,14.555541
D,14.555541
A,14.576374
A,14.576374
B,14.604152
D,14.604152
A,14.63193
A,14.63193
B,14.666652
O,14.666652
M,14.999985
N,15.229151
N,15.229151
A,15.236096
A,15.236096
B,15.298596
F,15.298596
A,15.326374
A,15.326374
B,15.333318
N,15.333318
L,15.333318
N,15.340262
D,15.416651
F,15.416651
A,15.437485
A,15.437485
B,15.583318
D,15.583318
A,15.595471
A,15.595471
B,15.666651
N,15.666651
L,15.673595
N,15.673595
B,15.673595
D,15.68054
F,15.736095
D,15.736095
B,15.833318
F,15.840262
H,15.847206
I,15.93054
N,15.93054
A,15.951373
A,15.951373
B,15.999984
L,15.999984
O,15.999984
P,15.999984
O,16.006928
L,16.013873
F,16.208317
D,16.208317
