C	1.666666 00:00:01.6666660
G	2.499999 00:00:02.4999990
O	2.499999 00:00:02.4999990
O	2.916666 00:00:02.9166660
N	3.333332 00:00:03.3333320
O	3.333332 00:00:03.3333320
L	4.166665 00:00:04.1666650
I	4.166665 00:00:04.1666650
N	4.583332 00:00:04.5833320
N	4.999998 00:00:04.9999980
N	4.999998 00:00:04.9999980
L	5.833331 00:00:05.8333310
I	5.833331 00:00:05.8333310
N	6.249998 00:00:06.2499980
N	6.666664 00:00:06.6666640
N	6.666664 00:00:06.6666640
O	7.499997 00:00:07.4999970
N	8.33333 00:00:08.3333300
G	9.166663 00:00:09.1666630
O	9.166663 00:00:09.1666630
O	9.58333 00:00:09.5833300
L	9.999996 00:00:09.9999960
I	9.999996 00:00:09.9999960
M	10.416662 00:00:10.4166620
L	10.833329 00:00:10.8333290
I	10.833329 00:00:10.8333290
N	11.249996 00:00:11.2499960
N	11.666662 00:00:11.6666620
G	11.666662 00:00:11.6666620
M	12.083328 00:00:12.0833280
L	12.499995 00:00:12.4999950
I	12.499995 00:00:12.4999950
N	12.916662 00:00:12.9166620
N	13.333328 00:00:13.3333280
N	13.333328 00:00:13.3333280
O	14.166661 00:00:14.1666610
N	14.999994 00:00:14.9999940
G	15.833327 00:00:15.8333270
O	15.833327 00:00:15.8333270
P	16.249994 00:00:16.2499940
N	16.66666 00:00:16.6666600
P	16.66666 00:00:16.6666600
N	17.499993 00:00:17.4999930
G	17.499993 00:00:17.4999930
P	17.91666 00:00:17.9166600
N	18.333326 00:00:18.3333260
P	18.333326 00:00:18.3333260
L	19.166659 00:00:19.1666590
I	19.166659 00:00:19.1666590
P	19.583326 00:00:19.5833260
L	19.999992 00:00:19.9999920
I	19.999992 00:00:19.9999920
P	20.416658 00:00:20.4166580
O	20.833325 00:00:20.8333250
P	21.249992 00:00:21.2499920
N	21.666658 00:00:21.6666580
P	21.666658 00:00:21.6666580
L	22.499991 00:00:22.4999910
I	22.499991 00:00:22.4999910
P	22.916658 00:00:22.9166580
N	23.333324 00:00:23.3333240
N	23.333324 00:00:23.3333240
O	24.166657 00:00:24.1666570
N	24.99999 00:00:24.9999900
G	25.833323 00:00:25.8333230
O	25.833323 00:00:25.8333230
P	26.24999 00:00:26.2499900
N	26.666656 00:00:26.6666560
P	26.666656 00:00:26.6666560
O	27.499989 00:00:27.4999890
N	28.333322 00:00:28.3333220
G	29.166655 00:00:29.1666550
O	29.166655 00:00:29.1666550
N	29.583322 00:00:29.5833220
N	29.999988 00:00:29.9999880
P	29.999988 00:00:29.9999880
L	30.833321 00:00:30.8333210
I	30.833321 00:00:30.8333210
N	31.249988 00:00:31.2499880
N	31.666654 00:00:31.6666540
P	31.666654 00:00:31.6666540
L	32.499987 00:00:32.4999870
I	32.499987 00:00:32.4999870
O	32.916654 00:00:32.9166540
N	33.33332 00:00:33.3333200
O	33.33332 00:00:33.3333200
O	34.166653 00:00:34.1666530
N	34.999986 00:00:34.9999860
