timestamp,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818731,0.0,0.0,0.0,0.0,0.0,0.818731,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.740818,0.0,0.0,0.0,0.0,0.0,0.0,0.740818,0.740818,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67032,0.67032,0.0,0.67032,0.0,0.0,0.67032,0.67032,0.0
5,0.0,0.606531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606531,0.0,0.606531,0.0,0.0
6,0.0,0.548812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.496585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496585,0.0,0.496585
8,0.0,0.449329,0.0,0.0,0.0,0.0,0.449329,0.0,0.0,0.0,0.0,0.449329,0.0,0.449329,0.449329,0.0
9,0.40657,0.0,0.0,0.0,0.0,0.0,0.40657,0.0,0.40657,0.0,0.0,0.0,0.0,0.40657,0.0,0.40657
10,0.0,0.367879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.332871,0.0,0.0,0.0,0.0,0.0,0.0,0.332871,0.332871,0.0
12,0.0,0.301194,0.0,0.0,0.0,0.0,0.0,0.301194,0.0,0.0,0.301194,0.0,0.0,0.301194,0.301194,0.0
13,0.0,0.272532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272532,0.0,0.272532,0.0,0.0
14,0.0,0.246597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.22313,0.0,0.0,0.0,0.0,0.0,0.0,0.22313,0.22313,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.201897,0.0,0.0,0.0,0.0,0.201897,0.0,0.0,0.201897,0.0
17,0.0,0.182684,0.0,0.0,0.0,0.0,0.182684,0.0,0.0,0.0,0.0,0.0,0.0,0.182684,0.182684,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165299,0.0,0.0,0.0,0.0,0.0,0.165299,0.0
19,0.0,0.149569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149569,0.149569,0.0,0.0
20,0.0,0.135335,0.0,0.0,0.0,0.0,0.0,0.135335,0.0,0.0,0.135335,0.0,0.0,0.135335,0.135335,0.0
21,0.0,0.122456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122456,0.0,0.122456,0.0,0.0
22,0.0,0.110803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.100259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100259,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.090718,0.0,0.0,0.0,0.0,0.090718,0.0,0.0,0.090718,0.0
25,0.0,0.082085,0.0,0.0,0.0,0.0,0.082085,0.0,0.0,0.0,0.0,0.0,0.0,0.082085,0.0,0.082085
26,0.0,0.074274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074274,0.0
27,0.0,0.067206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067206,0.0,0.0,0.067206,0.0,0.0
28,0.0,0.06081,0.0,0.0,0.06081,0.0,0.0,0.0,0.0,0.0,0.06081,0.06081,0.0,0.06081,0.06081,0.0
29,0.0,0.055023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055023,0.055023,0.0,0.0
30,0.0,0.049787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.045049,0.0,0.0,0.0,0.0,0.0,0.0,0.045049,0.045049,0.0
32,0.0,0.040762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040762,0.0,0.0,0.040762,0.0
33,0.0,0.036883,0.0,0.0,0.0,0.0,0.036883,0.0,0.0,0.0,0.0,0.0,0.036883,0.036883,0.0,0.0
34,0.0,0.033373,0.0,0.0,0.0,0.033373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033373,0.033373,0.0
35,0.0,0.030197,0.0,0.0,0.0,0.0,0.030197,0.0,0.0,0.0,0.0,0.0,0.0,0.030197,0.0,0.030197
36,0.0,0.027324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027324,0.027324,0.0,0.027324,0.027324,0.0
37,0.0,0.024724,0.0,0.0,0.0,0.024724,0.0,0.0,0.0,0.0,0.0,0.024724,0.0,0.024724,0.0,0.0
38,0.0,0.022371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.020242,0.0,0.0,0.0,0.0,0.0,0.0,0.020242,0.020242,0.0
40,0.0,0.018316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018316,0.0,0.0,0.018316,0.018316
41,0.0,0.016573,0.0,0.0,0.0,0.0,0.016573,0.0,0.0,0.0,0.0,0.0,0.0,0.016573,0.0,0.0
42,0.0,0.014996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014996,0.0
43,0.0,0.013569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013569,0.0,0.013569
44,0.0,0.012277,0.0,0.0,0.0,0.0,0.0,0.012277,0.0,0.0,0.012277,0.0,0.0,0.012277,0.012277,0.0
45,0.0,0.011109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011109,0.0,0.011109,0.0,0.0
46,0.0,0.010052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.009095,0.0,0.0,0.0,0.0,0.0,0.0,0.009095,0.009095,0.0
48,0.0,0.00823,0.0,0.0,0.0,0.0,0.00823,0.0,0.0,0.0,0.00823,0.00823,0.0,0.00823,0.00823,0.0
49,0.736678,0.999951,0.51697,0.989589,0.515178,0.999951,0.999951,0.475635,0.159872,0.0,0.367862,0.610728,0.223119,0.999951,0.84644,0.726517
50,0.0,0.006738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006738,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.006097,0.0,0.0,0.0,0.0,0.0,0.0,0.006097,0.006097,0.0
52,0.0,0.005517,0.0,0.0,0.0,0.0,0.0,0.0,0.005517,0.0,0.005517,0.005517,0.0,0.005517,0.005517,0.0
53,0.0,0.004992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004992,0.0,0.004992,0.0,0.0
54,0.0,0.004517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.004087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004087,0.004087,0.0
56,0.0,0.003698,0.0,0.0,0.0,0.0,0.003698,0.0,0.0,0.0,0.003698,0.003698,0.0,0.003698,0.003698,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.003346,0.0,0.003346,0.0,0.0,0.0,0.0,0.003346,0.0,0.0
58,0.0,0.003028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003028,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.002739,0.0,0.0,0.0,0.0,0.0,0.0,0.002739,0.002739,0.0
60,0.0,0.002479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002479,0.002479,0.0,0.0,0.002479,0.002479,0.0
61,0.0,0.002243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002243,0.0,0.002243,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.001836,0.0,0.0,0.0,0.0,0.0,0.0,0.001836,0.001836,0.0
64,0.001662,0.001662,0.001662,0.0,0.0,0.0,0.001662,0.0,0.001662,0.0,0.0,0.001662,0.0,0.001662,0.001662,0.0
65,0.0,0.001503,0.0,0.0,0.0,0.0,0.001503,0.0,0.0,0.0,0.0,0.0,0.0,0.001503,0.0,0.0
66,0.0,0.00136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136,0.0
67,0.0,0.001231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001231,0.001231,0.0
68,0.001114,0.001114,0.0,0.0,0.0,0.0,0.0,0.001114,0.0,0.0,0.001114,0.0,0.0,0.001114,0.001114,0.0
69,0.0,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001008,0.0,0.001008,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.000825,0.0,0.0,0.0,0.0,0.0,0.0,0.000825,0.000825,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.000747,0.0,0.0,0.0,0.0,0.000747,0.0,0.0,0.000747,0.000747
73,0.0,0.000676,0.0,0.0,0.0,0.0,0.000676,0.0,0.0,0.0,0.0,0.0,0.0,0.000676,0.0,0.0
74,0.0,0.000611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000611,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.000553,0.0,0.0,0.0,0.0,0.0,0.0,0.000553,0.000553,0.0
76,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0005,0.0,0.0,0.0005,0.0005,0.0
77,0.0,0.000453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000453,0.0,0.000453,0.0,0.0
78,0.0,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,0.000371,0.0
80,0.0,0.000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000335,0.0,0.0,0.000335,0.000335
81,0.0,0.000304,0.0,0.0,0.0,0.0,0.000304,0.0,0.0,0.0,0.0,0.0,0.0,0.000304,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000275,0.0,0.0,0.0,0.0,0.0,0.000275,0.0
83,0.0,0.000249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000249,0.000249,0.0
84,0.000225,0.000225,0.0,0.0,0.0,0.0,0.0,0.000225,0.0,0.0,0.000225,0.0,0.0,0.000225,0.000225,0.0
85,0.0,0.000203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000203,0.0,0.000203,0.0,0.0
86,0.0,0.000184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.000167,0.0,0.0,0.0,0.0,0.0,0.0,0.000167,0.000167,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.000151,0.0,0.0,0.0,0.0,0.000151,0.0,0.0,0.000151,0.000151
89,0.0,0.000136,0.0,0.0,0.0,0.0,0.000136,0.0,0.0,0.0,0.0,0.0,0.0,0.000136,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,0.0,0.0,0.0,0.0,0.0,0.000123,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.000112,0.0,0.0,0.0,0.0,0.0,0.0,0.000112,0.000112,0.0
92,0.0,0.000101,0.0,0.0,0.000101,0.0,0.0,0.0,0.0,0.0,0.000101,0.000101,0.0,0.000101,0.0,0.0
93,0.834729,0.999907,0.610701,0.515155,0.437586,0.999907,0.51337,0.475614,0.716465,0.0,0.606475,0.999907,0.51337,0.999907,0.716465,0.51337
94,8.3e-05,8.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3e-05,0.0,8.3e-05
95,0.0,7.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5e-05,0.0,0.0
96,0.0,6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8e-05,0.0,0.0,6.8e-05,0.0
97,0.0,6.1e-05,0.0,0.0,0.0,0.0,6.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.1e-05,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5e-05,0.0,0.0,0.0,0.0,0.0,5.5e-05,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,5e-05,0.0
100,0.0,4.5e-05,4.5e-05,0.0,4.5e-05,0.0,0.0,0.0,4.5e-05,0.0,4.5e-05,0.0,0.0,4.5e-05,4.5e-05,0.0
101,0.0,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-05,0.0,4.1e-05,0.0,0.0
102,0.0,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05,0.0,3.4e-05
104,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,3e-05,0.0
105,0.0,2.8e-05,0.0,0.0,0.0,0.0,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.0,0.0
106,0.0,2.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,2.3e-05,0.0
108,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,2e-05,0.0,2e-05,2e-05,0.0,0.0
109,0.0,1.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.0,1.8e-05,0.0,0.0
110,0.0,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,1.5e-05
112,0.0,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.0,1.4e-05,1.4e-05
113,0.0,1.2e-05,0.0,0.0,0.0,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-05,0.0,0.0
114,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,1.1e-05,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,0.0
116,0.0,9e-06,0.0,0.0,0.0,0.0,0.0,9e-06,0.0,0.0,9e-06,0.0,0.0,9e-06,9e-06,0.0
117,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06,0.0,8e-06,0.0,0.0
118,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,7e-06,0.0
120,0.989518,0.99988,0.264483,0.122251,0.852278,0.919934,0.99988,0.926345,0.97587,0.0,0.263566,0.99988,0.606458,0.99988,0.513356,0.434547
121,0.0,6e-06,0.0,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0,6e-06
122,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0
123,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0
124,0.0,4e-06,0.0,0.0,4e-06,0.0,0.0,0.0,4e-06,0.0,4e-06,0.0,0.0,4e-06,4e-06,0.0
125,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,4e-06,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,3e-06,0.0
128,0.656872,0.919927,0.2654,0.84344,0.87324,0.87324,0.999872,0.926337,0.999872,0.000396,0.263564,0.999872,0.176948,0.846374,0.513352,0.650065
129,0.0,2e-06,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0
130,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0
131,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,2e-06,0.0
132,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,2e-06,0.0,0.0,2e-06,2e-06,0.0
133,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,2e-06,0.0,0.0
134,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.849312,0.999865,0.999865,0.593945,0.610675,0.999865,0.999865,0.926331,0.846367,0.0,0.716435,0.849312,0.606449,0.999865,0.999865,0.311362
136,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,1e-06
137,0.864184,0.999863,0.467408,0.080382,0.437567,0.999863,0.999863,0.475593,0.627875,0.0,0.096959,0.610674,0.986072,0.999863,0.846365,0.606448
138,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0
140,0.855226,0.99986,0.99986,0.99986,0.852261,0.99986,0.846364,0.340777,0.694389,0.0,0.99986,0.99986,0.531483,0.99986,0.606446,0.716431
141,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,1e-06,0.0,0.0
142,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0
144,0.975846,0.999856,0.26356,0.490687,0.852258,0.919912,0.999856,0.340775,0.926322,0.0,0.26356,0.999856,0.926322,0.999856,0.926322,0.434536
145,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0,1e-06,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.999848,0.999848,0.366549,0.222323,0.852251,0.919905,0.999848,0.926315,0.513339,0.000392,0.263557,0.999848,0.606438,0.999848,0.999848,0.135315
153,0.849296,0.999847,0.436044,0.081788,0.610664,0.999847,0.999847,0.475586,0.716422,0.000144,0.096957,0.608548,0.992928,0.999847,0.846352,0.473937
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.731498,0.999839,0.380816,0.62786,0.437557,0.999839,0.999839,0.475582,0.606434,0.0,0.606434,0.610659,0.716416,0.999839,0.846345,0.069472
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
